frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
85,3.500000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
86,3.541667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
87,3.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
88,3.625000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
89,3.666667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
90,3.708333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
91,3.750000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
92,3.791667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
93,3.833333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
94,3.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
95,3.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
96,3.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
97,4.000000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
98,4.041667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
99,4.083333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
100,4.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
101,4.166667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
102,4.208333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
103,4.250000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
104,4.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
105,4.333333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
106,4.375000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
107,4.416667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
108,4.458333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
109,4.500000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
110,4.541667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
111,4.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
112,4.625000,right_pinky,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
113,4.666667,right_pinky,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
114,4.708333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
115,4.750000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
116,4.791667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
117,4.833333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
118,4.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
119,4.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
120,4.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
121,5.000000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
122,5.041667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
123,5.083333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
124,5.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
125,5.166667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
126,5.208333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
127,5.250000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
128,5.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
129,5.333333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
130,5.375000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
131,5.416667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
132,5.458333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
133,5.500000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
134,5.541667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
135,5.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
136,5.625000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
137,5.666667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
138,5.708333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
139,5.750000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
140,5.791667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
141,5.833333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
142,5.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
143,5.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
144,5.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
145,6.000000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
146,6.041667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
147,6.083333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
148,6.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
149,6.166667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
150,6.208333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
151,6.250000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
152,6.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
153,6.333333,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
154,6.375000,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
155,6.416667,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
156,6.458333,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
157,6.500000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
158,6.541667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
159,6.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
160,6.625000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
161,6.666667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
162,6.708333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
163,6.750000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
164,6.791667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
165,6.833333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
166,6.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
167,6.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
168,6.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
169,7.000000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
170,7.041667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
171,7.083333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
172,7.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
173,7.166667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
