frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
35,1.416667,-0.282497,0.327583,3.626269,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,,532.221,595.727,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.282803,3.658267,532.221,595.727,542.000,545.000,0.070220,0.070220,3.691382,3.621343,3.515278,3.621343,0.033115,sequence_se3_optimizer
36,1.458333,-0.282564,0.326325,3.625726,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,,533.267,619.694,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,1,1,floor,,floor,right_hand,0.302807,3.678698,533.267,619.694,539.000,574.000,0.069242,0.069242,3.687641,3.618524,3.500203,3.618524,0.008943,sequence_se3_optimizer
37,1.500000,-0.282595,0.324897,3.625499,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,,526.743,573.378,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.299944,3.688451,526.743,573.378,535.000,528.000,-0.027936,-0.027936,3.587705,3.615705,3.500844,3.615705,-0.100745,sequence_se3_optimizer
38,1.541667,-0.282558,0.323386,3.625479,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,,522.439,531.462,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.271927,3.671550,522.439,531.462,532.000,484.000,0.058664,0.058664,3.671550,3.612886,3.521765,3.612886,0.000000,sequence_se3_optimizer
39,1.583333,-0.282337,0.321819,3.625753,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,,521.798,495.812,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.214660,3.640499,521.798,495.812,518.000,450.000,0.000894,0.000894,3.616702,3.615825,3.545339,3.615825,-0.023797,sequence_se3_optimizer
40,1.625000,-0.281727,0.320327,3.626416,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,,517.592,468.415,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150207,3.621206,517.592,468.415,513.000,424.000,0.044904,0.044904,3.663629,3.618764,3.579885,3.618764,0.042424,sequence_se3_optimizer
41,1.666667,-0.280172,0.319354,3.627595,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,,512.037,447.883,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.088314,3.614303,512.037,447.883,511.000,402.000,0.135583,0.135583,3.757201,3.621703,3.632323,3.621703,0.142898,sequence_se3_optimizer
42,1.708333,-0.277966,0.319017,3.629023,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,,510.336,434.589,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.047908,3.603596,510.336,434.589,509.000,388.000,0.113495,0.113495,3.738036,3.624642,3.670739,3.624642,0.134440,sequence_se3_optimizer
43,1.750000,-0.275258,0.319314,3.630587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,,508.005,427.318,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.023571,3.605705,508.005,427.318,508.000,380.000,0.132893,0.132893,3.760339,3.627581,3.677590,3.627581,0.154635,sequence_se3_optimizer
44,1.791667,-0.272260,0.319988,3.632217,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,,509.638,424.541,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.024516,3.608222,509.638,424.541,510.000,377.000,0.117810,0.117810,3.748218,3.630520,3.657893,3.630520,0.139996,sequence_se3_optimizer
