frame,time_s,rms_z,flux_z,hf_ratio,motion_probability,source
20,0.8125,0.11146381424449062,-0.2456787038758145,0.20176331149231588,0.5082223737528065,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
21,0.8541666666666666,-0.1773722885085214,0.5482608967855811,0.19407147805887812,0.495566869233205,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
22,0.8958333333333334,-0.33382189306084253,-0.6709858819364203,0.19723663737193406,0.3993922672539789,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
23,0.9375,-0.6023481993873788,0.2636112653984985,0.20376576568111301,0.39847169684090916,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
24,0.9791666666666666,-0.6943312459273687,0.1723109936525772,0.18223580640290665,0.37667860456437646,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
25,1.0208333333333333,1.2507583696920188,12.662316121738304,0.16874604473469118,0.977274969549129,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
26,1.0625,1.3065605000220644,-1.090032703268949,0.14221575162467437,0.6855313830776061,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
27,1.1041666666666667,0.7272991100025817,0.3409071421233503,0.12665191272119883,0.6552715845276103,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
28,1.1458333333333333,0.45455125479813424,-0.6862252483934043,0.12115778289357163,0.5507200525709691,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
29,1.1875,0.1308312987281628,-0.48307605921751623,0.14175366352403662,0.4989429215699594,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
30,1.2291666666666667,-0.19686565294783503,-0.059588600152207676,0.1148132889687652,0.458430004720404,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
31,1.2708333333333333,-0.3947502540144749,-0.40076454432437497,0.1183130898260101,0.4022561127466401,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
32,1.3125,-0.6302910043774379,-0.08608547492135551,0.13653095053278014,0.37506090100946193,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
33,1.3541666666666667,-0.7684214723755034,-0.16284217606770976,0.15759130697974671,0.34633374261981303,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
34,1.3958333333333333,-0.7754529724673825,1.8009845984630737,0.15599878524934846,0.4480292075678767,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
35,1.4375,-0.7435725060559338,0.27077933553731215,0.17608666278426321,0.37275517433595506,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
36,1.4791666666666667,1.064806332738693,0.6055619463466366,0.19659283279631679,0.7238764998822453,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
37,1.5208333333333333,1.3497155950848807,12.910452879186634,0.18599571218792066,0.9800246321185556,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
38,1.5625,1.05431305591995,-1.1198837035805225,0.13884524802291817,0.6401441311238516,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
