frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,anchor_score,source,stable_local_x,stable_local_y,stable_local_z,visibility,anchor_update,keep_previous
86,3.541667,1,palm,left_hand,body_shell_or_occluded_handle_region,581,472.518,96.307,0.334056,1.000000,palm_handle_from_stable_grasp_anchor,-0.131949,0.048799,0.035715,hidden,0,1
87,3.583333,1,palm,left_hand,body_shell_or_occluded_handle_region,581,471.831,99.085,0.334963,1.000000,palm_handle_from_stable_grasp_anchor,-0.137367,0.044081,0.032148,hidden,0,1
88,3.625000,1,palm,left_hand,body_shell_or_occluded_handle_region,581,476.664,103.565,0.317410,1.000000,palm_handle_from_stable_grasp_anchor,-0.124854,0.040007,0.029426,hidden,0,1
89,3.666667,1,palm,left_hand,handle_loop,829,492.576,112.108,0.230150,0.754207,palm_handle_from_stable_grasp_anchor,-0.047598,0.024253,-0.004366,visible,0,1
90,3.708333,1,palm,left_hand,handle_loop,808,494.147,117.319,0.221420,0.744921,palm_handle_from_stable_grasp_anchor,-0.051431,0.023981,-0.004751,visible,0,1
91,3.750000,1,palm,left_hand,handle_loop,786,495.216,119.471,0.222115,0.746545,palm_handle_from_stable_grasp_anchor,-0.054917,0.024538,-0.004751,visible,0,1
92,3.791667,1,palm,left_hand,handle_loop,764,498.026,122.397,0.224451,0.744363,palm_handle_from_stable_grasp_anchor,-0.058441,0.024677,-0.004751,visible,0,1
93,3.833333,1,palm,left_hand,handle_loop,742,500.840,126.272,0.228330,0.771729,palm_handle_from_stable_grasp_anchor,-0.061958,0.024398,-0.004751,visible,1,0
94,3.875000,1,palm,left_hand,handle_loop,698,504.804,129.364,0.233369,0.809116,palm_handle_from_stable_grasp_anchor,-0.068783,0.022605,-0.004751,visible,1,0
95,3.916667,1,palm,left_hand,handle_loop,698,508.522,135.349,0.226629,0.833255,palm_handle_from_stable_grasp_anchor,-0.068783,0.022605,-0.004751,visible,1,0
96,3.958333,1,palm,left_hand,handle_loop,654,513.066,139.767,0.223442,0.865851,palm_handle_from_stable_grasp_anchor,-0.075030,0.019253,-0.004751,visible,1,0
97,4.000000,1,palm,left_hand,handle_loop,610,517.989,145.882,0.220044,0.916589,palm_handle_from_stable_grasp_anchor,-0.080372,0.014521,-0.004751,visible,1,0
98,4.041667,1,palm,left_hand,body_shell_or_occluded_handle_region,558,507.525,154.535,0.239047,1.000000,palm_handle_from_stable_grasp_anchor,-0.106608,0.021316,0.028965,hidden,0,1
99,4.083333,1,palm,left_hand,body_shell_or_occluded_handle_region,516,512.869,160.157,0.279113,1.000000,palm_handle_from_stable_grasp_anchor,-0.156898,0.024262,0.019132,hidden,0,1
100,4.125000,1,palm,left_hand,body_shell_or_occluded_handle_region,539,518.372,175.092,0.259482,1.000000,palm_handle_from_stable_grasp_anchor,-0.153605,0.034305,0.005992,hidden,0,1
101,4.166667,1,palm,left_hand,body_shell,81,525.227,177.644,0.204348,1.000000,palm_handle_from_stable_grasp_anchor,-0.014372,-0.010136,0.047875,hidden,0,1
102,4.208333,1,palm,left_hand,bottom_disk,44,533.321,193.072,0.160339,1.000000,palm_handle_from_stable_grasp_anchor,-0.005569,-0.002126,0.036729,hidden,0,1
103,4.250000,1,palm,left_hand,body_shell,161,539.408,202.947,0.084477,1.000000,palm_handle_from_stable_grasp_anchor,0.032872,-0.013263,0.020351,hidden,0,1
104,4.291667,1,palm,left_hand,body_shell,169,545.610,215.860,0.038272,1.000000,palm_handle_from_stable_grasp_anchor,0.054903,-0.012614,0.022210,hidden,0,1
105,4.333333,1,palm,left_hand,body_shell_or_occluded_handle_region,600,556.342,231.720,0.176351,1.000000,palm_handle_from_stable_grasp_anchor,-0.084405,0.019688,0.040999,hidden,0,1
106,4.375000,1,palm,left_hand,body_shell_or_occluded_handle_region,492,563.710,235.231,0.183054,1.000000,palm_handle_from_stable_grasp_anchor,-0.119610,0.004276,0.040348,hidden,0,1
107,4.416667,1,palm,left_hand,body_shell_or_occluded_handle_region,555,570.492,248.250,0.087022,1.000000,palm_handle_from_stable_grasp_anchor,-0.077695,0.003981,0.032909,hidden,0,1
