frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
37,1.500000,-0.195971744,-0.378000058,3.764160219,-0.150313840,-8.612349,-0.058108020,-3.329344,-0.001398425,-0.080124,1.105112845,1.343916,77.0007,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
38,1.541667,-0.210490284,-0.397290032,3.755640217,-0.162189437,-9.292770,-0.068657718,-3.933797,-0.033327485,-1.909524,1.103225234,1.487691,85.2384,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
39,1.583333,-0.224785493,-0.415715401,3.750179332,-0.169354097,-9.703275,-0.083239955,-4.769298,-0.038350809,-2.197340,1.102763159,1.631359,93.4700,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
40,1.625000,-0.238781751,-0.433252732,3.746863242,-0.176315786,-10.102150,-0.105498462,-6.044617,-0.040752082,-2.334922,1.083495771,1.774255,101.6573,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
41,1.666667,-0.252418991,-0.449905410,3.745072064,-0.188316441,-10.789737,-0.131307486,-7.523365,-0.059209575,-3.392459,1.064437538,1.913596,109.6410,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
42,1.708333,-0.265653945,-0.465686582,3.744382142,-0.201522900,-11.546412,-0.156929669,-8.991408,-0.079090300,-4.531540,1.069557787,2.042657,117.0356,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
43,1.750000,-0.278463517,-0.480615182,3.744642212,-0.214544064,-12.292469,-0.181299392,-10.387690,-0.096592253,-5.534328,1.052844940,2.153355,123.3782,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
44,1.791667,-0.290828660,-0.494717051,3.745776022,-0.223030851,-12.778726,-0.200426876,-11.483614,-0.099167366,-5.681872,1.060501702,2.244609,128.6066,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
45,1.833333,-0.302716501,-0.508027120,3.747912303,-0.238224954,-13.649284,-0.220831017,-12.652685,-0.113872999,-6.524442,1.066850201,2.325114,133.2192,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
46,1.875000,-0.314081767,-0.520581107,3.751141595,-0.253672905,-14.534387,-0.248152667,-14.218100,-0.130383629,-7.470432,1.056232780,2.404431,137.7638,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
47,1.916667,-0.324865260,-0.532403885,3.755476540,-0.263348190,-15.088740,-0.274481813,-15.726649,-0.134241170,-7.691453,1.041797756,2.485809,142.4264,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
48,1.958333,-0.334992215,-0.543497879,3.761053992,-0.279754089,-16.028729,-0.299251978,-17.145875,-0.147034511,-8.424457,1.055588545,2.569333,147.2119,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
49,2.000000,-0.344412933,-0.553879187,3.768162649,-0.298244051,-17.088125,-0.321791144,-18.437274,-0.162573135,-9.314754,1.068200522,2.659031,152.3513,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
50,2.041667,-0.353098607,-0.563531007,3.776559377,-0.314311377,-18.008715,-0.345500704,-19.795732,-0.177647341,-10.178443,1.059352538,2.766877,158.5304,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
