frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,decision_source
134,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,1.040000,1,,,,,generic_sequence_se3_mainline
135,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.085000,1.013333,1,,,,,generic_sequence_se3_mainline
136,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.085000,1.013333,1,,,,,generic_sequence_se3_mainline
137,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
138,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
139,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
140,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
141,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
142,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
143,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
144,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
145,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
146,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
147,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.546667,1,,,,,generic_sequence_se3_mainline
148,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
149,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.760000,1,,,,,generic_sequence_se3_mainline
150,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.865000,0.913333,1,,,,,generic_sequence_se3_mainline
151,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.040000,1,,,,,generic_sequence_se3_mainline
152,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
153,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
154,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.546667,1,,,,,generic_sequence_se3_mainline
155,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.730000,1,,,,,generic_sequence_se3_mainline
156,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
157,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
158,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
159,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
160,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
161,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
162,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
163,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
