frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
86,3.541667,0,none,right,none,left,750.130,307.393,0.093789,0.042660,0.000000,hand_floor_from_anchor_floor_candidates
87,3.583333,0,none,right,none,left,774.218,277.403,0.026219,0.017595,0.000000,hand_floor_from_anchor_floor_candidates
88,3.625000,0,none,right,none,left,792.624,255.952,-0.010764,0.007005,0.000000,hand_floor_from_anchor_floor_candidates
89,3.666667,0,none,right,none,left,807.984,241.885,-0.028939,0.002957,0.000000,hand_floor_from_anchor_floor_candidates
90,3.708333,0,none,right,none,left,800.841,232.612,-0.013219,0.002351,0.000000,hand_floor_from_anchor_floor_candidates
91,3.750000,0,none,right,none,left,792.672,227.352,0.000633,0.001902,0.000000,hand_floor_from_anchor_floor_candidates
92,3.791667,0,none,right,none,left,784.976,227.032,0.008654,0.001586,0.000000,hand_floor_from_anchor_floor_candidates
93,3.833333,0,none,right,none,left,778.436,230.775,0.000157,0.001356,0.000000,hand_floor_from_anchor_floor_candidates
94,3.875000,0,none,right,none,left,773.517,239.824,0.021373,0.001111,0.000000,hand_floor_from_anchor_floor_candidates
95,3.916667,0,none,right,none,left,767.749,253.211,0.027598,0.000927,0.000000,hand_floor_from_anchor_floor_candidates
96,3.958333,0,none,right,none,left,762.313,271.077,0.003285,0.000833,0.000000,hand_floor_from_anchor_floor_candidates
97,4.000000,0,none,right,none,left,757.622,292.408,0.031293,0.000785,0.000000,hand_floor_from_anchor_floor_candidates
98,4.041667,0,none,right,none,left,753.215,318.600,0.019631,0.000823,0.000000,hand_floor_from_anchor_floor_candidates
99,4.083333,0,none,right,none,left,748.785,310.800,0.026875,0.000828,0.000000,hand_floor_from_anchor_floor_candidates
100,4.125000,0,none,right,none,left,743.939,298.942,0.027683,0.000880,0.000000,hand_floor_from_anchor_floor_candidates
101,4.166667,0,none,right,none,left,738.389,290.973,0.022248,0.001026,0.000000,hand_floor_from_anchor_floor_candidates
102,4.208333,0,none,right,none,left,734.186,289.075,0.010018,0.001262,0.000000,hand_floor_from_anchor_floor_candidates
103,4.250000,0,none,right,none,left,728.968,291.569,0.028204,0.001609,0.000000,hand_floor_from_anchor_floor_candidates
104,4.291667,0,none,right,none,left,724.174,300.982,0.007646,0.002036,0.000000,hand_floor_from_anchor_floor_candidates
