frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
152,0,0,0,0,optimize,free_motion,0.072065,0.038575,0.180000,0.220000,0.220000,0,0,0,0,0.153017,0.000000
153,0,0,0,0,optimize,uniform_motion,0.053008,0.023127,0.180000,0.220000,0.220000,0,0,0,1,0.125777,0.000000
154,0,0,0,0,optimize,high_speed,0.164727,0.020600,0.300000,0.420000,0.340000,0,0,0,1,0.049211,0.000000
155,0,0,0,0,optimize,uniform_motion,0.039835,0.010605,0.180000,0.220000,0.220000,0,0,0,0,0.070207,0.000000
156,0,0,0,0,optimize,low_speed,0.026591,0.008455,0.100000,0.120000,0.120000,0,0,0,0,0.085564,0.000000
157,0,0,0,0,optimize,low_speed,0.026304,0.008587,0.100000,0.120000,0.120000,0,0,0,0,0.096014,0.000000
158,0,0,0,0,optimize,low_speed,0.012962,0.008863,0.100000,0.120000,0.120000,0,0,0,0,0.106851,0.000000
159,0,0,0,0,optimize,low_speed,0.026745,0.009395,0.100000,0.120000,0.120000,0,0,0,0,0.100227,0.000000
160,0,0,0,0,optimize,low_speed,0.023630,0.010340,0.100000,0.120000,0.120000,0,0,0,0,0.096138,0.000000
161,0,0,0,0,optimize,low_speed,0.019350,0.011991,0.100000,0.120000,0.120000,0,0,0,0,0.095168,0.000000
162,0,0,0,0,optimize,low_speed,0.015545,0.015053,0.100000,0.120000,0.120000,0,0,0,0,0.096650,0.000000
163,0,0,0,0,optimize,low_speed,0.017452,0.018775,0.100000,0.120000,0.120000,0,0,0,0,0.096037,0.000000
164,0,0,0,0,optimize,low_speed,0.021668,0.020857,0.100000,0.120000,0.120000,0,0,0,0,0.092663,0.000000
165,0,0,0,0,optimize,low_speed,0.023856,0.022121,0.100000,0.120000,0.120000,0,0,0,0,0.096292,0.000000
166,0,0,0,0,optimize,free_motion,0.099727,0.023783,0.180000,0.220000,0.220000,0,0,0,0,0.027801,0.000000
167,0,0,0,0,optimize,free_motion,0.079482,0.025667,0.180000,0.220000,0.220000,0,0,0,0,0.036843,0.000000
168,0,0,0,0,optimize,uniform_motion,0.056756,0.058290,0.180000,0.220000,0.220000,0,0,0,0,0.052097,0.000000
169,0,0,0,0,optimize,uniform_motion,0.059193,0.059783,0.180000,0.220000,0.220000,0,0,0,0,0.057015,0.000000
170,0,0,0,0,optimize,uniform_motion,0.063231,0.060394,0.180000,0.220000,0.220000,0,0,0,0,0.039948,0.000000
171,0,0,0,0,optimize,free_motion,0.083935,0.060496,0.180000,0.220000,0.220000,0,0,0,0,0.062685,0.000000
172,0,0,0,0,optimize,free_motion,0.081019,0.060017,0.180000,0.220000,0.220000,0,0,0,0,0.058043,0.000000
173,0,0,0,0,optimize,free_motion,0.090593,0.058913,0.180000,0.220000,0.220000,0,0,0,0,0.071855,0.000000
174,0,0,0,0,optimize,free_motion,0.109450,0.057817,0.180000,0.220000,0.220000,0,0,0,0,0.120323,0.000000
175,0,0,0,0,optimize,high_speed,0.117451,0.055874,0.300000,0.420000,0.340000,0,0,0,0,0.183170,0.000000
176,0,0,0,0,optimize,high_speed,0.131339,0.009681,0.300000,0.420000,0.340000,0,0,0,0,0.310459,0.000000
177,0,0,0,0,optimize,sustained_grasp,0.105449,0.008428,0.180000,0.220000,0.220000,0,0,0,1,0.414324,0.000000
178,0,0,0,0,optimize,free_motion,0.107785,0.008780,0.180000,0.220000,0.220000,0,0,0,0,0.306198,0.000000
179,0,0,0,0,optimize,free_motion,0.094582,0.009624,0.180000,0.220000,0.220000,0,0,0,0,0.212464,0.000000
180,0,0,0,0,optimize,free_motion,0.086417,0.043429,0.180000,0.220000,0.220000,0,0,0,0,0.141878,0.000000
181,0,0,0,0,optimize,free_motion,0.074060,0.051241,0.180000,0.220000,0.220000,0,0,0,0,0.128359,0.000000
182,0,0,0,0,optimize,uniform_motion,0.062729,0.052759,0.180000,0.220000,0.220000,0,0,0,1,0.169865,0.000000
183,0,0,0,0,optimize,high_speed,0.160702,0.053713,0.300000,0.420000,0.340000,0,0,0,0,0.096499,0.000000
184,0,1,0,0,optimize,high_speed,0.245481,0.053071,0.300000,0.420000,0.340000,0,0,1,1,0.155093,0.000000
185,0,0,0,0,optimize,low_speed,0.018511,0.013290,0.100000,0.120000,0.120000,0,0,0,0,0.162445,0.000000
186,0,0,0,0,optimize,low_speed,0.026306,0.010157,0.100000,0.120000,0.120000,0,0,0,0,0.174560,0.000000
187,0,0,0,0,optimize,low_speed,0.018544,0.009290,0.100000,0.120000,0.120000,0,0,0,0,0.155156,0.000000
188,0,0,0,0,optimize,uniform_motion,0.034619,0.007791,0.180000,0.220000,0.220000,0,0,0,0,0.128310,0.000000
189,0,0,0,0,optimize,free_motion,0.073723,0.004678,0.180000,0.220000,0.220000,0,0,0,0,0.156549,0.000000
190,0,0,0,0,optimize,free_motion,0.079874,0.002668,0.180000,0.220000,0.220000,0,0,0,0,0.171200,0.000000
191,0,0,0,0,optimize,high_speed,0.167229,0.042396,0.300000,0.420000,0.340000,0,0,0,1,0.203463,0.000000
192,0,1,0,0,optimize,sustained_grasp_high_speed,0.314962,0.044263,0.300000,0.420000,0.340000,0,0,1,1,0.378266,0.000000
193,0,0,0,0,optimize,uniform_motion,0.046081,0.043709,0.180000,0.220000,0.220000,0,0,0,0,0.358627,0.000000
