frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,z_ref_anchor_segment,contact_part,contact_side,contact_label,contact_u,contact_v
37,1.500000,0.112152,0.232257,2.914288,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,696.517,477.042,696.517,477.042,489.800,489.800,696.517,477.042,489.800,2.914288,-0.000053,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.914288,none,right,none,687.613,477.205
38,1.541667,0.109189,0.297397,2.914288,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,695.024,509.868,695.024,509.868,518.877,518.877,695.024,509.868,518.877,2.914288,0.010943,1,0,generic_anchor_depth_raw_contact_interp_debug,1,2.914288,floor,,floor,685.518,510.813
39,1.583333,0.114300,0.184833,2.910119,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,697.682,453.277,697.682,453.277,462.786,462.786,697.682,453.277,462.786,2.910119,0.016403,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.910119,none,right,none,688.323,452.813
40,1.625000,0.115957,0.112976,2.910119,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,698.518,417.014,698.518,417.014,426.863,426.863,698.518,417.014,426.863,2.910119,0.021231,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.910119,none,right,none,688.499,416.790
41,1.666667,0.115298,0.050413,2.885062,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,698.691,385.662,698.691,385.662,394.387,394.387,698.691,385.662,394.387,2.885062,0.001476,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.885062,none,right,none,688.610,385.516
42,1.708333,0.115772,0.001195,2.878093,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,699.075,360.610,699.075,360.610,369.995,369.995,699.075,360.610,369.995,2.878093,0.001334,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.878093,none,right,none,689.134,360.555
43,1.750000,0.111131,-0.035659,2.799587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,698.297,341.294,698.297,341.294,350.260,350.260,698.297,341.294,350.260,2.799587,-0.004527,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.799587,none,right,none,688.274,341.092
44,1.791667,0.105013,-0.055276,2.704130,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,697.032,329.980,697.032,329.980,339.034,339.034,697.032,329.980,339.034,2.704130,0.022906,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.704130,none,right,none,687.141,329.729
45,1.833333,0.101337,-0.064649,2.666515,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,695.812,324.394,695.812,324.394,333.387,333.387,695.812,324.394,333.387,2.666515,0.008200,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.666515,none,right,none,685.998,324.322
46,1.875000,0.077396,-0.050534,2.090137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,694.381,324.493,694.381,324.493,333.199,333.199,694.381,324.493,333.199,2.090137,-0.827600,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.090137,none,right,none,685.069,324.148
47,1.916667,0.084680,-0.054503,2.090137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,699.499,321.704,699.499,321.704,331.352,331.352,699.499,321.704,331.352,2.090137,0.022426,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.090137,none,right,none,710.062,318.621
48,1.958333,0.119763,-0.077097,2.090137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,724.150,305.829,724.150,305.829,315.319,315.319,724.150,305.829,315.319,2.090137,-1.148018,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.090137,none,right,none,724.373,315.319
49,2.000000,0.150441,-0.105234,2.090137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,745.705,286.059,745.705,286.059,294.829,294.829,745.705,286.059,294.829,2.090137,0.026342,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.090137,none,right,none,735.527,285.283
50,2.041667,0.220392,-0.154183,2.556384,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,766.612,271.424,766.612,271.424,279.734,279.734,766.612,271.424,279.734,2.556384,0.014389,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.556384,none,right,none,756.819,270.669
