frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
88,3.625000,uniform_motion,0.051501,0,0,0,generic_motion_regime_from_se3_and_anchor_state
89,3.666667,uniform_motion,0.037679,0,0,0,generic_motion_regime_from_se3_and_anchor_state
90,3.708333,low_speed,0.021764,0,0,0,generic_motion_regime_from_se3_and_anchor_state
91,3.750000,low_speed,0.018161,0,0,0,generic_motion_regime_from_se3_and_anchor_state
92,3.791667,low_speed,0.014053,0,0,0,generic_motion_regime_from_se3_and_anchor_state
93,3.833333,low_speed,0.013835,0,0,0,generic_motion_regime_from_se3_and_anchor_state
94,3.875000,low_speed,0.018585,0,0,0,generic_motion_regime_from_se3_and_anchor_state
95,3.916667,low_speed,0.027518,0,0,0,generic_motion_regime_from_se3_and_anchor_state
96,3.958333,uniform_motion,0.040498,0,0,0,generic_motion_regime_from_se3_and_anchor_state
97,4.000000,uniform_motion,0.048977,0,0,0,generic_motion_regime_from_se3_and_anchor_state
98,4.041667,uniform_motion,0.050417,0,0,0,generic_motion_regime_from_se3_and_anchor_state
99,4.083333,low_speed,0.017015,0,0,0,generic_motion_regime_from_se3_and_anchor_state
100,4.125000,uniform_motion,0.052873,0,0,0,generic_motion_regime_from_se3_and_anchor_state
101,4.166667,low_speed,0.018636,0,0,0,generic_motion_regime_from_se3_and_anchor_state
102,4.208333,static_hold,0.008667,0,0,0,generic_motion_regime_from_se3_and_anchor_state
103,4.250000,low_speed,0.014725,0,0,0,generic_motion_regime_from_se3_and_anchor_state
104,4.291667,low_speed,0.020053,0,0,0,generic_motion_regime_from_se3_and_anchor_state
105,4.333333,low_speed,0.032243,0,0,0,generic_motion_regime_from_se3_and_anchor_state
106,4.375000,uniform_motion,0.049463,0,0,0,generic_motion_regime_from_se3_and_anchor_state
107,4.416667,uniform_motion,0.067767,0,0,0,generic_motion_regime_from_se3_and_anchor_state
108,4.458333,free_motion,0.102430,0,0,0,generic_motion_regime_from_se3_and_anchor_state
109,4.500000,free_motion,0.104345,0,0,0,generic_motion_regime_from_se3_and_anchor_state
110,4.541667,sustained_grasp,0.082165,1,1,1,generic_motion_regime_from_se3_and_anchor_state
111,4.583333,free_motion,0.087285,0,0,0,generic_motion_regime_from_se3_and_anchor_state
112,4.625000,free_motion,0.083492,0,0,0,generic_motion_regime_from_se3_and_anchor_state
113,4.666667,high_speed,0.113447,0,0,0,generic_motion_regime_from_se3_and_anchor_state
114,4.708333,high_speed,0.147543,0,0,0,generic_motion_regime_from_se3_and_anchor_state
115,4.750000,uniform_motion,0.035344,0,0,0,generic_motion_regime_from_se3_and_anchor_state
116,4.791667,high_speed,0.167205,0,0,0,generic_motion_regime_from_se3_and_anchor_state
117,4.833333,low_speed,0.028297,0,0,0,generic_motion_regime_from_se3_and_anchor_state
118,4.875000,uniform_motion,0.033488,0,0,0,generic_motion_regime_from_se3_and_anchor_state
119,4.916667,high_speed,0.172731,0,0,0,generic_motion_regime_from_se3_and_anchor_state
120,4.958333,free_motion,0.081514,0,0,0,generic_motion_regime_from_se3_and_anchor_state
121,5.000000,low_speed,0.028082,0,0,0,generic_motion_regime_from_se3_and_anchor_state
122,5.041667,low_speed,0.027251,0,0,0,generic_motion_regime_from_se3_and_anchor_state
123,5.083333,low_speed,0.016596,0,0,0,generic_motion_regime_from_se3_and_anchor_state
124,5.125000,low_speed,0.016439,0,0,0,generic_motion_regime_from_se3_and_anchor_state
