frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
28,1.125000,775.996,224.300,775.402,223.264,ref,771.400,225.128,human_nearest_mesh_topk,776.110,230.215,230.878,5.915,6.950,bottom_percentile_95,2.737767,2.774570,0.036803,1.000000,0.139696,0.002039,1.000000,1.000000,0.300457,9.420000,0.277900,5.000000,8.000000,right_hand,0.002039,535.206,311.181,3.335262,left,2.758769,2.737767,1.000000,0.663460,0.000000,0.000000
29,1.166667,764.680,224.399,765.212,226.801,ref,759.420,225.708,human_nearest_mesh_topk,764.722,233.959,231.752,9.560,7.159,bottom_percentile_95,2.751506,2.770115,0.018609,1.000000,0.000000,0.001788,1.000000,1.000000,0.307809,9.321000,0.143250,5.000000,8.000000,right_hand,0.001788,522.570,324.354,3.310289,left,2.762748,2.751506,1.000000,2.207107,0.000000,0.000000
30,1.208333,756.688,237.015,756.695,234.447,ref,751.741,238.536,human_nearest_mesh_topk,756.990,241.765,244.603,4.750,7.319,bottom_percentile_95,2.801110,2.849102,0.047992,1.000000,0.000000,0.001737,1.000000,1.000000,1.000000,0.000000,0.258600,5.000000,8.000000,right_hand,0.001737,514.371,339.096,3.272485,left,2.841695,2.801110,1.000000,2.837988,0.000000,0.000000
31,1.250000,750.194,244.668,750.321,244.355,ref,745.242,245.486,human_nearest_mesh_topk,750.724,251.677,251.165,7.009,7.322,bottom_percentile_95,2.831251,2.864507,0.033256,1.000000,0.000000,0.001606,1.000000,1.000000,1.000000,0.000000,0.832650,5.000000,8.000000,right_hand,0.001606,508.547,354.959,3.228905,left,2.855911,2.831251,1.000000,0.511955,0.167295,0.000000
32,1.291667,743.286,259.744,742.493,262.211,ref,737.916,260.796,human_nearest_mesh_topk,743.181,269.607,267.074,9.863,7.395,bottom_percentile_95,2.853430,2.877984,0.024553,1.000000,0.000000,0.001718,1.000000,1.000000,1.000000,0.000000,0.023700,5.000000,8.000000,right_hand,0.001718,504.937,370.958,3.180675,left,2.871577,2.853430,1.000000,2.533048,0.902603,0.000000
33,1.333333,732.576,298.286,733.212,300.735,ref,726.790,301.190,human_nearest_mesh_topk,732.402,308.257,309.198,9.971,7.522,bottom_percentile_95,2.885529,2.920122,0.034593,1.000000,0.000000,0.002781,0.914332,0.914332,1.000000,0.000000,3.324350,5.000000,8.000000,right_hand,0.002781,503.930,386.112,3.124359,left,2.911792,2.885529,0.914332,0.941593,0.000000,0.000000
34,1.375000,723.924,347.552,723.953,338.549,ref,717.640,345.890,human_nearest_mesh_topk,724.751,346.292,354.853,-1.260,7.743,bottom_percentile_95,2.896027,2.911610,0.015584,1.000000,0.000000,0.004492,0.928094,0.928094,1.000000,0.000000,0.431100,5.000000,8.000000,right_hand,0.004492,503.857,398.759,3.065704,left,2.904616,2.896027,0.928094,8.561005,0.000000,0.000000
35,1.416667,715.772,366.231,715.503,373.918,ref,710.356,364.948,human_nearest_mesh_topk,717.065,381.789,374.281,15.558,7.871,bottom_percentile_95,2.905018,2.919549,0.014531,1.000000,0.000000,0.005407,1.000000,1.000000,1.000000,0.000000,0.251050,5.000000,8.000000,right_hand,0.005407,501.953,407.837,2.996145,left,2.912374,2.905018,1.000000,7.507888,0.385201,0.000000
36,1.458333,706.224,418.047,705.484,421.494,ref,700.639,417.016,human_nearest_mesh_topk,707.589,429.452,425.779,11.405,7.958,bottom_percentile_95,2.925513,2.948220,0.022707,1.000000,0.000000,0.007140,0.556550,0.556550,1.000000,0.000000,0.318200,5.000000,8.000000,right_hand,0.007076,498.700,414.279,2.933188,grid_02_00,2.942281,2.925513,0.556550,3.672740,0.000000,0.000000
37,1.500000,696.517,477.042,698.095,468.350,ref,691.832,474.465,human_nearest_mesh_topk,697.052,476.282,487.924,-0.760,7.931,bottom_percentile_95,2.917473,2.917420,-0.000053,1.000000,0.000000,0.006344,1.000000,1.000000,0.000000,59.028925,2.831950,5.000000,8.000000,right_hand,0.006160,492.886,417.808,2.873320,grid_02_00,2.910895,2.917473,1.000000,11.642779,1.000000,0.000000
38,1.541667,695.024,509.868,695.913,479.096,ref,689.793,507.333,human_nearest_mesh_topk,695.900,487.136,517.667,-22.732,8.040,bottom_percentile_95,2.922360,2.933303,0.010943,1.000000,0.000000,0.004574,0.809839,0.809839,0.000000,91.887453,0.251050,5.000000,8.000000,right_hand,0.004385,488.040,420.416,2.823460,grid_02_00,2.926359,2.922360,0.809839,30.531598,1.000000,0.000000
39,1.583333,697.682,453.277,697.583,452.751,ref,692.312,451.865,human_nearest_mesh_topk,698.958,460.825,461.358,7.548,8.074,bottom_percentile_95,2.933204,2.949607,0.016403,1.000000,0.000000,0.006180,0.568639,0.568639,0.000000,35.239918,0.111700,5.000000,8.000000,right_hand,0.006070,486.513,421.827,2.778996,grid_02_00,2.942075,2.933204,0.568639,0.533062,0.406304,0.000000
