frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
61,2.500000,0.500000,0.150000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,3.707931,0.120338,floor,gvhmr_floor,-130.150636,0.750000,,,,517.622,372.987
62,2.541667,0.464986,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.000191,0.464986,floor,gvhmr_floor,-149.008908,0.750000,,,,499.805,363.412
63,2.583333,1.000000,0.000000,0.749361,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.513896,1.000000,floor,gvhmr_floor,-171.837298,0.750000,,,,479.437,348.589
64,2.625000,0.798925,0.000000,0.479030,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,5.772142,0.798925,floor,gvhmr_floor,-195.446171,0.750000,,,,458.087,330.383
65,2.666667,0.134095,0.134095,0.326846,0,0,0,0,0,proposal,hand,left_hand,left,hand,30.241817,30.241817,0.123649,0.025026,floor,gvhmr_floor,-216.267182,0.750000,left,446.000,342.262,443.074,312.162
66,2.708333,0.101373,0.101373,0.212527,0,0,0,0,0,none,hand,left_hand,left,hand,33.103484,33.103484,0.050250,0.000000,floor,gvhmr_floor,-234.068090,0.750000,left,438.701,327.836,432.503,295.318
67,2.750000,0.272766,0.084477,0.122476,0,0,0,0,0,none,hand,left_hand,left,hand,34.842355,34.842355,0.026743,0.272766,floor,gvhmr_floor,-249.070025,0.750000,left,435.024,316.925,428.853,282.634
68,2.791667,0.293006,0.070155,0.068378,0,0,0,0,0,none,hand,left_hand,left,hand,36.528973,36.528973,-0.042405,0.293006,floor,gvhmr_floor,-261.098080,0.750000,left,434.356,311.331,430.189,275.040
69,2.833333,0.330980,0.065265,0.068665,0,0,0,0,0,none,hand,left_hand,left,hand,37.164391,37.164391,-0.026866,0.330980,floor,gvhmr_floor,-269.509618,0.750000,left,436.427,309.724,435.488,272.571
70,2.875000,0.333617,0.000000,0.146225,0,0,0,0,0,none,hand,left_hand,left,hand,100.558786,100.558786,0.266035,0.333617,floor,gvhmr_floor,-273.208895,0.750000,bottom,495.487,362.448,447.523,274.065
71,2.916667,0.329373,0.000001,0.241016,0,0,0,0,0,none,hand,left_hand,left,hand,94.324102,94.324102,0.062132,0.329373,floor,gvhmr_floor,-273.123289,0.750000,bottom,503.237,371.365,466.783,284.370
72,2.958333,0.408527,0.000006,0.384622,0,0,0,0,0,proposal,hand,left_hand,left,hand,85.938703,85.938703,-0.155423,0.408527,floor,gvhmr_floor,-269.010665,0.750000,bottom,512.987,384.874,491.394,301.692
73,3.000000,0.872287,0.065767,0.141090,1,1,0,1,0,none,hand,left_hand,left,hand,37.097453,37.097453,-0.085329,0.872287,floor,gvhmr_floor,-273.004528,0.750000,center,533.793,361.965,523.884,326.216
74,3.041667,0.998485,0.000000,0.817311,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.128844,0.998485,floor,gvhmr_floor,-256.716632,0.750000,,,,562.443,354.879
75,3.083333,0.519366,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.092904,0.519366,floor,gvhmr_floor,-235.287305,0.750000,,,,605.178,382.911
76,3.125000,0.000000,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.052038,0.000000,floor,gvhmr_floor,-202.524076,0.750000,,,,639.516,395.033
77,3.166667,1.000000,0.150000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,1.347982,1.000000,floor,gvhmr_floor,-160.845215,0.750000,,,,668.496,403.311
78,3.208333,1.000000,0.225000,1.000000,0,0,1,1,0,strong,floor,floor,,hand,inf,inf,0.269320,1.000000,floor,gvhmr_floor,-125.550613,0.750000,,,,,
79,3.250000,1.000000,0.300000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.126555,0.965514,floor,gvhmr_floor,-112.515591,0.750000,,,,806.966,416.322
80,3.291667,0.750000,0.225000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.066892,0.002931,floor,gvhmr_floor,-119.494476,0.750000,,,,827.402,409.722
81,3.333333,0.500000,0.150000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.014724,0.273143,floor,gvhmr_floor,-133.701896,0.750000,,,,850.606,394.268
82,3.375000,0.260951,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.001684,0.260951,floor,gvhmr_floor,-150.463689,0.750000,,,,876.641,370.396
83,3.416667,0.209891,0.000000,0.748787,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.038401,0.209891,floor,gvhmr_floor,-172.871845,0.750000,,,,900.055,345.947
84,3.458333,0.330854,0.000000,0.459407,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,-0.014166,0.330854,floor,gvhmr_floor,-196.724154,0.750000,,,,918.218,320.858
85,3.500000,0.408800,0.000000,0.210315,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.049736,0.408800,floor,gvhmr_floor,-220.450370,0.750000,,,,932.982,297.212
86,3.541667,0.476060,0.000000,0.058832,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.063320,0.476060,floor,gvhmr_floor,-241.333721,0.750000,,,,945.007,277.107
87,3.583333,0.588830,0.000000,0.005053,0,0,0,0,0,none,hand,right_hand,right,hand,98.336490,98.336490,0.271190,0.588830,floor,gvhmr_floor,-257.469767,0.750000,bottom,901.385,349.168,951.102,264.325
88,3.625000,0.591769,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,101.378442,101.378442,0.929059,0.591769,floor,gvhmr_floor,-269.657799,0.750000,bottom,901.113,346.192,952.040,258.533
89,3.666667,0.474964,0.000000,0.021913,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.000307,0.474964,floor,gvhmr_floor,-276.820822,0.750000,,,,947.688,261.936
90,3.708333,0.638942,0.000000,0.162532,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.007146,0.638942,floor,gvhmr_floor,-277.866538,0.750000,,,,939.620,275.312
91,3.750000,0.906973,0.000000,0.395072,0,0,0,0,0,proposal,hand,left_hand,left,hand,inf,inf,0.002302,0.906973,floor,gvhmr_floor,-272.036039,0.750000,,,,924.579,298.552
92,3.791667,1.000000,0.000000,0.778329,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.027571,1.000000,floor,gvhmr_floor,-257.138790,0.750000,,,,901.953,329.454
93,3.833333,1.000000,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.067411,1.000000,floor,gvhmr_floor,-232.413315,0.750000,,,,870.576,364.338
94,3.875000,0.592977,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.064506,0.592977,floor,gvhmr_floor,-204.422183,0.750000,,,,830.999,391.233
95,3.916667,1.000000,0.137921,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.034184,1.000000,floor,gvhmr_floor,-160.923790,0.750000,,,,861.276,622.373
96,3.958333,1.000000,0.206881,1.000000,0,0,1,1,0,strong,floor,floor,,hand,inf,inf,0.390754,1.000000,floor,gvhmr_floor,-119.546216,0.750000,,,,,
97,4.000000,1.000000,0.275842,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,113.404910,113.404910,0.004723,1.000000,floor,gvhmr_floor,-105.884613,0.750000,top,656.849,488.000,542.692,580.486
98,4.041667,0.689605,0.206881,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,114.598831,114.598831,0.038115,0.000000,floor,gvhmr_floor,-106.528392,0.750000,right,667.271,501.609,543.322,579.575
99,4.083333,0.459737,0.137921,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,131.216259,131.216259,0.029952,0.191502,floor,gvhmr_floor,-118.000737,0.750000,bottom,582.219,499.519,540.315,579.839
100,4.125000,0.719791,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.070417,0.719791,floor,gvhmr_floor,-137.090878,0.750000,,,,510.744,374.676
101,4.166667,0.512176,0.000000,0.984027,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.041106,0.512176,floor,gvhmr_floor,-156.872177,0.750000,,,,496.072,363.858
102,4.208333,0.259238,0.000000,0.769347,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.063206,0.259238,floor,gvhmr_floor,-176.777586,0.750000,,,,477.193,350.312
103,4.250000,0.263600,0.000000,0.569272,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,0.067215,0.263600,floor,gvhmr_floor,-196.357673,0.750000,,,,460.053,337.681
104,4.291667,0.284257,0.000000,0.381465,0,0,0,0,0,proposal,hand,left_hand,left,hand,inf,inf,0.047842,0.284257,floor,gvhmr_floor,-215.363833,0.750000,,,,448.524,324.882
105,4.333333,0.256229,0.000000,0.242302,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.044847,0.256229,floor,gvhmr_floor,-232.595446,0.750000,,,,443.334,313.332
106,4.375000,0.205093,0.000000,0.145151,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.016254,0.205093,floor,gvhmr_floor,-247.399274,0.750000,,,,443.181,304.320
107,4.416667,0.250724,0.000000,0.079838,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.161116,0.250724,floor,gvhmr_floor,-259.605154,0.750000,,,,451.017,299.072
108,4.458333,0.185169,0.000000,0.017108,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.040489,0.185169,floor,gvhmr_floor,-269.919570,0.750000,,,,464.420,297.990
109,4.500000,0.041025,0.000000,0.002842,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.003583,0.041025,floor,gvhmr_floor,-277.542262,0.750000,,,,484.496,300.744
110,4.541667,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.013980,0.000000,floor,gvhmr_floor,-284.435146,0.750000,,,,511.106,307.131
111,4.583333,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.011836,0.000000,floor,gvhmr_floor,-291.489164,0.750000,,,,544.637,315.131
112,4.625000,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.102085,0.000000,floor,gvhmr_floor,-302.611777,0.750000,,,,583.082,324.869
113,4.666667,0.094174,0.028252,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.049445,0.063203,floor,gvhmr_floor,-309.837806,0.750000,,,,620.024,323.376
114,4.708333,0.717109,0.042379,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.028451,0.717109,floor,gvhmr_floor,-314.695327,0.750000,,,,650.888,313.715
115,4.750000,0.632827,0.056505,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.029689,0.632827,floor,gvhmr_floor,-316.419791,0.750000,,,,678.065,306.573
116,4.791667,0.559943,0.042379,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.077822,0.559943,floor,gvhmr_floor,-312.816116,0.750000,,,,702.659,300.490
117,4.833333,1.000000,0.028252,0.000131,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.077632,1.000000,floor,gvhmr_floor,-307.646344,0.750000,,,,716.920,299.348
118,4.875000,0.394293,0.000000,0.022338,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.134759,0.394293,floor,gvhmr_floor,-303.400803,0.750000,,,,730.838,298.513
119,4.916667,0.000000,0.000000,0.022041,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.150537,0.000000,unknown_plane,local_plane,-270.484842,0.194965,,,,742.031,298.553
120,4.958333,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.139185,0.000000,unknown_plane,local_plane,-242.302833,0.340842,,,,749.796,297.193
121,5.000000,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.107903,0.000000,unknown_plane,local_plane,-218.404093,0.322975,,,,756.634,295.576
122,5.041667,0.013753,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.136184,0.013753,unknown_plane,local_plane,-197.555013,0.230577,,,,761.259,293.599
123,5.083333,0.025590,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.074715,0.025590,floor,gvhmr_floor,-210.981054,0.750000,,,,764.075,292.183
124,5.125000,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.094047,0.000000,floor,gvhmr_floor,-222.814744,0.750000,,,,765.807,291.350
125,5.166667,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.156318,0.000000,floor,gvhmr_floor,-232.656343,0.750000,,,,766.460,290.927
126,5.208333,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.156005,0.000000,floor,gvhmr_floor,-240.707466,0.750000,,,,766.173,291.210
127,5.250000,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.101513,0.000000,floor,gvhmr_floor,-247.155416,0.750000,,,,764.462,292.567
128,5.291667,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.088165,0.000000,floor,gvhmr_floor,-252.211018,0.750000,,,,761.728,294.746
129,5.333333,0.382420,0.382420,0.000000,0,0,0,0,0,proposal,hand,left_hand,left,hand,15.345410,15.345410,-0.002629,0.000441,floor,gvhmr_floor,-256.263393,0.750000,left,746.000,308.104,757.333,297.758
130,5.375000,0.102057,0.102057,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,33.037588,33.037588,0.022504,0.030731,floor,gvhmr_floor,-270.605164,0.750000,top,791.837,257.830,793.933,290.801
131,5.416667,0.084495,0.084495,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,34.840398,34.840398,0.023066,0.000000,floor,gvhmr_floor,-281.145951,0.750000,top,789.598,261.571,791.955,296.332
132,5.458333,0.083211,0.083211,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,34.982487,34.982487,0.036080,0.000000,floor,gvhmr_floor,-288.976854,0.750000,top,786.976,264.804,789.533,299.693
