frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
118,4.875000,-0.036729,0.164306,1.953180,0.032919,-0.000000,0.0,1.0,0.045
119,4.916667,-0.039798,0.179717,1.958660,0.043475,-0.000000,0.0,1.0,0.045
120,4.958333,-0.041889,0.194631,1.962891,0.052205,-0.000000,0.0,1.0,0.045
121,5.000000,-0.044465,0.206968,1.963429,0.058753,-0.000000,0.0,1.0,0.045
122,5.041667,-0.045288,0.212116,1.962656,0.063063,-0.000000,0.0,1.0,0.045
123,5.083333,-0.045416,0.215356,1.963429,0.065463,-0.000000,0.0,1.0,0.045
124,5.125000,-0.047209,0.218092,1.960939,0.066526,-0.000000,0.0,1.0,0.045
125,5.166667,-0.047942,0.219373,1.959650,0.066837,-0.000000,0.0,1.0,0.045
126,5.208333,-0.047892,0.220677,1.958364,0.066863,-0.000000,0.0,1.0,0.045
127,5.250000,-0.048335,0.222052,1.957723,0.066916,-0.000000,0.0,1.0,0.045
128,5.291667,-0.048667,0.223728,1.957042,0.067173,-0.000000,0.0,1.0,0.045
129,5.333333,-0.049207,0.225907,1.954321,0.067686,-0.000000,0.0,1.0,0.045
130,5.375000,-0.049098,0.227344,1.952746,0.068427,-0.000000,0.0,1.0,0.045
131,5.416667,-0.049476,0.229054,1.951440,0.069335,-0.000000,0.0,1.0,0.045
132,5.458333,-0.049456,0.230438,1.951828,0.070355,-0.000000,0.0,1.0,0.045
133,5.500000,-0.049747,0.231932,1.950422,0.071471,-0.000000,0.0,1.0,0.045
134,5.541667,-0.050534,0.233081,1.948779,0.072694,-0.000000,0.0,1.0,0.045
135,5.583333,-0.051301,0.234170,1.948345,0.074037,-0.000000,0.0,1.0,0.045
136,5.625000,-0.051738,0.235118,1.946760,0.075496,-0.000000,0.0,1.0,0.045
137,5.666667,-0.052509,0.236041,1.945747,0.077049,-0.000000,0.0,1.0,0.045
138,5.708333,-0.052583,0.237026,1.945244,0.078655,-0.000000,0.0,1.0,0.045
139,5.750000,-0.053395,0.237888,1.944075,0.080263,-0.000000,0.0,1.0,0.045
140,5.791667,-0.053855,0.238716,1.944507,0.081811,-0.000000,0.0,1.0,0.045
141,5.833333,-0.054496,0.239703,1.943277,0.083229,-0.000000,0.0,1.0,0.045
142,5.875000,-0.053967,0.240296,1.945890,0.084437,-0.000000,0.0,1.0,0.045
143,5.916667,-0.054237,0.240984,1.945828,0.085326,-0.000000,0.0,1.0,0.045
144,5.958333,-0.054083,0.241517,1.947269,0.085753,-0.000000,0.0,1.0,0.045
145,6.000000,-0.054192,0.242152,1.948134,0.085573,-0.000000,0.0,1.0,0.045
146,6.041667,-0.053828,0.242563,1.949546,0.084709,-0.000000,0.0,1.0,0.045
147,6.083333,-0.053502,0.243273,1.949402,0.083178,-0.000000,0.0,1.0,0.045
148,6.125000,-0.053123,0.243837,1.951916,0.081073,-0.000000,0.0,1.0,0.045
149,6.166667,-0.053219,0.244418,1.952236,0.078520,-0.000000,0.0,1.0,0.045
150,6.208333,-0.052533,0.244871,1.954283,0.075645,-0.000000,0.0,1.0,0.045
151,6.250000,-0.052040,0.245865,1.957428,0.072547,-0.000000,0.0,1.0,0.045
152,6.291667,-0.051546,0.246619,1.959325,0.069260,-0.000000,0.0,1.0,0.045
153,6.333333,-0.051435,0.247522,1.961416,0.065736,-0.000000,0.0,1.0,0.045
154,6.375000,-0.051573,0.248725,1.963172,0.061844,-0.000000,0.0,1.0,0.045
155,6.416667,-0.052099,0.249955,1.966390,0.057427,-0.000000,0.0,1.0,0.045
156,6.458333,-0.052021,0.250819,1.967419,0.052399,-0.000000,0.0,1.0,0.045
157,6.500000,-0.051471,0.251662,1.966598,0.046817,-0.000000,0.0,1.0,0.045
