frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
22,0.875000,-0.246284,0.596130,3.583464,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,,539.066,604.311,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.231528,3.730947,539.066,604.311,534.000,563.000,0.012039,0.012039,3.595503,3.593014,3.660358,3.593014,-0.135445,0.274873,0.000000,
23,0.916667,-0.248520,0.588096,3.585699,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,,538.213,600.868,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.243225,3.729294,538.213,600.868,528.000,560.000,0.021368,0.021368,3.607067,3.591111,3.607959,3.591111,-0.122227,0.255613,0.000000,
24,0.958333,-0.259548,0.453137,3.589207,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,,533.800,545.411,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,0,1,0,hand,right,right_hand,right_hand,0.234850,3.714227,533.800,545.411,532.000,502.000,0.125020,0.125020,3.714227,3.589207,3.581196,3.589207,0.000000,0.134421,0.867291,audio_floor_soft
25,1.000000,-0.280343,0.367842,3.707053,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,,528.938,505.726,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.207546,3.668438,528.938,505.726,519.000,460.000,-0.038615,-0.038615,3.668438,3.707053,3.557472,3.707053,0.000000,0.046789,0.000000,
26,1.041667,-0.285575,0.285446,3.646713,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,,524.993,474.955,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.160121,3.641512,524.993,474.955,520.000,435.000,-0.005201,-0.005201,3.641512,3.646713,3.543738,3.646713,0.000000,0.008292,0.000000,
27,1.083333,-0.295353,0.229391,3.639909,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,,520.833,452.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.107274,3.619800,520.833,452.553,521.000,410.000,0.034359,0.034359,3.674268,3.639930,3.532909,3.639930,0.054468,0.005183,0.000000,
28,1.125000,-0.297367,0.189601,3.633106,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,,519.796,436.642,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.065614,3.608790,519.796,436.642,519.000,394.000,0.073357,0.073357,3.706463,3.633147,3.538499,3.633147,0.097673,0.007350,0.000000,
29,1.166667,-0.294852,0.168811,3.626314,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.589,428.366,,520.589,428.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.040879,3.600039,520.589,428.366,521.000,380.000,0.126605,0.126605,3.752919,3.626365,3.535195,3.626365,0.152880,0.011487,0.000000,
30,1.208333,-0.295048,0.159278,3.619531,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.286,424.626,,520.286,424.626,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.033650,3.591058,520.286,424.626,518.000,378.000,0.115378,0.115378,3.734909,3.619582,3.535713,3.619582,0.143851,0.009162,0.000000,
31,1.250000,-0.292479,0.165556,3.612769,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,,521.106,427.299,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.052545,3.585791,521.106,427.299,520.000,382.000,0.087785,0.087785,3.700554,3.612799,3.534673,3.612799,0.114763,-0.003750,0.000000,
