case,condition,result_dir,artifact,present,sha256,full_sha256,same_as_full
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,human_sites.csv,True,9db77fc1e5745a6181be379a43604cf9b2c1b88c5e152df78f3312290b4cc9b6,bc78f1155816ac8d10ac2615f27646e62e597171062eb4eb8b07d16aa3bda1e5,False
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,contact_candidates.csv,True,8b24658a2eece3b07655809b5e0f90607c62562b77d472617d6a5cc22e4f5ed8,055eb351124a2d1dd4a850c39f72ce57e278347340d6823ea48aa69443947fa9,False
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,object_pose_init.csv,True,5b65c7997b5874b453c60f37a655a06e20b32d39df7e976b914e698564a72824,fa1522af37359205a7b672e6956eaeed84ebff7570eeb99b53571c5f5ad23e25,False
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,stage0_inputs_manifest.json,True,a33983bf5da01e3183c998032c1b2d708d28e8a373cd1ad313d0930eb260bfe7,a819040814dd53689a435437cd4a7b30e0829cdfc7d30133d7ba7b7f896ae569,False
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,object_observations.csv,True,9ba3cdc89f56a21934e0bce2c95ae39e9144bda00e5203c2da1490df8896fba4,4305b3a9009d5d0347db3f9c43026186b5bd08469cb153c9e204de3f97a5176b,False
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,object_correspondence.csv,True,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,True
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,human_sites.csv,True,b940b2502d2361c4be226bde68529472733c49d08111e9e1a505730a256d636b,bc78f1155816ac8d10ac2615f27646e62e597171062eb4eb8b07d16aa3bda1e5,False
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,contact_candidates.csv,True,22d6b37ba1e711fbc99c31e621bd8d30ec917b8f2782daaaefea3b2586d122a7,055eb351124a2d1dd4a850c39f72ce57e278347340d6823ea48aa69443947fa9,False
volleyball,VLM only,samples_known_object/13_volleyball/results/volleyball_no_audio,object_pose_init.csv,True,4ac2b496ddf1d1fb9edab4baa4325b6dada953af96b89edbf051da7a3d1ec865,fa1522af37359205a7b672e6956eaeed84ebff7570eeb99b53571c5f5ad23e25,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,stage0_inputs_manifest.json,True,6c3a49ff76da37579c350eba5cf0ff74b63508e044090eae544dff0f66a255ed,a819040814dd53689a435437cd4a7b30e0829cdfc7d30133d7ba7b7f896ae569,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,object_observations.csv,True,13099ff5b2003c07e1fa4731cc9ab9460fbf64ed924604208e72a21993308fa5,4305b3a9009d5d0347db3f9c43026186b5bd08469cb153c9e204de3f97a5176b,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,object_correspondence.csv,True,858c99c2880a5a5058b7c00e090832eebb773cb3ca0e6cd8822f983b22a68803,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,human_sites.csv,True,9db77fc1e5745a6181be379a43604cf9b2c1b88c5e152df78f3312290b4cc9b6,bc78f1155816ac8d10ac2615f27646e62e597171062eb4eb8b07d16aa3bda1e5,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,contact_candidates.csv,True,91f9e66d93d3f61c1fd0b2b1692b48b3dda278f1ea9950dfcb3f16d909ebc8aa,055eb351124a2d1dd4a850c39f72ce57e278347340d6823ea48aa69443947fa9,False
volleyball,Neither,samples_known_object/13_volleyball/results/paper_vision_only_v2,object_pose_init.csv,True,5b65c7997b5874b453c60f37a655a06e20b32d39df7e976b914e698564a72824,fa1522af37359205a7b672e6956eaeed84ebff7570eeb99b53571c5f5ad23e25,False
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,stage0_inputs_manifest.json,True,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,True
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,object_observations.csv,True,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,True
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,object_correspondence.csv,True,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,True
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,human_sites.csv,True,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,True
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,contact_candidates.csv,True,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,True
pingpong_wall,Audio + VLM,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,object_pose_init.csv,True,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,True
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,stage0_inputs_manifest.json,True,8cb5285a4941c18e8d569cbec4b1bb0e0415fc80d8a77cca6794c2b216522310,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,False
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,object_observations.csv,True,6b267fe60430ed648b4e2ea9d922f667c8e11ba2383fe7b3b619645eeb3933b4,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,False
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,object_correspondence.csv,True,8897c8627e078a3020b9fd301e89ee6fbe7d34bf486a77309c77bd64e1f585b9,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,False
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,human_sites.csv,True,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,True
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,contact_candidates.csv,True,ceeed6b3c3742fe4f887523911c3d2da85206ac13b6d845331478086f66f8c50,dba43f5b11aa66d6f660ead6f634e23e132f218a3e4109b8bae83be917812724,False
pingpong_wall,Audio only,samples_known_object/14_pingpong_wall/results/pingpong_no_vlm,object_pose_init.csv,True,a928aa92d5e112d1dd2434d209948c8a2690aa9bfefff30faf711cf8d9b0c4bf,049e756bb84dcc958b751776b2b2752338d23ed63e497f61c154b3decdee29b3,False
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,stage0_inputs_manifest.json,True,67c5c55f23aff538b63e793a1ded80b7c7888ad9ed6bf6a63b52659b32e139af,beed8695bb098354a5c7795ff622a2630e12f66861861ee5d7f9b81871b11460,False
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,object_observations.csv,True,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,32fc688c4a8080de4f6b8a84da2759c281d332336e05b1beb7693a8d9c372e17,True
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,object_correspondence.csv,True,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,b42cb1d1c0179ed63a575e364ce4aa83e9e93f7d80a1b3092758efea8f74bc0f,True
pingpong_wall,VLM only,samples_known_object/14_pingpong_wall/results/pingpong_no_audio,human_sites.csv,True,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,ae0b430dd18409d332b7817b7953b201005f1f77566018f84b02eec324882678,True
