frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
26,1.041667,-0.285575,0.285446,3.646713,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,,524.993,474.955,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,0,1,0,hand,right,right_hand,right_hand,0.160121,3.641512,524.993,474.955,521.568,434.036,-0.005201,3.641512,3.646713,3.656538,3.646713,0.000000
27,1.083333,-0.295673,0.229640,3.643855,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,,520.833,452.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.107274,3.619800,520.833,452.553,515.591,413.063,0.034359,3.678214,3.643894,3.646101,3.643894,0.058413
28,1.125000,-0.298012,0.190012,3.640994,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,,519.796,436.642,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.065614,3.608790,519.796,436.642,516.954,395.239,0.073357,3.714351,3.641075,3.626916,3.641075,0.105562
29,1.166667,-0.295814,0.169362,3.638142,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.589,428.366,,520.589,428.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.040879,3.600039,520.589,428.366,515.200,383.410,0.126605,3.764747,3.638256,3.613087,3.638256,0.164708
30,1.208333,-0.296333,0.159971,3.635294,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.286,424.626,,520.286,424.626,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.033650,3.591058,520.286,424.626,517.790,376.809,0.115378,3.750672,3.635437,3.604939,3.635437,0.159614
31,1.250000,-0.294074,0.166458,3.632462,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,,521.106,427.299,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.052545,3.585791,521.106,427.299,519.586,382.045,0.087785,3.720247,3.632618,3.598828,3.632618,0.134456
32,1.291667,-0.289806,0.211679,3.629563,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.738,445.650,,522.738,445.650,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.104748,3.585649,522.738,445.650,521.912,400.052,-0.001729,3.627834,3.629799,3.584644,3.629799,0.042185
33,1.333333,-0.267942,0.282759,3.626733,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,531.500,474.500,,531.500,474.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.168942,3.592409,531.500,474.500,529.412,432.506,0.036688,3.663421,3.626980,3.569883,3.626980,0.071011
34,1.375000,-0.276702,0.425351,3.623937,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.866,532.374,,527.866,532.374,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.236420,3.618556,527.866,532.374,533.174,488.483,0.026105,3.650042,3.624161,3.554735,3.624161,0.031486
35,1.416667,-0.265752,0.581236,3.621162,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,,532.221,595.727,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.282803,3.658267,532.221,595.727,513.953,621.974,0.070220,3.691382,3.621343,3.561214,3.621343,0.033115
