frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
59,2.416667,606.734,446.863,0.000000,568.832,442.577,0.000000,638.426,450.740,0.000000,601.752,401.836,0.000000,596.582,482.725,0.000000
60,2.458333,614.210,471.286,0.000000,576.286,466.198,0.000000,645.331,472.129,0.000000,610.379,425.214,0.000000,605.138,507.725,0.000000
61,2.500000,618.083,516.286,0.000000,583.310,508.778,0.000000,649.980,512.024,0.000000,612.660,464.001,0.000000,611.525,554.132,0.000000
62,2.541667,619.453,576.720,0.000000,586.936,565.897,0.000000,653.657,567.235,0.000000,611.967,500.112,0.000000,613.676,612.292,0.000000
63,2.583333,620.935,622.174,0.000000,590.538,608.116,0.000000,657.309,616.086,0.000000,608.984,510.781,0.000000,612.967,660.670,0.000000
64,2.625000,613.194,584.890,0.000000,585.079,568.835,0.000000,649.260,573.063,0.000000,606.114,504.510,0.000000,610.390,617.908,0.000000
65,2.666667,614.194,537.831,1.000000,572.000,537.831,1.000000,657.000,537.831,1.000000,614.194,495.000,1.000000,614.194,578.000,1.000000
66,2.708333,610.861,505.848,1.000000,568.299,520.896,0.000000,652.176,511.426,1.000000,610.416,470.552,0.000000,609.490,543.740,1.000000
67,2.750000,603.874,480.161,1.000000,561.920,497.063,0.000000,643.677,487.798,0.000000,605.106,449.447,0.000000,601.485,518.492,1.000000
68,2.791667,599.698,461.190,1.000000,558.705,474.392,0.000000,636.489,470.672,0.000000,602.404,432.118,0.000000,595.256,498.244,1.000000
69,2.833333,596.625,449.975,1.000000,556.822,458.834,0.000000,631.776,461.047,0.000000,600.024,422.071,0.000000,591.212,485.739,1.000000
70,2.875000,592.364,445.021,1.000000,553.583,451.765,0.000000,626.716,458.226,0.000000,597.458,418.774,0.000000,584.734,480.372,1.000000
71,2.916667,589.350,446.270,1.000000,551.285,452.215,0.000000,624.177,460.422,0.000000,595.951,423.733,0.000000,580.073,480.715,1.000000
72,2.958333,582.337,460.626,1.000000,544.661,461.452,0.000000,619.710,478.093,0.000000,592.107,437.658,0.000000,570.907,494.643,1.000000
73,3.000000,576.041,491.130,1.000000,538.069,496.714,0.000000,616.181,502.673,0.000000,585.832,462.925,0.000000,567.456,527.701,1.000000
74,3.041667,567.916,538.055,1.000000,529.076,543.754,0.000000,610.643,541.096,0.000000,576.912,502.410,0.000000,565.434,576.334,1.000000
75,3.083333,559.457,602.595,0.000000,523.557,600.928,0.000000,602.097,598.987,0.000000,565.334,561.359,0.000000,561.321,641.588,1.000000
76,3.125000,548.269,617.723,0.000000,513.912,618.916,0.000000,590.231,612.341,0.000000,558.217,572.099,0.000000,552.101,652.695,1.000000
77,3.166667,535.419,573.048,0.000000,503.089,574.366,0.000000,577.536,570.632,0.000000,543.030,530.745,0.000000,538.263,606.722,1.000000
