frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
141,5.833333,227.725,259.290,846.603,846.603,-587.313275,587.313275,0.000000,0.000000,none,0,0
142,5.875000,224.566,248.873,846.603,846.603,-597.730541,597.730541,0.000000,0.000000,none,0,0
143,5.916667,227.790,242.548,846.603,846.603,-604.055426,604.055426,0.000000,0.000000,none,0,0
144,5.958333,236.541,240.746,846.603,846.603,-605.857547,605.857547,0.000000,0.000000,none,0,0
145,6.000000,251.859,244.080,846.603,846.603,-602.523631,602.523631,0.000000,0.065946,none,0,0
146,6.041667,274.628,253.244,846.603,846.603,-593.359190,593.359190,0.000000,0.161146,none,0,0
147,6.083333,306.384,269.186,846.603,846.603,-577.417281,577.417281,0.000000,0.000000,none,0,0
148,6.125000,346.419,292.356,846.603,846.603,-554.247445,554.247445,0.000000,0.983845,none,0,0
149,6.166667,347.567,308.919,846.603,846.603,-537.684159,537.684159,0.000000,1.000000,none,0,0
150,6.208333,346.833,320.293,846.603,846.603,-526.310060,526.310060,0.000000,0.902883,none,0,0
151,6.250000,319.356,320.012,846.603,846.603,-526.591290,526.591290,0.000000,0.184903,none,0,0
152,6.291667,288.635,310.599,846.603,846.603,-536.004451,536.004451,0.000000,0.000000,none,0,0
153,6.333333,262.545,296.183,846.603,846.603,-550.420664,550.420664,0.000000,0.009542,none,0,0
154,6.375000,242.371,280.039,846.603,846.603,-566.564213,566.564213,0.000000,0.000000,none,0,0
155,6.416667,228.640,264.619,846.603,846.603,-581.983997,581.983997,0.000000,0.000000,none,0,0
156,6.458333,220.379,251.347,846.603,846.603,-595.256146,595.256146,0.000000,0.000000,none,0,0
157,6.500000,215.628,240.632,846.603,846.603,-605.971950,605.971950,0.000000,0.000305,none,0,0
158,6.541667,213.123,232.379,846.603,846.603,-614.224513,614.224513,0.000000,0.303908,none,0,0
159,6.583333,200.571,222.837,846.603,846.603,-623.766907,623.766907,0.000000,0.000000,none,0,0
160,6.625000,191.466,213.425,846.603,846.603,-633.178083,633.178083,0.000000,0.000000,none,0,0
161,6.666667,187.246,205.572,846.603,846.603,-641.031906,641.031906,0.000000,0.000000,none,0,0
162,6.708333,185.983,199.695,846.603,846.603,-646.908483,646.908483,0.000000,0.000000,none,0,0
163,6.750000,189.250,196.562,846.603,846.603,-650.041986,650.041986,0.000000,0.000000,none,0,0
164,6.791667,196.537,196.554,846.603,846.603,-650.049338,650.049338,0.000000,0.000000,none,0,0
165,6.833333,206.679,199.592,846.603,846.603,-647.011885,647.011885,0.000000,0.000000,none,0,0
166,6.875000,221.441,206.146,846.603,846.603,-640.457068,640.457068,0.000000,0.000000,none,0,0
167,6.916667,239.562,216.171,846.603,846.603,-630.432395,630.432395,0.000000,0.000000,none,0,0
168,6.958333,261.152,229.665,846.603,846.603,-616.938125,616.938125,0.000000,0.000000,none,0,0
169,7.000000,289.410,247.589,846.603,846.603,-599.014736,599.014736,0.000000,0.000000,none,0,0
170,7.041667,320.342,269.415,846.603,846.603,-577.188763,577.188763,0.000000,0.000000,none,0,0
171,7.083333,355.808,295.333,846.603,846.603,-551.270782,551.270782,0.026270,0.000000,none,0,0
172,7.125000,395.100,325.263,846.603,846.603,-521.340596,521.340596,0.405931,0.000000,proposal,0,0
173,7.166667,440.116,359.719,846.603,846.603,-486.884665,486.884665,0.840900,0.046350,strong,0,0
174,7.208333,496.888,400.870,846.603,846.603,-445.733914,445.733914,1.000000,0.000000,strong,0,0
175,7.250000,559.617,448.494,846.603,846.603,-398.109688,398.109688,1.000000,0.000000,strong,0,0
176,7.291667,621.984,500.541,846.603,846.603,-346.062629,346.062629,1.000000,1.000000,strong,0,0
177,7.333333,677.538,553.640,846.603,846.603,-292.963489,292.963489,1.000000,1.000000,strong,1,1
178,7.375000,619.743,573.471,846.603,846.603,-273.132590,273.132590,1.000000,1.000000,strong,0,0
179,7.416667,572.574,573.202,846.603,846.603,-273.401661,273.401661,1.000000,0.000000,strong,0,0
180,7.458333,526.709,559.254,846.603,846.603,-287.349511,287.349511,1.000000,0.000000,strong,0,0
181,7.500000,489.538,538.339,846.603,846.603,-308.264306,308.264306,1.000000,0.000000,strong,0,0
182,7.541667,458.097,514.267,846.603,846.603,-332.336962,332.336962,1.000000,0.000000,strong,0,0
183,7.583333,432.690,489.794,846.603,846.603,-356.809922,356.809922,0.769146,0.073888,strong,0,0
184,7.625000,414.530,467.215,846.603,846.603,-379.388993,379.388993,0.593674,0.158657,soft,0,0
185,7.666667,405.447,448.684,846.603,846.603,-397.919243,397.919243,0.505909,0.269243,soft,0,0
186,7.708333,405.385,435.694,846.603,846.603,-410.909018,410.909018,0.505310,0.348785,soft,0,0
187,7.750000,416.659,429.984,846.603,846.603,-416.619661,416.619661,0.614246,0.392422,soft,0,0
188,7.791667,437.349,432.193,846.603,846.603,-414.410111,414.410111,0.814164,0.550673,strong,0,0
189,7.833333,471.815,444.080,846.603,846.603,-402.523626,402.523626,1.000000,0.701074,strong,0,0
190,7.875000,520.306,466.948,846.603,846.603,-379.655786,379.655786,1.000000,0.475251,strong,0,0
191,7.916667,583.478,501.907,846.603,846.603,-344.696698,344.696698,1.000000,0.786280,strong,0,0
192,7.958333,652.301,547.025,846.603,846.603,-299.578437,299.578437,1.000000,1.000000,strong,1,1
193,8.000000,635.113,573.451,846.603,846.603,-273.152054,273.152054,1.000000,1.000000,strong,0,0
194,8.041667,577.372,574.628,846.603,846.603,-271.975886,271.975886,1.000000,0.025563,strong,0,0
195,8.083333,517.990,557.636,846.603,846.603,-288.967168,288.967168,1.000000,0.110504,strong,0,0
196,8.125000,473.025,532.253,846.603,846.603,-314.350566,314.350566,1.000000,0.140793,strong,0,0
197,8.166667,435.637,503.268,846.603,846.603,-343.335344,343.335344,0.797622,0.066799,strong,0,0
198,8.208333,405.298,473.877,846.603,846.603,-372.726389,372.726389,0.504469,0.000000,soft,0,0
199,8.250000,381.846,446.268,846.603,846.603,-400.335720,400.335720,0.277863,0.249817,proposal,0,0
200,8.291667,349.718,417.303,846.603,846.603,-429.300652,429.300652,0.000000,0.000000,none,0,0
201,8.333333,312.480,385.856,846.603,846.603,-460.747505,460.747505,0.000000,0.000000,none,0,0
202,8.375000,279.725,354.017,846.603,846.603,-492.586801,492.586801,0.000000,0.164132,none,0,0
203,8.416667,257.112,324.945,846.603,846.603,-521.658209,521.658209,0.000000,0.174499,none,0,0
204,8.458333,243.253,300.438,846.603,846.603,-546.165895,546.165895,0.000000,0.037296,none,0,0
205,8.500000,235.387,280.922,846.603,846.603,-565.681074,565.681074,0.000000,0.000000,none,0,0
206,8.541667,233.542,266.708,846.603,846.603,-579.895200,579.895200,0.000000,0.000000,none,0,0
207,8.583333,236.475,257.638,846.603,846.603,-588.965188,588.965188,0.000000,0.000000,none,0,0
208,8.625000,240.886,252.613,846.603,846.603,-593.990880,593.990880,0.000000,0.139760,none,0,0
209,8.666667,235.550,247.494,846.603,846.603,-599.109664,599.109664,0.000000,0.000000,none,0,0
210,8.708333,234.826,243.693,846.603,846.603,-602.910013,602.910013,0.000000,0.000000,none,0,0
211,8.750000,239.858,242.543,846.603,846.603,-604.060657,604.060657,0.000000,0.000000,none,0,0
212,8.791667,251.352,245.186,846.603,846.603,-601.417908,601.417908,0.000000,0.000000,none,0,0
213,8.833333,268.126,252.068,846.603,846.603,-594.535784,594.535784,0.000000,0.000000,none,0,0
214,8.875000,292.338,264.149,846.603,846.603,-582.454697,582.454697,0.000000,0.008388,none,0,0
215,8.916667,322.379,281.618,846.603,846.603,-564.985636,564.985636,0.000000,0.000000,none,0,0
216,8.958333,358.784,304.768,846.603,846.603,-541.835793,541.835793,0.055025,0.025749,none,0,0
217,9.000000,404.060,334.555,846.603,846.603,-512.048103,512.048103,0.492507,0.135757,soft,0,0
218,9.041667,454.845,370.642,846.603,846.603,-475.961220,475.961220,0.983220,0.000000,strong,0,0
219,9.083333,517.220,414.616,846.603,846.603,-431.987902,431.987902,1.000000,1.000000,strong,0,0
220,9.125000,569.891,461.198,846.603,846.603,-385.405280,385.405280,1.000000,1.000000,strong,1,1
221,9.166667,541.232,485.208,846.603,846.603,-361.395144,361.395144,1.000000,1.000000,strong,0,0
222,9.208333,506.511,491.599,846.603,846.603,-355.004349,355.004349,1.000000,0.000000,strong,0,0
223,9.250000,477.296,487.308,846.603,846.603,-359.295292,359.295292,1.000000,0.176093,strong,0,0
224,9.291667,457.745,478.439,846.603,846.603,-368.164253,368.164253,1.000000,0.359088,strong,0,0
225,9.333333,448.645,469.501,846.603,846.603,-377.102525,377.102525,0.923312,0.334254,strong,0,0
226,9.375000,449.985,463.646,846.603,846.603,-382.957316,382.957316,0.936260,0.208489,strong,0,0
227,9.416667,458.991,462.250,846.603,846.603,-384.353869,384.353869,1.000000,0.096242,strong,0,0
228,9.458333,476.523,466.532,846.603,846.603,-380.071856,380.071856,1.000000,0.516357,strong,0,0
229,9.500000,503.133,477.512,846.603,846.603,-369.091448,369.091448,1.000000,1.000000,strong,1,1
230,9.541667,456.083,471.083,846.603,846.603,-375.520161,375.520161,0.995182,0.204121,strong,0,0
231,9.583333,423.197,456.717,846.603,846.603,-389.886061,389.886061,0.677419,0.069212,soft,0,0
232,9.625000,398.922,439.379,846.603,846.603,-407.224691,407.224691,0.442861,0.283272,proposal,0,0
233,9.666667,372.578,419.339,846.603,846.603,-427.264932,427.264932,0.188311,0.500785,none,0,0
234,9.708333,336.907,394.609,846.603,846.603,-451.994400,451.994400,0.000000,0.000000,none,0,0
235,9.750000,303.608,367.309,846.603,846.603,-479.294728,479.294728,0.000000,0.105665,none,0,0
236,9.791667,280.305,341.208,846.603,846.603,-505.395858,505.395858,0.000000,0.154543,none,0,0
237,9.833333,262.854,317.702,846.603,846.603,-528.901949,528.901949,0.000000,0.173333,none,0,0
238,9.875000,256.169,299.242,846.603,846.603,-547.361712,547.361712,0.000000,0.407416,none,0,0
239,9.916667,251.531,284.929,846.603,846.603,-561.674947,561.674947,0.000000,0.367862,none,0,0
240,9.958333,242.067,272.070,846.603,846.603,-574.533411,574.533411,0.000000,0.077779,none,0,0
