frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
34,1.375000,723.470,333.371,723.240,324.227,ref,717.640,345.890,human_nearest_mesh_topk,724.751,338.049,354.853,4.678,13.822,bottom_percentile_95,2.893514,2.911610,0.018097,1.000000,0.000000,0.004492,0.903416,0.903416,1.000000,0.000000,12.146700,5.000000,8.000000,right_hand,0.004492,503.857,398.759,3.065704,left,2.899896,2.893514,0.903416,16.804031,1.000000,0.348178
35,1.416667,713.977,364.946,713.045,386.476,ref,710.356,364.948,human_nearest_mesh_topk,717.065,399.437,374.281,34.491,12.961,bottom_percentile_95,2.905775,2.919549,0.013774,1.000000,0.000000,0.005407,0.984131,0.984131,1.000000,0.000000,3.191950,5.000000,8.000000,right_hand,0.005407,501.953,407.837,2.996145,left,2.915807,2.905775,0.984131,25.155552,0.170120,0.522267
36,1.458333,701.658,522.184,702.533,458.886,ref,700.639,417.016,human_nearest_mesh_topk,707.589,469.800,425.779,-52.384,10.914,bottom_percentile_95,2.953858,2.948220,-0.005639,1.000000,0.000000,0.007140,0.000000,0.100000,0.000000,71.416000,108.932150,5.000000,8.000000,right_hand,0.007076,498.700,414.279,2.933188,grid_02_00,2.993199,2.953858,0.000000,44.020581,1.000000,0.735018
37,1.500000,695.907,475.397,696.238,499.986,ref,691.832,474.465,human_nearest_mesh_topk,697.052,510.675,487.924,35.278,10.689,bottom_percentile_95,2.929708,2.917420,-0.012288,1.000000,0.000000,0.006344,1.000000,1.000000,0.000000,24.734863,1.489750,5.000000,8.000000,right_hand,0.006160,492.886,417.808,2.873320,grid_02_00,2.909949,2.929708,1.000000,22.750362,1.000000,0.980025
38,1.541667,694.887,502.183,695.585,481.362,ref,689.793,507.333,human_nearest_mesh_topk,695.900,493.298,517.667,-8.885,11.935,bottom_percentile_95,2.925636,2.933303,0.007667,1.000000,0.000000,0.004574,0.917608,0.917608,0.000000,51.521179,4.894700,5.000000,8.000000,right_hand,0.004385,488.040,420.416,2.823460,grid_02_00,2.922305,2.925636,0.917608,24.369569,0.655558,0.735018
39,1.583333,696.977,450.768,696.991,448.119,ref,692.312,451.865,human_nearest_mesh_topk,698.958,459.782,461.358,9.014,11.663,bottom_percentile_95,2.936029,2.949607,0.013577,1.000000,0.000000,0.006180,0.551594,0.551594,0.936836,1.216000,0.000000,5.000000,8.000000,right_hand,0.006070,486.513,421.827,2.778996,grid_02_00,2.944533,2.936029,0.551594,1.576140,0.251426,0.522267
40,1.625000,698.193,414.429,698.044,415.797,ref,692.713,416.032,human_nearest_mesh_topk,699.567,426.436,425.467,12.007,10.639,bottom_percentile_95,2.950266,2.970526,0.020260,1.000000,0.000000,0.006541,0.265393,0.265393,1.000000,0.000000,0.447950,5.000000,8.000000,right_hand,0.006507,487.175,422.033,2.751378,grid_02_00,2.961914,2.950266,0.265393,0.969286,0.087310,0.696357
41,1.666667,698.473,383.418,698.510,383.529,ref,692.913,384.730,human_nearest_mesh_topk,699.735,393.366,393.056,9.948,9.837,bottom_percentile_95,2.940269,2.941450,0.001180,1.000000,0.000000,0.007121,0.756476,0.756476,0.985456,0.280000,0.132650,5.000000,8.000000,right_hand,0.007121,493.570,418.371,2.735578,left,2.932090,2.940269,0.756476,0.310057,0.000000,0.587634
42,1.708333,698.685,358.808,698.573,358.692,ref,693.362,359.903,human_nearest_mesh_topk,699.910,368.024,368.579,9.216,9.332,bottom_percentile_95,2.923036,2.924237,0.001201,1.000000,0.144645,0.008309,1.000000,1.000000,0.974443,0.492000,0.132650,5.000000,8.000000,right_hand,0.008309,504.979,413.514,2.721586,left,2.908936,2.923036,1.000000,0.555100,0.000000,0.440725
43,1.750000,698.419,340.378,698.303,340.565,ref,693.125,342.367,human_nearest_mesh_topk,698.840,349.368,348.885,8.990,8.802,bottom_percentile_95,2.907048,2.902671,-0.004377,1.000000,0.354395,0.011626,0.822453,0.822453,0.988261,0.226000,0.000000,5.000000,8.000000,right_hand,0.011626,523.123,407.973,2.737983,left,2.893966,2.907048,0.822453,0.482845,0.002111,0.293817
44,1.791667,697.366,329.260,697.211,329.322,ref,691.893,331.015,human_nearest_mesh_topk,697.689,337.631,337.638,8.371,8.310,bottom_percentile_95,2.910384,2.934893,0.024509,1.000000,0.521730,0.018490,0.753661,0.753661,0.945303,1.053000,0.000000,5.000000,8.000000,right_hand,0.018490,543.799,399.959,2.779462,left,2.913114,2.910384,0.753661,0.006869,0.000000,0.000000
45,1.833333,695.727,324.030,695.735,324.801,ref,690.240,327.233,human_nearest_mesh_topk,696.064,332.548,332.027,8.518,7.747,bottom_percentile_95,2.900561,2.909483,0.008922,1.000000,0.303866,0.035086,1.000000,1.000000,0.858844,2.717445,0.381000,5.000000,8.000000,right_hand,0.035086,571.023,393.142,2.798408,left,2.892524,2.900561,1.000000,0.521200,0.000000,0.487122
46,1.875000,693.185,324.401,694.359,324.694,ref,689.000,327.097,human_nearest_mesh_topk,694.714,332.373,331.863,7.972,7.679,bottom_percentile_95,2.850994,2.024483,-0.826511,1.000000,0.183593,0.073776,0.000000,0.100000,0.727442,5.247132,0.916750,5.000000,8.000000,right_hand,0.073425,597.934,381.762,2.840475,grid_04_01,2.055277,2.850994,0.000000,0.510083,0.203124,0.730682
47,1.916667,699.499,321.704,703.400,319.080,ref,710.062,318.621,human_nearest_mesh_topk,710.062,326.894,318.621,5.190,7.813,bottom_percentile_95,2.822122,2.846291,0.024169,1.000000,0.000000,0.090805,0.000000,0.100000,1.000000,0.000000,11.461250,5.000000,8.000000,right_hand,0.090805,626.964,366.614,2.899201,grid_02_05,1.634649,2.822122,0.000000,8.272926,0.431561,0.974243
48,1.958333,725.139,303.239,722.195,304.419,ref,722.328,308.153,human_nearest_mesh_topk,724.373,312.549,314.397,9.310,8.130,bottom_percentile_95,2.798510,1.653806,-1.144704,1.000000,0.000000,0.129312,0.993208,0.993208,1.000000,0.000000,3.161150,5.000000,8.000000,right_hand,0.124291,647.241,347.053,2.980555,grid_05_02,2.779190,2.798510,0.993208,1.848643,0.000000,0.819626
49,2.000000,745.237,285.059,746.296,285.097,ref,740.001,288.529,human_nearest_mesh_topk,746.042,293.675,293.539,8.616,8.578,bottom_percentile_95,2.805071,2.833668,0.028597,1.000000,0.463645,0.114070,0.554397,0.554397,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.114070,657.031,322.421,3.067446,left,2.810439,2.805071,0.554397,0.135583,0.000000,0.614719
50,2.041667,766.728,269.820,766.223,270.065,ref,761.436,272.047,human_nearest_mesh_topk,766.623,278.757,278.462,8.937,8.693,bottom_percentile_95,2.801457,2.818114,0.016657,1.000000,0.390488,0.072790,0.000000,0.100000,1.000000,0.000000,0.162000,5.000000,8.000000,right_hand,0.072790,656.399,300.673,3.149533,left,2.798500,2.801457,0.000000,0.295114,0.000000,0.409813
51,2.083333,784.193,259.731,784.738,259.643,ref,779.034,259.841,human_nearest_mesh_topk,784.651,267.835,267.347,8.104,8.192,bottom_percentile_95,2.791740,2.794372,0.002632,1.000000,0.282058,0.039355,0.032649,0.100000,1.000000,0.000000,0.864200,5.000000,8.000000,right_hand,0.039355,646.805,277.440,3.231723,left,2.783790,2.791740,0.032649,0.487552,0.000000,0.485098
52,2.125000,798.110,254.144,797.183,255.303,ref,792.935,254.643,human_nearest_mesh_topk,798.578,262.759,262.691,8.615,7.456,bottom_percentile_95,2.742239,2.711574,-0.030665,1.000000,0.710461,0.019783,0.754167,0.754167,0.545695,8.746000,0.493050,5.000000,8.000000,right_hand,0.019757,631.990,255.464,3.305822,grid_02_00,2.701738,2.742239,0.754167,0.067900,0.013613,0.727647
53,2.166667,809.241,253.441,803.774,252.007,ref,802.940,251.924,human_nearest_mesh_topk,808.500,259.103,260.100,5.662,7.095,bottom_percentile_95,2.704646,2.685254,-0.019392,1.000000,0.021853,0.010524,0.002185,0.100000,0.000000,19.877000,1.394150,5.000000,8.000000,right_hand,0.010457,616.960,238.677,3.347215,grid_02_00,2.673887,2.704646,0.002185,0.997926,0.330730,0.970196
54,2.208333,802.602,244.488,800.697,243.772,ref,796.334,242.016,human_nearest_mesh_topk,802.161,250.867,250.283,6.379,7.096,bottom_percentile_95,2.689464,2.683980,-0.005484,1.000000,0.000000,0.007967,0.000000,0.100000,0.312362,13.238000,1.821250,5.000000,8.000000,right_hand,0.007917,599.463,228.113,3.388884,grid_02_00,2.677042,2.689464,0.000000,0.584438,0.089539,0.727647
55,2.250000,789.364,230.879,790.568,231.988,ref,783.838,230.613,human_nearest_mesh_topk,788.853,239.479,238.933,8.600,7.491,bottom_percentile_95,2.678091,2.678301,0.000210,1.000000,0.543848,0.007415,0.000000,0.100000,1.000000,0.000000,0.154100,5.000000,8.000000,right_hand,0.007391,583.984,219.927,3.427074,grid_02_00,2.668786,2.678091,0.000000,0.546060,0.000000,0.485098
56,2.291667,776.365,224.567,776.277,224.747,ref,771.135,224.786,human_nearest_mesh_topk,776.185,232.682,233.052,8.115,7.935,bottom_percentile_95,2.701611,2.728232,0.026620,1.000000,0.520505,0.006705,0.561939,0.561939,0.672128,6.312000,0.588500,5.000000,8.000000,right_hand,0.006705,567.173,218.784,3.448918,left,2.720855,2.701611,0.561939,0.369969,0.000000,0.485549
57,2.333333,763.041,223.884,763.123,224.122,ref,758.387,223.568,human_nearest_mesh_topk,763.914,232.130,231.029,8.246,8.008,bottom_percentile_95,2.721995,2.742678,0.020683,1.000000,0.000000,0.006352,0.855324,0.855324,0.636650,6.995000,0.754400,5.000000,8.000000,right_hand,0.006352,552.691,221.451,3.443837,left,2.738672,2.721995,0.855324,1.100648,0.000000,0.647399
58,2.375000,749.860,227.795,749.832,227.977,ref,745.271,228.044,human_nearest_mesh_topk,751.135,235.920,235.694,8.125,7.943,bottom_percentile_95,2.738303,2.761995,0.023692,1.000000,0.844183,0.006250,1.000000,1.000000,0.839804,3.084000,0.154100,5.000000,8.000000,right_hand,0.006246,538.695,229.166,3.440150,grid_02_00,2.751646,2.738303,1.000000,0.225810,0.000000,0.485549
59,2.416667,736.335,236.361,736.172,236.376,ref,731.953,236.841,human_nearest_mesh_topk,737.576,244.534,244.258,8.173,8.158,bottom_percentile_95,2.762663,2.792982,0.030318,1.000000,0.629071,0.006163,1.000000,1.000000,1.000000,0.000000,0.115600,5.000000,8.000000,right_hand,0.006155,524.656,241.133,3.438536,grid_02_00,2.782594,2.762663,1.000000,0.276148,0.000000,0.452574
60,2.458333,722.302,250.253,722.554,250.227,ref,717.411,251.452,human_nearest_mesh_topk,723.397,258.689,258.939,8.436,8.462,bottom_percentile_95,2.781937,2.809197,0.027259,1.000000,0.295271,0.005945,1.000000,1.000000,1.000000,0.000000,0.673900,5.000000,8.000000,right_hand,0.005934,508.944,258.772,3.430002,grid_02_00,2.797707,2.781937,1.000000,0.250338,0.000000,0.603431
61,2.500000,709.498,269.288,709.342,269.371,ref,704.181,270.513,human_nearest_mesh_topk,709.923,277.956,278.389,8.668,8.585,bottom_percentile_95,2.812645,2.844751,0.032107,1.000000,0.076526,0.005722,1.000000,1.000000,1.000000,0.000000,1.002150,5.000000,8.000000,right_hand,0.005722,494.029,279.855,3.411689,left,2.837769,2.812645,1.000000,0.433157,0.000000,0.452574
62,2.541667,696.720,293.582,696.884,293.553,ref,692.352,293.510,human_nearest_mesh_topk,698.347,302.076,301.594,8.494,8.524,bottom_percentile_95,2.839021,2.864357,0.025336,1.000000,0.048842,0.005210,1.000000,1.000000,1.000000,0.000000,0.086550,5.000000,8.000000,right_hand,0.005209,478.278,302.491,3.389118,grid_02_00,2.860602,2.839021,1.000000,0.481945,0.000000,0.301716
63,2.583333,684.580,322.285,684.196,322.354,ref,679.997,322.929,human_nearest_mesh_topk,686.097,330.545,330.845,8.260,8.191,bottom_percentile_95,2.859082,2.884676,0.025594,1.000000,0.064216,0.004670,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.004666,461.618,327.177,3.368739,grid_02_00,2.875495,2.859082,1.000000,0.300114,0.000000,0.357522
64,2.625000,671.781,354.887,672.094,358.011,ref,668.669,355.363,human_nearest_mesh_topk,675.004,366.109,362.986,11.222,8.098,bottom_percentile_95,2.901718,2.944773,0.043055,1.000000,0.000000,0.004317,0.897802,0.897802,1.000000,0.000000,0.461450,5.000000,8.000000,right_hand,0.004298,447.144,351.384,3.342337,grid_02_00,2.936602,2.901718,0.897802,3.123245,0.000000,0.536283
65,2.666667,661.504,390.071,661.409,385.797,ref,656.781,389.861,human_nearest_mesh_topk,663.000,394.156,398.064,4.085,8.359,bottom_percentile_95,2.919558,2.941584,0.022027,1.000000,0.000000,0.004485,0.942764,0.942764,0.000000,35.184000,0.567100,5.000000,8.000000,right_hand,0.004458,437.397,377.792,3.318734,grid_02_00,2.934154,2.919558,0.942764,3.908531,1.000000,0.732298
66,2.708333,653.275,392.665,653.617,388.983,ref,648.637,393.876,human_nearest_mesh_topk,654.826,397.734,401.944,5.069,8.752,bottom_percentile_95,2.923371,2.935815,0.012444,1.000000,0.000000,0.004898,0.960317,0.960317,0.000000,37.778000,0.718850,5.000000,8.000000,right_hand,0.004882,432.224,395.585,3.291884,grid_02_00,2.926491,2.923371,0.960317,4.209810,0.915865,0.976397
