frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
15,0.583333,left_foot,foot,left,-1.163451195,0.959483624,3.211501122,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
15,0.583333,right_foot,foot,right,-0.368493825,1.023838282,3.138483286,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
16,0.625000,left_hand,hand,left,-0.718683755,0.093438303,3.285011292,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
16,0.625000,right_hand,hand,right,-0.052696133,0.158693254,2.959405136,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
16,0.625000,left_foot,foot,left,-1.166845560,0.959622145,3.192085505,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
16,0.625000,right_foot,foot,right,-0.370557457,1.025355101,3.120162249,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
17,0.666667,left_hand,hand,left,-0.749874544,0.095940131,3.291491508,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
17,0.666667,right_hand,hand,right,-0.010511470,0.088562632,3.052143288,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
17,0.666667,left_foot,foot,left,-1.171151519,0.959997892,3.203279972,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
17,0.666667,right_foot,foot,right,-0.373245329,1.022984982,3.131497145,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
18,0.708333,left_hand,hand,left,-0.779851139,0.100020242,3.292667580,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
18,0.708333,right_hand,hand,right,0.008965492,0.010599828,3.138941050,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
18,0.708333,left_foot,foot,left,-1.172296882,0.960648060,3.211347580,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
18,0.708333,right_foot,foot,right,-0.373392642,1.022699833,3.138329029,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
19,0.750000,left_hand,hand,left,-0.805625153,0.106454110,3.276430798,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
19,0.750000,right_hand,hand,right,0.011656463,-0.050341094,3.196251535,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
19,0.750000,left_foot,foot,left,-1.171393871,0.963320136,3.205387592,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
19,0.750000,right_foot,foot,right,-0.371850163,1.023206949,3.131918907,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
20,0.791667,left_hand,hand,left,-0.830363178,0.112983209,3.260033941,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
20,0.791667,right_hand,hand,right,-0.000185287,-0.105279481,3.251348209,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
20,0.791667,left_foot,foot,left,-1.171176672,0.964177787,3.201686144,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
20,0.791667,right_foot,foot,right,-0.371196687,1.023051143,3.127786875,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
21,0.833333,left_hand,hand,left,-0.850565445,0.118479127,3.240477848,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
21,0.833333,right_hand,hand,right,-0.020728111,-0.146291411,3.294945621,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
21,0.833333,left_foot,foot,left,-1.169623852,0.964864969,3.196644306,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
21,0.833333,right_foot,foot,right,-0.369350582,1.022214174,3.122592688,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
22,0.875000,left_hand,hand,left,-0.867349517,0.123944885,3.210653877,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
22,0.875000,right_hand,hand,right,-0.047113299,-0.177883828,3.318752527,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
22,0.875000,left_foot,foot,left,-1.167704582,0.964591861,3.180338860,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
22,0.875000,right_foot,foot,right,-0.367675066,1.022072554,3.105284452,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
23,0.916667,left_hand,hand,left,-0.879997969,0.129510808,3.187050629,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
23,0.916667,right_hand,hand,right,-0.077473617,-0.191716194,3.335524702,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
23,0.916667,left_foot,foot,left,-1.164787054,0.966196060,3.169068813,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
23,0.916667,right_foot,foot,right,-0.364899337,1.023328543,3.093674421,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
24,0.958333,left_hand,hand,left,-0.893894970,0.137690896,3.171047306,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
24,0.958333,right_hand,hand,right,-0.108833730,-0.194280541,3.348568392,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
24,0.958333,left_foot,foot,left,-1.166085958,0.967870712,3.163862705,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
24,0.958333,right_foot,foot,right,-0.366411597,1.024746180,3.088226318,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
25,1.000000,left_hand,hand,left,-0.910181558,0.144902831,3.182782650,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
25,1.000000,right_hand,hand,right,-0.143532991,-0.184915602,3.376519585,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
25,1.000000,left_foot,foot,left,-1.170313001,0.970532179,3.182935715,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
25,1.000000,right_foot,foot,right,-0.370732546,1.026600361,3.107489824,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
26,1.041667,left_hand,hand,left,-0.922271526,0.150004625,3.184303379,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
26,1.041667,right_hand,hand,right,-0.176658952,-0.165631497,3.379584932,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
26,1.041667,left_foot,foot,left,-1.174190044,0.971799016,3.188261271,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
26,1.041667,right_foot,foot,right,-0.374590933,1.027703762,3.113253832,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
27,1.083333,left_hand,hand,left,-0.931286967,0.152249330,3.172724915,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
27,1.083333,right_hand,hand,right,-0.206815207,-0.140974796,3.358636379,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
27,1.083333,left_foot,foot,left,-1.175503492,0.972636044,3.177130699,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
27,1.083333,right_foot,foot,right,-0.375871480,1.029203892,3.102527618,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
28,1.125000,left_hand,hand,left,-0.939188373,0.152249354,3.169806671,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
28,1.125000,right_hand,hand,right,-0.237990779,-0.110869491,3.335262489,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
28,1.125000,left_foot,foot,left,-1.175697088,0.972598910,3.173702478,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
