frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
33,1.375000,1,-0.948959,0.075796,3.174231,-0.915993,0.070743,3.223072,-0.954860,0.120058,3.243940,-0.945179,0.109289,3.243546,-0.937165,0.111115,3.244966,-0.931632,0.117574,3.240580,-0.920238,0.111832,3.238209,1,-0.338405,0.049292,3.058928,-0.282889,0.055858,3.085256,-0.302104,0.078599,3.145156,-0.278954,0.081348,3.145591,-0.307645,0.068784,3.135515,-0.310814,0.080897,3.129675,-0.311604,0.089114,3.110463
34,1.416667,1,-0.932121,0.067827,3.206365,-0.922461,0.061184,3.252527,-0.977576,0.099252,3.262664,-0.970688,0.093103,3.269375,-0.960471,0.096901,3.273070,-0.951477,0.103943,3.269497,-0.935216,0.101622,3.272069,1,-0.341866,0.069814,3.008562,-0.288054,0.082051,3.021256,-0.296208,0.100596,3.079699,-0.258488,0.114898,3.076393,-0.310123,0.089697,3.069297,-0.317774,0.101334,3.065144,-0.320767,0.111257,3.050179
35,1.458333,1,-0.906934,0.057754,3.226993,-0.922435,0.059209,3.274104,-0.985979,0.091266,3.266904,-0.988533,0.091450,3.287268,-0.978903,0.097607,3.292854,-0.966662,0.103307,3.290958,-0.945590,0.102045,3.297892,1,-0.347400,0.083633,2.949306,-0.292763,0.102183,2.953307,-0.285227,0.118538,3.005449,-0.238369,0.139592,2.998985,-0.307921,0.104697,2.998066,-0.320289,0.113875,2.995611,-0.326408,0.125276,2.984696
36,1.500000,1,-0.875068,0.047203,3.253340,-0.910900,0.062477,3.287902,-0.973686,0.092502,3.264452,-0.989175,0.099462,3.297884,-0.981923,0.107747,3.304631,-0.967583,0.111208,3.304701,-0.942636,0.108621,3.314620,1,-0.354647,0.092767,2.898221,-0.298756,0.114595,2.889320,-0.277955,0.133406,2.934071,-0.228757,0.155400,2.924936,-0.306010,0.117339,2.932213,-0.321270,0.123032,2.930148,-0.330559,0.134120,2.920655
37,1.541667,1,-0.839634,0.037864,3.274052,-0.887091,0.068405,3.296772,-0.943785,0.097900,3.265200,-0.969319,0.111330,3.304742,-0.964248,0.120735,3.311065,-0.949685,0.121965,3.312436,-0.923388,0.116813,3.323425,1,-0.364577,0.096598,2.849843,-0.305518,0.120947,2.833981,-0.275468,0.144417,2.874339,-0.228532,0.164463,2.860964,-0.305605,0.127756,2.876495,-0.321943,0.130503,2.874026,-0.333885,0.139569,2.863662
38,1.583333,1,-0.802721,0.039685,3.284483,-0.855492,0.075349,3.302517,-0.902960,0.105867,3.274727,-0.934298,0.122467,3.311417,-0.930852,0.131450,3.315096,-0.918164,0.130466,3.316382,-0.894028,0.122251,3.325273,1,-0.371333,0.099983,2.809951,-0.310775,0.123877,2.788108,-0.273993,0.151599,2.827904,-0.231356,0.169314,2.807710,-0.304841,0.134779,2.830392,-0.321379,0.136077,2.828028,-0.335173,0.142798,2.816273
39,1.625000,1,-0.761521,0.051351,3.284311,-0.823058,0.081608,3.304382,-0.860261,0.113861,3.291667,-0.895511,0.126900,3.317427,-0.894556,0.134578,3.316830,-0.884779,0.131434,3.316330,-0.864840,0.120923,3.318959,1,-0.370838,0.102248,2.773296,-0.311987,0.124729,2.751878,-0.269973,0.155206,2.792605,-0.231787,0.171058,2.764672,-0.301014,0.138023,2.793529,-0.317478,0.139179,2.792253,-0.332351,0.144365,2.779771
40,1.666667,1,-0.733512,0.057607,3.287298,-0.794977,0.086266,3.301542,-0.826430,0.118126,3.306276,-0.863017,0.122549,3.317731,-0.865347,0.129443,3.312696,-0.857342,0.124881,3.309728,-0.840077,0.114796,3.304462,1,-0.367158,0.102886,2.751757,-0.306948,0.123489,2.726219,-0.260943,0.154549,2.766516,-0.226591,0.169507,2.732875,-0.291697,0.137581,2.767351,-0.307970,0.139288,2.767795,-0.323469,0.144088,2.755479
41,1.708333,1,-0.716103,0.059848,3.292108,-0.772730,0.089526,3.298583,-0.805536,0.120601,3.309503,-0.838851,0.118068,3.313481,-0.842536,0.124926,3.306228,-0.834066,0.119775,3.302510,-0.816053,0.111784,3.293227,1,-0.353847,0.098110,2.740615,-0.293835,0.119735,2.712535,-0.244910,0.148750,2.749943,-0.213536,0.164080,2.714264,-0.275100,0.133034,2.753745,-0.291179,0.135643,2.756064,-0.307181,0.141124,2.744596
42,1.750000,1,-0.701826,0.058606,3.289735,-0.756258,0.091016,3.304365,-0.792557,0.126490,3.305321,-0.820090,0.124273,3.317307,-0.821569,0.130988,3.312427,-0.811447,0.125093,3.310684,-0.790743,0.116719,3.303518,1,-0.331321,0.091770,2.730623,-0.271604,0.113300,2.712444,-0.220484,0.137679,2.745519,-0.191080,0.154273,2.711222,-0.250375,0.124034,2.754413,-0.266415,0.127770,2.758380,-0.282856,0.134530,2.748036
