frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
83,3.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.30370819376041264,0.10958067916490404,0,0,0,0
84,3.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2528121613340513,0.10331825036856863,0,0,0,0
85,3.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23906693186299666,0.07955950871822769,0,0,0,0
86,3.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23666487732880276,0.05810266889201775,0,0,0,0
87,3.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24041148967911904,0.046180391379734606,0,0,0,0
88,3.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24164675158340826,0.02906949300650917,0,0,0,0
89,3.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2420593870604199,0.01519119614376076,0,0,0,0
90,3.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2553747580534063,0.007432495526320211,0,0,0,0
91,3.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2844835558225997,0.0013622494748541636,0,0,0,0
92,3.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2381163053383144,2.5384290868885496e-05,0,0,0,0
93,3.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.22691028236635666,1.104872171036752e-07,0,0,0,0
94,3.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24361450569030677,4.5219522663758825e-11,0,0,0,0
95,3.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2942625144412571,1.6701707770463965e-16,0,0,0,0
96,3.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.45191209906427765,3.0602876716442324e-19,0,0,0,0
97,4.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23210864606193052,2.2476007317812176e-27,0,0,0,0
98,4.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.21596009766345822,2.3989641062151918e-39,0,0,0,0
99,4.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.32233677151266327,2.8141516899559447e-51,0,0,0,0
100,4.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.20006709518497104,4.425961440653723e-70,0,0,0,0
101,4.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2720496461346878,2.1406028531479586e-94,0,0,0,0
102,4.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23020513111197574,2.4286875494253094e-113,0,0,0,0
103,4.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3626691467183385,3.0462201354208733e-136,0,0,0,0
104,4.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.5436439117197328,4.227986961411514e-145,0,0,0,0
105,4.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.5167984980204572,2.0041443532299016e-138,1,0,0,0
106,4.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6483148692509548,3.99411949501684e-138,1,0,0,0
107,4.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6032732728063569,2.3846504795276228e-145,1,0,0,0
108,4.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5721952411218462,1.8496041238929615e-150,1,0,0,0
109,4.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.6264063584540789,right,center,0.49678460232620925,4.710966812898234e-152,1,0,0,0
110,4.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7039970720105699,right,center,0.4960147670612758,1.034939240398562e-157,1,0,0,0
111,4.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.6842907804834133,right,center,0.502057464177397,2.574609401951721e-160,1,0,0,0
112,4.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7767151688082277,right,center,0.5214712618669364,4.2131446055177713e-159,1,0,0,0
113,4.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9080614035081662,right,center,0.5422902552260334,2.8944120564286465e-154,1,0,0,0
114,4.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5860728113051701,9.780735679856962e-150,1,0,0,0
115,4.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6277206526521943,1.5817224083669817e-142,1,0,0,0
