frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
167,6.916667,640.861,365.974,22.631,3.579980,3.589391
168,6.958333,640.827,366.000,22.687,3.581080,3.590683
169,7.000000,640.885,366.027,22.645,3.596439,3.594673
170,7.041667,640.893,366.015,22.708,3.612167,3.598443
171,7.083333,640.815,366.012,22.750,3.596330,3.602495
172,7.125000,640.835,366.049,22.736,3.617799,3.605876
173,7.166667,640.767,366.049,22.722,3.605302,3.605543
174,7.208333,640.741,366.033,22.708,3.608349,3.603981
175,7.250000,640.728,366.034,22.729,3.604746,3.602702
176,7.291667,640.683,366.020,22.799,3.594110,3.600016
177,7.333333,640.635,366.014,22.771,3.601229,3.596941
178,7.375000,640.532,365.990,22.792,3.587377,3.597152
179,7.416667,640.585,365.985,22.778,3.598998,3.595055
180,7.458333,640.573,365.986,22.771,3.583781,3.594122
181,7.500000,640.724,365.954,22.743,3.609821,3.593097
182,7.541667,640.686,365.975,22.764,3.590073,3.594730
183,7.583333,640.669,365.989,22.778,3.587574,3.598570
184,7.625000,640.658,365.968,22.806,3.594059,3.602068
185,7.666667,640.607,365.953,22.820,3.598803,3.601144
186,7.708333,640.638,365.931,22.827,3.625877,3.606210
187,7.750000,640.578,365.952,22.827,3.608270,3.611334
188,7.791667,640.551,365.954,22.855,3.603350,3.617396
189,7.833333,640.554,365.935,22.848,3.625536,3.620645
190,7.875000,640.483,365.908,22.883,3.623440,3.618399
191,7.916667,640.440,365.883,22.911,3.636496,3.618943
192,7.958333,640.364,365.951,22.834,3.621547,3.620919
193,8.000000,640.443,365.903,22.771,3.610156,3.618927
194,8.041667,640.347,365.949,22.792,3.612077,3.620260
195,8.083333,640.376,365.927,22.771,3.617182,3.616763
196,8.125000,640.404,365.909,22.792,3.611592,3.617866
197,8.166667,640.365,365.858,22.426,3.632766,3.621096
198,8.208333,640.469,365.923,22.708,3.612016,3.628204
199,8.250000,640.466,365.933,22.722,3.629272,3.632441
200,8.291667,640.450,365.897,22.715,3.632768,3.639107
201,8.333333,640.450,365.902,22.750,3.661831,3.642102
202,8.375000,640.443,365.925,22.722,3.646841,3.647382
203,8.416667,640.469,365.920,22.708,3.658255,3.651425
204,8.458333,640.441,365.935,22.736,3.653734,3.655815
205,8.500000,640.378,365.934,22.757,3.648978,3.656045
206,8.541667,640.331,365.884,22.757,3.657569,3.658675
207,8.583333,640.354,365.918,22.757,3.663499,3.657872
208,8.625000,640.316,365.890,22.764,3.663441,3.657681
209,8.666667,640.232,365.841,22.426,3.665253,3.659236
210,8.708333,640.225,365.891,22.778,3.652633,3.659994
211,8.750000,640.200,365.893,22.806,3.652397,3.659470
212,8.791667,640.130,365.821,22.447,3.659858,3.657881
213,8.833333,640.263,365.958,22.750,3.662879,3.657482
214,8.875000,640.158,365.809,22.419,3.659829,3.661524
215,8.916667,640.285,365.954,22.736,3.652312,3.663877
216,8.958333,640.245,365.945,22.771,3.662466,3.664495
217,9.000000,640.179,365.962,22.806,3.680927,3.664715
218,9.041667,640.153,365.956,22.792,3.668872,3.666397
219,9.083333,640.139,365.954,22.813,3.664179,3.666273
220,9.125000,640.128,365.948,22.806,3.664423,3.666241
221,9.166667,640.015,365.935,22.883,3.671602,3.662780
222,9.208333,639.907,365.924,22.945,3.651441,3.661789
223,9.250000,639.891,365.931,22.966,3.662245,3.658840
224,9.291667,639.828,365.940,22.973,3.656700,3.656532
225,9.333333,639.622,365.901,23.084,3.661936,3.652652
226,9.375000,639.614,365.890,23.090,3.643531,3.652557
227,9.416667,639.515,365.859,23.146,3.648265,3.650844
228,9.458333,639.527,365.850,23.152,3.644444,3.650910
229,9.500000,639.597,365.888,23.111,3.650780,3.648478
230,9.541667,639.505,365.867,23.187,3.650254,3.649213
231,9.583333,639.440,365.853,23.221,3.657160,3.647720
232,9.625000,639.422,365.859,23.242,3.644911,3.646660
233,9.666667,639.487,365.859,23.207,3.648676,3.643987
234,9.708333,639.423,365.850,23.214,3.637814,3.642109
235,9.750000,639.365,365.837,23.248,3.637023,3.641560
236,9.791667,639.335,365.838,23.262,3.632073,3.639236
237,9.833333,639.375,365.877,23.235,3.637110,3.637647
238,9.875000,639.374,365.891,23.221,3.653311,3.637619
239,9.916667,639.283,365.885,23.276,3.628645,3.637738
240,9.958333,639.302,365.899,23.262,3.637554,3.639155
