frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
121,2.411865,4.407865,1.996000,0,0,1,0.629801,0.414128,0.000000,
122,2.445345,4.408027,1.962682,0,0,1,0.677535,0.435218,0.000000,
123,2.445345,4.408140,1.962795,0,0,1,0.631064,0.450742,0.000000,
124,2.445345,4.408216,1.962871,0,0,1,0.661505,0.461552,0.000000,
125,2.445345,4.408275,1.962930,0,0,1,0.727339,0.463794,0.000000,
126,2.426139,4.408295,1.982156,0,0,1,0.732971,0.468971,0.000000,
127,2.353956,4.408263,2.054307,0,0,1,0.676261,0.467529,0.000000,
128,2.353956,4.408245,2.054289,0,0,1,0.649990,0.455119,0.000000,
129,2.353956,4.408118,2.054162,0,0,1,0.531973,0.435666,0.000000,
130,2.353956,4.408119,2.054163,0,0,1,0.784421,0.645841,0.000000,
131,2.364161,4.408128,2.043967,0,0,1,0.754010,0.614312,0.000000,
132,2.364161,4.408129,2.043968,0,0,1,0.730297,0.577089,0.000000,
133,2.364161,4.408118,2.043957,0,0,1,0.627475,0.544485,0.000000,
134,2.364161,4.408116,2.043955,0,0,1,0.614460,0.509981,0.000000,
135,2.321540,4.408110,2.086570,0,0,1,0.550429,0.482314,0.000000,
136,2.321540,4.408111,2.086571,0,0,1,0.575308,0.456188,0.000000,
137,2.321540,4.408138,2.086598,0,0,1,0.545038,0.425378,0.000000,
138,2.313171,4.408155,2.094984,0,0,1,0.499637,0.379795,0.000000,
139,2.321540,4.408163,2.086623,0,0,1,0.464621,0.344721,0.000000,
140,2.324394,4.408159,2.083765,0,0,1,0.441845,0.321991,0.000000,
141,2.341211,4.408142,2.066931,0,0,1,0.504411,0.300479,0.000000,
142,2.402569,4.408086,2.005517,0,0,1,0.417521,0.285606,0.000000,
143,2.409999,4.408032,1.998033,0,0,1,0.441221,0.273617,0.000000,
144,2.409999,4.407975,1.997976,0,0,1,0.383743,0.260486,0.000000,
145,2.469977,4.407937,1.937960,0,0,1,0.407239,0.254494,0.000000,
146,2.654064,4.408034,1.753970,0,0,1,0.290759,0.059815,0.000000,
147,2.654064,4.408117,1.754053,0,0,1,0.273497,0.059434,0.069929,
148,2.655948,4.408163,1.752215,0,0,1,0.307554,0.075896,0.000000,
149,2.672581,4.408196,1.735615,0,0,1,0.201788,0.098009,0.000000,
150,2.672581,4.408219,1.735638,0,0,1,0.223332,0.126483,0.000000,
151,2.667801,4.408225,1.740424,0,0,1,0.261770,0.151332,0.000000,
152,2.661707,4.408252,1.746545,0,0,1,0.400586,0.166966,0.000000,
153,2.661707,4.408280,1.746573,0,0,1,0.180920,0.176790,0.000000,
154,2.667801,4.408295,1.740494,0,0,1,0.168914,0.185416,0.000000,
155,2.674335,4.408311,1.733976,0,0,1,0.154909,0.187686,0.000000,
