frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
22,0.875000,640.895,342.083,640.620,342.191,640.620,342.191,center,center,640.500,364.434,364.000,22.351,22.243,bottom_percentile_95,629.675,337.001,articraft_surface_contact_region_keyframe_affine,3.797509,3.770087,-0.027422,0.812683,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.296000,5.000000,8.000000,left_hand,0.598182,603.453,330.445,3.909041,contact_region:left:rigid_keyframe_surface_region,3.530283,3.545113,4.317808,3.797509,0.000000,0.433743,1.000000,0.000000
23,0.916667,637.567,334.787,637.674,334.789,637.674,334.789,center,center,637.000,356.744,357.000,21.957,21.955,bottom_percentile_95,623.439,336.537,articraft_surface_contact_region_keyframe_affine,3.992577,3.559928,-0.432649,0.805834,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.604447,600.873,323.701,3.898668,contact_region:left:rigid_keyframe_surface_region,3.479761,3.526520,4.661880,3.992577,0.000000,0.255781,0.852606,0.000000
24,0.958333,634.026,327.145,634.095,327.159,634.095,327.159,center,center,635.000,349.021,349.000,21.876,21.862,bottom_percentile_95,621.477,330.257,articraft_surface_contact_region_keyframe_affine,4.171454,3.521623,-0.649831,0.818155,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.258000,5.000000,8.000000,left_hand,0.624262,598.154,316.264,3.888487,contact_region:left:rigid_keyframe_surface_region,3.491371,3.503697,4.701525,4.171454,0.000000,0.020629,0.435618,0.000000
25,1.000000,630.484,319.177,630.423,319.160,630.423,319.160,center,center,630.000,341.082,341.000,21.905,21.922,bottom_percentile_95,618.884,322.414,articraft_surface_contact_region_keyframe_affine,4.307513,3.574266,-0.733247,0.803235,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.227000,5.000000,8.000000,left_hand,0.645200,595.655,308.523,3.877111,contact_region:left:rigid_keyframe_surface_region,3.520875,3.487738,3.626716,4.307513,0.000000,0.081619,0.766910,0.000000
26,1.041667,626.352,310.739,626.413,310.716,626.413,310.716,center,center,627.000,332.734,333.000,21.995,22.018,bottom_percentile_95,613.381,313.976,articraft_surface_contact_region_keyframe_affine,4.222079,3.534698,-0.687381,0.822135,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.211000,5.000000,8.000000,left_hand,0.662305,592.837,301.220,3.867265,contact_region:left:rigid_keyframe_surface_region,3.467525,3.488662,4.152179,4.222079,0.000000,0.266305,1.000000,0.000000
27,1.083333,621.756,301.887,621.550,301.960,621.550,301.960,center,center,623.000,324.037,324.000,22.150,22.077,bottom_percentile_95,608.337,303.946,articraft_surface_contact_region_keyframe_affine,4.387206,3.543787,-0.843420,0.827341,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.063000,5.000000,8.000000,left_hand,0.695832,590.328,293.847,3.857736,contact_region:left:rigid_keyframe_surface_region,3.452369,3.499727,4.522310,4.387206,0.000000,0.037314,0.667626,0.000000
28,1.125000,616.112,292.950,616.459,292.846,616.459,292.846,center,center,615.000,314.943,315.000,21.993,22.097,bottom_percentile_95,602.378,292.976,articraft_surface_contact_region_keyframe_affine,4.486279,3.760274,-0.726005,0.819575,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.030000,5.000000,8.000000,left_hand,0.749188,587.454,285.677,3.847837,contact_region:left:rigid_keyframe_surface_region,3.471982,3.522367,4.567338,4.486279,0.000000,0.056800,0.379051,0.000000
29,1.166667,611.244,283.400,610.841,283.461,610.841,283.461,center,center,607.000,305.482,305.000,22.082,22.021,bottom_percentile_95,599.303,285.173,articraft_surface_contact_region_keyframe_affine,4.537605,3.681052,-0.856554,0.800851,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.480000,5.000000,8.000000,left_hand,0.783602,584.247,277.149,3.835991,contact_region:left:rigid_keyframe_surface_region,3.536750,3.528493,4.579600,4.537605,0.000000,0.482190,0.191550,0.000000
30,1.208333,604.929,273.920,605.290,273.921,605.290,273.921,center,center,605.000,295.950,296.000,22.030,22.029,bottom_percentile_95,592.611,272.940,articraft_surface_contact_region_keyframe_affine,4.472281,3.704710,-0.767571,0.815970,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.875776,581.765,269.135,3.826047,contact_region:left:rigid_keyframe_surface_region,3.557213,3.543793,4.418834,4.472281,0.000000,0.050286,0.000000,0.000000
31,1.250000,599.640,264.478,599.528,264.448,599.528,264.448,center,center,598.000,286.683,287.000,22.205,22.235,bottom_percentile_95,585.061,259.035,articraft_surface_contact_region_keyframe_affine,4.179788,4.009273,-0.170515,0.816385,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.442000,5.000000,8.000000,left_hand,0.924760,578.884,259.720,3.819460,contact_region:left:rigid_keyframe_surface_region,3.649858,3.555319,4.549387,4.179788,0.000000,0.317257,0.391553,0.000000
