frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
142,4.700000,13.728507,8.711865,0.237970,5.444896,5020,0.198907,obs_disk
143,4.733333,13.676238,8.460626,0.212519,5.554161,5029,0.198762,obs_disk
144,4.766667,7.988735,7.191421,0.197014,5.617525,5022,0.149896,obs_disk
145,4.800000,5.136206,6.617658,0.187484,5.654700,5030,0.180168,obs_disk
146,4.833333,4.687182,6.527605,0.172825,5.717541,4907,0.222684,obs_disk
147,4.866667,5.065840,6.581150,0.151724,5.812542,5025,0.141900,obs_disk
148,4.900000,7.197962,6.869113,0.137733,5.877712,5030,0.117124,obs_disk
149,4.933333,7.192594,6.884426,0.142644,5.858448,5023,0.114037,obs_disk
150,4.966667,11.992126,7.691724,0.158650,5.789178,5021,0.142001,obs_disk
151,5.000000,8.106304,7.095057,0.163196,5.772140,5024,0.103326,obs_disk
152,5.033333,8.181747,7.033058,0.141505,5.875299,5024,0.110288,obs_disk
153,5.066667,7.221366,6.795550,0.101001,6.066185,5031,0.090579,obs_disk
154,5.100000,7.215146,6.706523,0.064266,6.242831,5033,0.089604,obs_disk
155,5.133333,6.457358,6.644639,0.051081,6.314791,5029,0.084610,obs_disk
156,5.166667,6.505232,6.689577,0.066180,6.259062,5031,0.084261,obs_disk
157,5.200000,6.211054,6.737681,0.099375,6.120461,5031,0.082830,obs_disk
158,5.233333,6.210008,6.807794,0.134896,5.970088,5024,0.083360,obs_disk
159,5.266667,6.178557,6.859624,0.162779,5.853884,5023,0.087145,obs_disk
160,5.300000,5.796639,6.835704,0.184393,5.766842,5030,0.086557,obs_disk
161,5.333333,6.225989,6.966493,0.207831,5.672541,5030,0.112862,obs_disk
162,5.366667,5.607203,6.879671,0.236454,5.553824,5022,0.101409,obs_disk
163,5.400000,18.092304,10.170575,0.260970,5.449027,5026,0.209802,obs_disk
164,5.433333,18.382488,10.305162,0.265357,5.427236,5022,0.244177,obs_disk
165,5.466667,6.612924,7.127110,0.244444,5.510620,5031,0.109077,obs_disk
166,5.500000,4.960411,6.690531,0.214812,5.624976,5022,0.109001,obs_disk
167,5.533333,5.552533,6.779367,0.202712,5.653801,5026,0.108581,obs_disk
168,5.566667,6.643301,7.007503,0.219136,5.551715,5031,0.165757,obs_disk
169,5.600000,6.671340,7.057928,0.250670,5.385620,5022,0.131802,obs_disk
170,5.633333,8.465849,7.589610,0.274943,5.261985,5027,0.145988,obs_disk
171,5.666667,6.197643,6.970268,0.278993,5.241166,5023,0.119333,obs_disk
172,5.700000,5.683995,6.814968,0.262030,5.325588,5033,0.144890,obs_disk
173,5.733333,5.702573,6.796481,0.228742,5.492064,5032,0.122967,obs_disk
174,5.766667,5.866821,6.797891,0.185627,5.708850,5020,0.115462,obs_disk
175,5.800000,5.509268,6.711410,0.140613,5.936733,5026,0.108257,obs_disk
176,5.833333,5.275142,6.671588,0.101121,6.138162,5025,0.136620,obs_disk
177,5.866667,5.437103,6.678926,0.071452,6.290435,5029,0.200673,obs_disk
178,5.900000,5.443686,6.673774,0.052547,6.387725,5022,0.170578,obs_disk
179,5.933333,5.433887,6.670531,0.043419,6.434597,5031,0.139130,obs_disk
180,5.966667,5.220809,6.661544,0.042613,6.439072,5028,0.132525,obs_disk
181,6.000000,5.216445,6.664611,0.049577,6.405996,5029,0.116047,obs_disk
182,6.033333,5.943107,6.722050,0.065637,6.331962,5035,0.126368,obs_disk
183,6.066667,5.834877,6.750525,0.092366,6.211582,5023,0.160269,obs_disk
184,6.100000,5.822145,6.796246,0.126890,6.057474,5024,0.155277,obs_disk
185,6.133333,5.963554,6.861091,0.159000,5.912884,5028,0.116153,obs_disk
186,6.166667,5.936528,6.876948,0.176547,5.828870,5021,0.124271,obs_disk
187,6.200000,6.169538,6.906687,0.176756,5.816187,5023,0.103280,obs_disk
188,6.233333,6.174733,6.879798,0.170159,5.829111,5025,0.104757,obs_disk
189,6.266667,6.396888,6.899658,0.170194,5.810946,5027,0.093623,obs_disk
190,6.300000,6.327785,6.890362,0.180310,5.749400,5021,0.093441,obs_disk
191,6.333333,6.378747,6.910775,0.193106,5.679002,5031,0.100063,obs_disk
192,6.366667,5.977795,6.833342,0.199928,5.638213,5025,0.126757,obs_disk
193,6.400000,6.234327,6.876184,0.199865,5.630162,5026,0.183399,obs_disk
194,6.433333,6.246595,6.874149,0.201274,5.616869,5029,0.180910,obs_disk
195,6.466667,6.243402,6.892757,0.215193,5.549219,5028,0.169213,obs_disk
196,6.500000,6.620495,7.036444,0.245759,5.409400,5019,0.116648,obs_disk
197,6.533333,6.828053,7.184078,0.286967,5.224653,5024,0.144681,obs_disk
198,6.566667,6.783072,7.271143,0.329401,5.036790,5023,0.168787,obs_disk
199,6.600000,6.795697,7.368849,0.368249,4.866340,5032,0.168743,obs_disk
200,6.633333,8.201838,8.021061,0.403504,4.711584,5030,0.167197,obs_disk
201,6.666667,10.550146,9.163604,0.435564,4.568343,5024,0.168029,obs_disk
202,6.700000,14.935045,11.374721,0.464815,4.432695,5026,0.163191,obs_disk
203,6.733333,14.956785,11.696010,0.495492,4.285043,5024,0.166147,obs_disk
204,6.766667,8.619186,8.708518,0.535823,4.090160,5028,0.334480,obs_disk
205,6.800000,6.513984,7.677594,0.590750,3.829456,5024,0.762574,obs_disk
206,6.833333,4.438771,6.438368,0.654369,3.533775,5029,0.897579,obs_disk
207,6.866667,4.710091,6.625572,0.710564,3.278750,5030,0.881724,obs_disk
208,6.900000,5.222529,7.017285,0.741269,3.145989,5023,0.858349,obs_disk
209,6.933333,5.224754,7.025008,0.735322,3.183129,5029,0.802036,obs_disk
210,6.966667,5.297674,7.056345,0.692603,3.387159,5020,0.545109,obs_disk
211,7.000000,5.515387,7.146681,0.622576,3.712934,5024,0.419364,obs_disk
212,7.033333,5.627128,7.130719,0.539197,4.096586,5022,0.397831,obs_disk
213,7.066667,5.775073,7.109393,0.455112,4.481086,5026,0.497010,obs_disk
214,7.100000,5.771489,7.014274,0.378414,4.830261,5023,0.529224,obs_disk
215,7.133333,5.515858,6.853858,0.313443,5.124949,5036,0.438179,obs_disk
216,7.166667,4.878983,6.636077,0.262838,5.353695,5025,0.581372,obs_disk
217,7.200000,4.605772,6.560777,0.227341,5.513696,5026,0.583881,obs_disk
218,7.233333,4.613664,6.560123,0.203811,5.619808,5032,0.593294,obs_disk
219,7.266667,4.580081,6.552703,0.185057,5.705127,5021,0.631698,obs_disk
220,7.300000,4.725436,6.576684,0.163304,5.805001,5034,0.692416,obs_disk
221,7.333333,4.864798,6.591947,0.135589,5.932336,5030,0.724223,obs_disk
222,7.366667,4.981174,6.595710,0.106400,6.065712,5022,0.738815,obs_disk
223,7.400000,4.775365,6.567778,0.083449,6.169277,5031,0.718708,obs_disk
224,7.433333,4.773665,6.562483,0.069647,6.230014,5026,0.725776,obs_disk
225,7.466667,4.601228,6.547959,0.060550,6.269355,4889,0.521498,obs_disk
226,7.500000,4.669504,6.550089,0.050731,6.313202,5026,0.445519,obs_disk
227,7.533333,4.646032,6.548636,0.040937,6.358440,5020,0.385816,obs_disk
228,7.566667,4.573018,6.547306,0.038519,6.371156,5032,0.356203,obs_disk
229,7.600000,4.578323,6.550121,0.052628,6.309172,5021,0.353750,obs_disk
230,7.633333,4.610976,6.556450,0.089026,6.145952,5021,0.359185,obs_disk
231,7.666667,4.684218,6.573004,0.146776,5.885474,5023,0.358180,obs_disk
232,7.700000,4.649745,6.576718,0.218410,5.561168,5031,0.362244,obs_disk
233,7.733333,4.664554,6.588643,0.293402,5.220054,5019,0.363533,obs_disk
234,7.766667,4.634937,6.583461,0.361261,4.909038,5021,0.369126,obs_disk
235,7.800000,4.649059,6.588961,0.413321,4.667410,5024,0.365474,obs_disk
236,7.833333,4.632926,6.578349,0.445740,4.513267,4875,0.381034,obs_disk
237,7.866667,4.640734,6.575455,0.461910,4.431852,4905,0.384366,obs_disk
238,7.900000,4.648650,6.570974,0.469821,4.386939,4799,0.390855,obs_disk
239,7.933333,4.655090,6.564781,0.476241,4.347835,4792,0.399506,obs_disk
240,7.966667,4.638262,6.547517,0.483497,4.304934,4777,0.421753,obs_disk
241,8.000000,4.644724,6.543179,0.490668,4.264160,4754,0.443656,obs_disk
242,8.033333,4.589561,6.511212,0.496357,4.233152,4854,0.462077,obs_disk
