frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
32,1.033333,-0.712123,0.692880,5.126488,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.993,837.738,,653.993,837.738,,868.905,868.905,653.993,837.738,653.993,837.738,868.905,868.905,0.000051,0.986499,0.030485,1.000000,4.993821,0.132667,0.131726,0,1
33,1.066667,-0.716711,0.695700,5.142831,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.000,838.000,,653.000,838.000,,868.953,868.953,653.000,838.000,653.000,838.000,868.953,868.953,0.000035,0.978352,0.031094,1.000000,5.003809,0.139022,0.148562,0,1
34,1.100000,-0.720109,0.699799,5.162298,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,652.708,838.625,,652.708,838.625,,869.095,869.095,652.708,838.625,652.708,838.625,869.095,869.095,0.000006,0.975325,0.032885,1.000000,5.007339,0.154959,0.143099,0,1
35,1.133333,-0.722944,0.703200,5.185254,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,652.864,838.748,,652.864,838.748,,869.080,869.080,652.864,838.748,652.864,838.748,869.080,869.080,0.000014,0.974154,0.034117,1.000000,5.013588,0.171666,0.133222,0,1
36,1.166667,-0.726510,0.706118,5.212056,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,652.936,838.445,,652.936,838.445,,868.948,868.948,652.936,838.445,652.936,838.445,868.948,868.948,0.000006,0.968180,0.040270,1.000000,5.025596,0.186460,0.092147,0,1
37,1.200000,-0.730429,0.709888,5.242715,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.085,838.284,,653.085,838.284,,868.979,868.979,653.085,838.284,653.085,838.284,868.979,868.979,0.000015,0.943704,0.048578,1.000000,5.031356,0.211359,0.041779,0,1
38,1.233333,-0.735100,0.714730,5.277391,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.152,838.345,,653.152,838.345,,868.956,868.956,653.152,838.345,653.152,838.345,868.956,868.956,0.000044,0.936457,0.054406,1.000000,5.034689,0.242702,0.098543,0,1
39,1.266667,-0.738966,0.719622,5.316615,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.814,838.171,,653.814,838.171,,868.892,868.892,653.814,838.171,653.814,838.171,868.892,868.892,0.000060,0.922397,0.083624,1.000000,5.011516,0.305099,0.027629,0,1
40,1.300000,-0.746153,0.725873,5.362492,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.481,838.188,,653.481,838.188,,868.833,868.833,653.481,838.188,653.481,838.188,868.833,868.833,0.000029,0.694838,0.146155,0.996433,4.980948,0.381544,0.017574,0,1
41,1.333333,-0.753548,0.733039,5.415430,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.469,838.188,,653.469,838.188,,868.862,868.862,653.469,838.188,653.469,838.188,868.862,868.862,0.000009,0.554284,0.163133,0.976220,4.975830,0.439600,0.021087,0,1
