frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
202,801.366,653.906,801.366,653.901,0.000146,-0.004805,0.004807
203,801.108,656.231,801.108,656.235,0.000164,0.004144,0.004148
204,802.345,716.156,802.344,716.155,-0.000540,-0.001071,0.001199
205,798.974,787.071,798.975,787.073,0.000504,0.001640,0.001715
206,799.446,851.837,799.439,851.760,-0.006627,-0.076880,0.077165
207,795.254,835.365,795.254,835.389,0.000054,0.023555,0.023556
208,790.518,811.945,790.518,811.948,0.000499,0.002705,0.002750
209,789.276,810.296,789.276,810.295,-0.000321,-0.001416,0.001452
210,783.525,794.014,783.525,794.014,0.000122,0.000327,0.000349
211,777.987,782.366,777.986,782.372,-0.001022,0.006256,0.006339
212,772.487,781.925,772.487,781.927,0.000147,0.001885,0.001891
213,768.855,786.784,768.855,786.783,0.000260,-0.000621,0.000674
214,768.695,787.088,768.695,787.088,-0.000226,0.000315,0.000387
215,763.735,796.499,763.735,796.499,-0.000153,0.000194,0.000246
216,754.862,815.727,754.862,815.727,0.000149,0.000385,0.000413
217,749.694,836.900,749.694,836.897,0.000471,-0.003045,0.003081
218,748.831,837.478,748.830,837.478,-0.000635,0.000072,0.000639
219,746.055,841.202,746.055,841.189,-0.000228,-0.012847,0.012849
220,741.512,834.237,741.512,834.237,-0.000097,0.000006,0.000097
221,736.294,828.672,736.293,828.672,-0.000796,0.000002,0.000796
222,731.797,829.019,731.802,829.019,0.005325,0.000014,0.005325
223,731.099,836.888,731.098,836.887,-0.000620,-0.001449,0.001576
224,726.803,836.245,726.803,836.245,0.000335,0.000039,0.000338
225,725.000,840.500,724.999,840.500,-0.000898,-0.000037,0.000898
226,721.923,834.859,721.923,834.859,-0.000136,0.000001,0.000136
227,716.513,826.975,716.513,826.975,0.000058,0.000005,0.000058
228,712.378,824.370,712.378,824.370,0.000351,-0.000004,0.000351
229,710.676,824.004,710.676,824.004,-0.000364,0.000008,0.000364
230,707.797,826.982,707.797,826.982,0.000080,-0.000004,0.000081
231,704.931,827.456,704.931,827.456,-0.000189,-0.000000,0.000189
232,700.418,826.578,700.418,826.578,0.000193,0.000001,0.000193
233,697.936,826.718,697.936,826.718,-0.000150,-0.000000,0.000150
234,693.762,826.932,693.762,826.932,0.000059,-0.000001,0.000059
235,690.052,826.591,690.052,826.591,-0.000001,0.000001,0.000002
236,686.759,826.815,686.759,826.815,0.000005,-0.000001,0.000005
237,684.009,826.715,684.009,826.715,-0.000025,0.000001,0.000025
238,681.671,827.746,681.671,827.746,0.000093,-0.000001,0.000093
239,680.592,828.435,680.592,828.435,-0.000125,0.000001,0.000125
240,677.822,830.083,677.822,830.083,0.000114,-0.000001,0.000114
241,675.379,831.352,675.379,831.352,-0.000088,-0.000001,0.000088
242,672.428,831.805,672.428,831.805,0.000244,0.000001,0.000244
