frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
65,2.133333,-0.628609,-0.617843,6.259286,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,738.766,322.555,40.541,738.766,322.555,42.233,364.788,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.040812,6.694308,6.268504,-0.435022,0.000000,0,
66,2.166667,-0.621593,-0.680258,6.264294,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,741.410,300.780,40.449,741.410,300.780,42.199,342.979,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.020535,6.701033,6.271256,-0.436739,0.000000,0,
67,2.200000,-0.617897,-0.712117,6.269090,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,742.876,289.768,40.717,742.876,289.768,42.167,331.935,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.005418,6.709495,6.274008,-0.440404,0.000000,0,
68,2.233333,-0.617236,-0.711172,6.273280,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.253,290.267,41.214,743.253,290.267,42.139,332.406,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.027753,6.722881,6.276760,-0.449601,0.000000,0,
69,2.266667,-0.615978,-0.719815,6.276565,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.808,287.364,40.804,743.808,287.364,42.117,329.481,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.059218,6.743774,6.279512,-0.467209,0.000000,0,
70,2.300000,-0.613388,-0.713621,6.278717,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,744.791,289.624,40.854,744.791,289.624,42.102,331.726,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.089398,6.772603,6.282264,-0.493886,0.000000,0,
71,2.333333,-0.614696,-0.703583,6.279564,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,744.361,293.179,40.664,744.361,293.179,42.097,335.276,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.115886,6.805145,6.285016,-0.525581,0.000000,0,
72,2.366667,-0.608550,-0.675593,6.279003,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,746.498,302.977,40.376,746.498,302.977,42.100,345.077,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.139147,6.835239,6.287768,-0.556236,0.000000,0,
73,2.400000,-0.603653,-0.628266,6.277039,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,748.150,319.512,42.116,748.150,319.512,42.114,361.626,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.155539,6.873531,6.290520,-0.596492,0.000000,0,
74,2.433333,-0.602044,-0.624766,6.273849,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,748.607,320.629,40.922,748.607,320.629,42.135,362.764,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.164850,6.904293,6.293273,-0.630444,0.000000,0,
75,2.466667,-0.598253,-0.575842,6.269873,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.805,337.679,41.030,749.805,337.679,42.162,379.841,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.173488,6.922985,6.296025,-0.653112,0.000000,0,
76,2.500000,-0.595877,-0.510085,6.265932,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.508,360.670,41.037,750.508,360.670,42.188,402.858,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.175860,6.945575,6.298777,-0.679643,0.000000,0,
77,2.533333,-0.595798,-0.424766,6.263362,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.450,390.604,41.219,750.450,390.604,42.206,432.810,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.178945,6.950599,6.301529,-0.687237,0.000000,0,
78,2.566667,-0.589027,-0.338354,6.264138,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,752.857,421.011,40.566,752.857,421.011,42.200,463.211,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.172840,6.969302,6.304281,-0.705164,0.000000,0,
79,2.600000,-0.589205,-0.334369,6.270989,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,753.021,422.541,40.531,753.021,422.541,42.154,464.695,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.169522,6.974119,6.307033,-0.703130,0.000000,0,
80,2.633333,-0.593070,-0.232976,6.287435,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,752.208,458.373,40.487,752.208,458.373,42.044,500.417,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.160852,6.989157,6.309785,-0.701721,0.000000,0,
