frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
100,3.300000,2.807438,5.287355,1.291201,1.703858,14002,0.479745,0.6192,0.1124,mask
101,3.333333,2.876023,5.369120,1.264090,1.768349,14113,0.469442,0.5935,0.0801,mask
102,3.366667,2.915410,5.368011,1.267660,1.755824,14209,0.460192,0.6397,0.2061,mask
103,3.400000,2.834970,5.317024,1.306026,1.655184,13409,0.471053,0.6004,0.1007,mask
104,3.433333,2.809443,5.297311,1.377418,1.468599,13373,0.438862,0.5548,0.1043,mask
105,3.466667,2.830560,5.349645,1.476016,1.209478,13520,0.444113,0.5606,0.0841,mask
106,3.500000,2.824183,5.209346,1.590220,0.908876,13598,0.339671,0.6769,0.6970,mask
107,3.533333,2.824026,5.423012,1.704561,0.609288,13545,0.554236,0.6527,0.0000,mask
108,3.566667,2.813267,5.202006,1.805831,0.346087,13586,0.386201,0.7588,0.6803,mask
109,3.600000,2.816067,5.203837,1.888211,0.133842,13657,0.405069,0.8006,0.6904,mask
110,3.633333,2.832948,5.235749,1.954278,-0.033861,13754,0.415151,0.8105,0.6765,mask
111,3.666667,2.876647,5.296267,2.008903,-0.166921,13821,0.393825,0.8192,0.7873,mask
112,3.700000,2.935833,5.280848,2.048314,-0.252353,13841,0.302602,0.7755,1.2264,mask
113,3.733333,2.855737,5.296385,2.056778,-0.249762,13848,0.386850,0.8276,0.8472,mask
114,3.766667,2.803329,5.235261,2.018270,-0.123367,14088,0.389215,0.7925,0.7633,mask
115,3.800000,2.802529,5.214188,1.932388,0.119730,14069,0.373445,0.7657,0.7739,mask
116,3.833333,2.819291,5.224793,1.817583,0.426505,14029,0.347460,0.7085,0.7770,mask
117,3.866667,2.835711,5.272505,1.697363,0.736590,14055,0.393761,0.7352,0.6284,mask
118,3.900000,2.788313,5.214824,1.582911,1.025617,14385,0.431239,0.7516,0.5256,mask
119,3.933333,2.845119,5.254385,1.469424,1.310795,14492,0.377668,0.7193,0.6742,mask
