frame,time,u,v,x,y,visible,confidence,source
66,2.708333,484.121,111.455,484.121,111.455,1.000000,1.000000,sam2_mask_center
67,2.750000,484.313,108.797,484.313,108.797,1.000000,1.000000,sam2_mask_center
68,2.791667,484.317,106.730,484.317,106.730,1.000000,1.000000,sam2_mask_center
69,2.833333,484.504,104.922,484.504,104.922,1.000000,1.000000,sam2_mask_center
70,2.875000,484.545,103.435,484.545,103.435,1.000000,1.000000,sam2_mask_center
71,2.916667,484.342,101.996,484.342,101.996,1.000000,1.000000,sam2_mask_center
72,2.958333,484.059,100.799,484.059,100.799,1.000000,1.000000,sam2_mask_center
73,3.000000,483.801,99.584,483.801,99.584,1.000000,1.000000,sam2_mask_center
74,3.041667,483.568,98.614,483.568,98.614,1.000000,1.000000,sam2_mask_center
75,3.083333,482.806,97.949,482.806,97.949,1.000000,1.000000,sam2_mask_center
76,3.125000,483.040,97.083,483.040,97.083,1.000000,1.000000,sam2_mask_center
77,3.166667,482.577,96.330,482.577,96.330,1.000000,1.000000,sam2_mask_center
78,3.208333,482.464,95.865,482.464,95.865,1.000000,1.000000,sam2_mask_center
79,3.250000,482.928,95.553,482.928,95.553,1.000000,1.000000,sam2_mask_center
80,3.291667,482.986,95.385,482.986,95.385,1.000000,1.000000,sam2_mask_center
81,3.333333,483.086,95.395,483.086,95.395,1.000000,1.000000,sam2_mask_center
82,3.375000,483.495,95.816,483.495,95.816,1.000000,1.000000,sam2_mask_center
83,3.416667,484.020,96.604,484.020,96.604,1.000000,1.000000,sam2_mask_center
84,3.458333,484.396,98.192,484.396,98.192,1.000000,1.000000,sam2_mask_center
85,3.500000,485.448,100.046,485.448,100.046,1.000000,1.000000,sam2_mask_center
86,3.541667,486.185,102.340,486.185,102.340,1.000000,1.000000,sam2_mask_center
87,3.583333,487.068,105.014,487.068,105.014,1.000000,1.000000,sam2_mask_center
88,3.625000,488.372,108.147,488.372,108.147,1.000000,1.000000,sam2_mask_center
89,3.666667,489.086,111.253,489.086,111.253,1.000000,1.000000,sam2_mask_center
90,3.708333,490.477,114.360,490.477,114.360,1.000000,1.000000,sam2_mask_center
91,3.750000,491.934,117.433,491.934,117.433,1.000000,1.000000,sam2_mask_center
92,3.791667,493.861,120.825,493.861,120.825,1.000000,1.000000,sam2_mask_center
93,3.833333,496.689,125.484,496.689,125.484,1.000000,1.000000,sam2_mask_center
94,3.875000,500.185,129.654,500.185,129.654,1.000000,1.000000,sam2_mask_center
95,3.916667,504.333,135.203,504.333,135.203,1.000000,1.000000,sam2_mask_center
96,3.958333,509.397,141.356,509.397,141.356,1.000000,1.000000,sam2_mask_center
97,4.000000,514.152,149.277,514.152,149.277,1.000000,1.000000,sam2_mask_center
