frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
31,1.000000,653.917,837.720,653.917,837.720,653.917,837.720,cotracker_box_center,center,653.917,868.181,868.181,30.461,30.461,cotracker_bottom,,,stage2_contact_policy,4.986083,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.975488,4.986083,4.986083,4.986083,1.000000,0.000000,,,36.770
32,1.033333,653.993,837.738,653.993,837.738,653.993,837.738,cotracker_box_center,center,653.993,868.160,868.160,30.422,30.422,cotracker_bottom,,,stage2_contact_policy,4.987385,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.965015,4.987385,4.987385,4.987385,1.000000,0.000000,,,37.010
33,1.066667,653.000,838.000,653.000,838.000,653.000,838.000,cotracker_box_center,center,653.000,869.000,869.000,31.000,31.000,cotracker_bottom,,,stage2_contact_policy,4.991817,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.993539,4.991817,4.991817,4.991817,1.000000,0.000000,,,36.846
34,1.100000,652.708,838.625,652.708,838.625,652.708,838.625,cotracker_box_center,center,652.708,869.599,869.599,30.974,30.974,cotracker_bottom,,,stage2_contact_policy,4.993576,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.991482,4.993576,4.993576,4.993576,1.000000,0.000000,,,36.846
35,1.133333,652.864,838.748,652.864,838.748,652.864,838.748,cotracker_box_center,center,652.864,869.722,869.722,30.974,30.974,cotracker_bottom,,,stage2_contact_policy,4.999259,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.999356,4.999259,4.999259,4.999259,1.000000,0.000000,,,36.846
36,1.166667,652.936,838.445,652.936,838.445,652.936,838.445,cotracker_box_center,center,652.936,869.397,869.397,30.952,30.952,cotracker_bottom,,,stage2_contact_policy,4.999830,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.016339,4.999830,4.999830,4.999830,1.000000,0.000000,,,37.014
37,1.200000,653.085,838.284,653.085,838.284,653.085,838.284,cotracker_box_center,center,653.085,869.199,869.199,30.915,30.915,cotracker_bottom,,,stage2_contact_policy,4.990856,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.013813,4.990856,4.990856,4.990856,1.000000,0.000000,,,36.600
38,1.233333,653.152,838.345,653.152,838.345,653.152,838.345,cotracker_box_center,center,653.152,869.237,869.237,30.892,30.892,cotracker_bottom,,,stage2_contact_policy,4.984491,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.015272,4.984491,4.984491,4.984491,1.000000,0.000000,,,36.627
39,1.266667,653.814,838.171,653.814,838.171,653.814,838.171,cotracker_box_center,center,653.814,869.088,869.088,30.917,30.917,cotracker_bottom,,,stage2_contact_policy,4.973414,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.969008,4.973414,4.973414,4.973414,1.000000,0.000000,,,36.786
40,1.300000,653.481,838.188,653.481,838.188,653.481,838.188,cotracker_tb_center,center,653.481,869.104,869.104,30.916,30.916,cotracker_bottom,,,stage2_contact_policy,4.957736,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.930724,4.957736,4.957736,4.957736,1.000000,0.000000,,,36.936
41,1.333333,653.469,838.188,653.469,838.188,653.469,838.188,cotracker_tb_center,center,653.469,869.062,869.062,30.874,30.874,cotracker_bottom,,,stage2_contact_policy,4.942424,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.946927,4.942424,4.942424,4.942424,1.000000,0.000000,,,36.488
42,1.366667,653.546,838.162,653.546,838.162,653.546,838.162,cotracker_tb_center,center,653.546,869.034,869.034,30.872,30.872,cotracker_bottom,,,stage2_contact_policy,4.923183,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.921814,4.923183,4.923183,4.923183,1.000000,0.000000,,,36.708
43,1.400000,653.704,838.100,653.704,838.100,653.704,838.100,cotracker_tb_center,center,653.704,868.956,868.956,30.856,30.856,cotracker_bottom,,,stage2_contact_policy,4.918103,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.906600,4.918103,4.918103,4.918103,1.000000,0.000000,,,36.730
44,1.433333,653.766,838.099,653.766,838.099,653.766,838.099,cotracker_tb_center,center,653.766,868.935,868.935,30.836,30.836,cotracker_bottom,,,stage2_contact_policy,4.907543,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.906625,4.907543,4.907543,4.907543,1.000000,0.000000,,,36.730
45,1.466667,653.733,838.241,653.733,838.241,653.733,838.241,cotracker_tb_center,center,653.733,869.047,869.047,30.806,30.806,cotracker_bottom,,,stage2_contact_policy,4.879600,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.880585,4.879600,4.879600,4.879600,1.000000,0.000000,,,36.730
46,1.500000,653.850,838.156,653.850,838.156,653.850,838.156,cotracker_tb_center,center,653.850,868.971,868.971,30.815,30.815,cotracker_bottom,,,stage2_contact_policy,4.858893,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.933448,4.858893,4.858893,4.858893,1.000000,0.000000,,,36.730
47,1.533333,653.747,838.145,653.747,838.145,653.747,838.145,cotracker_tb_center,center,653.747,868.913,868.913,30.768,30.768,cotracker_bottom,,,stage2_contact_policy,4.857152,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.856798,4.857152,4.857152,4.857152,1.000000,0.000000,,,36.730
48,1.566667,653.966,838.133,653.966,838.133,653.966,838.133,cotracker_tb_center,center,653.966,868.853,868.853,30.720,30.720,cotracker_bottom,,,stage2_contact_policy,4.834893,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.751324,4.834893,4.834893,4.834893,1.000000,0.000000,,,36.706
49,1.600000,653.962,838.107,653.962,838.107,653.962,838.107,cotracker_tb_center,center,653.962,868.740,868.740,30.633,30.633,cotracker_bottom,,,stage2_contact_policy,4.973053,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.776874,4.973053,4.973053,4.973053,1.000000,0.000000,,,36.612
50,1.633333,654.115,838.037,654.115,838.037,654.115,838.037,cotracker_tb_center,center,654.115,868.726,868.726,30.689,30.689,cotracker_bottom,,,stage2_contact_policy,5.103855,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.894406,5.103855,5.103855,5.103855,1.000000,0.000000,,,36.736
51,1.666667,653.866,838.142,653.866,838.142,653.866,838.142,cotracker_tb_center,center,653.866,868.663,868.663,30.521,30.521,cotracker_bottom,,,stage2_contact_policy,5.383040,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.750818,5.383040,5.383040,5.383040,1.000000,0.000000,,,36.616
52,1.700000,682.704,787.710,682.704,787.710,682.704,787.710,cotracker_center_fallback,center,682.704,831.368,831.368,43.658,43.658,cotracker_bottom,,,stage2_contact_policy,5.501188,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.847698,5.501188,5.501188,5.501188,1.000000,0.000000,,,39.538
53,1.733333,682.303,787.945,682.303,787.945,682.303,787.945,cotracker_center_fallback,center,682.303,827.908,827.908,39.963,39.963,cotracker_bottom,,,stage2_contact_policy,5.648315,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.849066,5.648315,5.648315,5.648315,1.000000,0.000000,,,39.386
54,1.766667,700.809,711.024,700.809,711.024,700.809,711.024,cotracker_center_fallback,center,700.809,755.812,755.812,44.788,44.788,cotracker_bottom,,,stage2_contact_policy,5.664925,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,6.811098,5.664925,5.664925,5.664925,1.000000,0.000000,,,39.901
55,1.800000,711.371,631.171,711.371,631.171,711.371,631.171,cotracker_center_fallback,center,711.371,678.308,678.308,47.137,47.137,cotracker_bottom,,,stage2_contact_policy,5.874301,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.578354,5.874301,5.874301,5.874301,1.000000,0.000000,,,40.503
56,1.833333,716.724,576.812,716.724,576.812,716.724,576.812,cotracker_center_fallback,center,716.724,619.487,619.487,42.675,42.675,cotracker_bottom,,,stage2_contact_policy,5.928452,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.806762,5.928452,5.928452,5.928452,1.000000,0.000000,,,40.479
