case,variant,metric,value,unit,better_direction,scope,source
back_view_basketball,no_audio,non_event_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,gate_active_count,5,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,hoi_contact_pair_rows,8,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,overlay_hard_score,0.648096783168858,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,contact_gap_mm,70.14144680851064,mm,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,contact_proxy,0.24590034268396507,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,tradeoff_score,0.4958833962575931,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,translation_velocity_mean_m_per_frame,0.0554724649478299,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,translation_acceleration_mean_m_per_frame2,0.015047411093353164,m/frame^2,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,translation_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,non_event_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,gate_active_count,4,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_vlm,hoi_contact_pair_rows,47,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
