frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
33,1.333333,left_hand,hand,left,-0.966127515,0.114242733,3.278562784,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
33,1.333333,right_hand,hand,right,-0.282806158,0.073909000,3.133196831,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
34,1.375000,left_hand,hand,left,-0.909474671,0.102241725,3.315300465,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
34,1.375000,right_hand,hand,right,-0.276927590,0.106391966,3.064257383,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
35,1.416667,left_hand,hand,left,-0.845397472,0.093703091,3.328800440,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
35,1.416667,right_hand,hand,right,-0.274654180,0.128091380,2.985832691,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
36,1.458333,left_hand,hand,left,-0.787730992,0.086263329,3.334772110,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
36,1.458333,right_hand,hand,right,-0.278052807,0.141795054,2.915853500,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
37,1.500000,left_hand,hand,left,-0.737564504,0.081421167,3.331514597,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
37,1.500000,right_hand,hand,right,-0.286693871,0.147968471,2.851571798,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
38,1.541667,left_hand,hand,left,-0.694498360,0.090431392,3.322165728,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
38,1.541667,right_hand,hand,right,-0.292733431,0.152174592,2.798949242,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
39,1.583333,left_hand,hand,left,-0.650811434,0.108180553,3.304789543,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
39,1.583333,right_hand,hand,right,-0.291932255,0.155283466,2.754361153,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
40,1.625000,left_hand,hand,left,-0.623782873,0.120684564,3.295291662,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
40,1.625000,right_hand,hand,right,-0.287873864,0.155396104,2.729048491,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
41,1.666667,left_hand,hand,left,-0.613512576,0.134449929,3.288736820,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
41,1.666667,right_hand,hand,right,-0.272986233,0.148017824,2.716300011,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
42,1.708333,left_hand,hand,left,-0.609984040,0.147260427,3.281559706,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
42,1.708333,right_hand,hand,right,-0.248180449,0.137969717,2.707217216,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
43,1.750000,left_hand,hand,left,-0.614306808,0.150624633,3.301380396,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
43,1.750000,right_hand,hand,right,-0.213961184,0.126068681,2.727483273,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
44,1.791667,left_hand,hand,left,-0.624298692,0.140089571,3.352167130,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
44,1.791667,right_hand,hand,right,-0.175982684,0.110173896,2.773429632,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
45,1.833333,left_hand,hand,left,-0.627638936,0.120842129,3.351709843,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
45,1.833333,right_hand,hand,right,-0.124498069,0.095236674,2.795095444,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
46,1.875000,left_hand,hand,left,-0.642534494,0.108618677,3.344920874,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
46,1.875000,right_hand,hand,right,-0.074777752,0.072631121,2.837635994,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
47,1.916667,left_hand,hand,left,-0.657853723,0.099084139,3.342336655,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
47,1.916667,right_hand,hand,right,-0.020129412,0.043305054,2.896548271,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
48,1.958333,left_hand,hand,left,-0.688636422,0.090471804,3.340841770,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
48,1.958333,right_hand,hand,right,0.021366537,0.004350692,2.970989227,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
49,2.000000,left_hand,hand,left,-0.732089281,0.082375646,3.333361626,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
49,2.000000,right_hand,hand,right,0.045364112,-0.047652781,3.048907280,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
50,2.041667,left_hand,hand,left,-0.777248323,0.076782644,3.310859203,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
50,2.041667,right_hand,hand,right,0.050592870,-0.096189559,3.121880531,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
51,2.083333,left_hand,hand,left,-0.821460009,0.069355547,3.295994282,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
51,2.083333,right_hand,hand,right,0.038125753,-0.151525885,3.195754051,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
52,2.125000,left_hand,hand,left,-0.857744336,0.063796729,3.281065464,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
