frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
96,3.958333,floor_floor_support,floor,,floor_support,1,1,1,1,,,,,,,,,0.078674,update,hand_floor_from_anchor_floor_candidates
97,4.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.126084,inactive,hand_floor_from_anchor_floor_candidates
98,4.041667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.123931,inactive,hand_floor_from_anchor_floor_candidates
99,4.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.103847,inactive,hand_floor_from_anchor_floor_candidates
100,4.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.755733,inactive,hand_floor_from_anchor_floor_candidates
101,4.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
102,4.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
103,4.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
104,4.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
105,4.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
106,4.375000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
107,4.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
108,4.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
109,4.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
110,4.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
111,4.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
112,4.625000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.690765,inactive,hand_floor_from_anchor_floor_candidates
113,4.666667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.527504,inactive,hand_floor_from_anchor_floor_candidates
114,4.708333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.458541,inactive,hand_floor_from_anchor_floor_candidates
115,4.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.530809,inactive,hand_floor_from_anchor_floor_candidates
116,4.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
117,4.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
118,4.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
119,4.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
120,4.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
121,5.000000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
122,5.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
123,5.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
124,5.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
125,5.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
126,5.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
127,5.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
128,5.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
129,5.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.681380,inactive,hand_floor_from_anchor_floor_candidates
130,5.375000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.589780,inactive,hand_floor_from_anchor_floor_candidates
131,5.416667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.618307,inactive,hand_floor_from_anchor_floor_candidates
132,5.458333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.627268,inactive,hand_floor_from_anchor_floor_candidates
133,5.500000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.652323,inactive,hand_floor_from_anchor_floor_candidates
134,5.541667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.658389,inactive,hand_floor_from_anchor_floor_candidates
135,5.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.670883,inactive,hand_floor_from_anchor_floor_candidates
136,5.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.717853,inactive,hand_floor_from_anchor_floor_candidates
137,5.666667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.741924,inactive,hand_floor_from_anchor_floor_candidates
138,5.708333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.775874,inactive,hand_floor_from_anchor_floor_candidates
139,5.750000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.810443,inactive,hand_floor_from_anchor_floor_candidates
140,5.791667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.845548,inactive,hand_floor_from_anchor_floor_candidates
