frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
66,2.708333,-0.295718,-0.066699,2.845866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,487.395,325.580,487.395,325.580,372.287,372.287,487.395,325.580,372.287,2.845866,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
67,2.750000,-0.304772,-0.090024,2.898499,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,485.579,314.387,485.579,314.387,363.234,363.234,485.579,314.387,363.234,2.898499,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
68,2.791667,-0.311989,-0.104140,2.970350,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,485.746,308.511,485.746,308.511,357.947,357.947,485.746,308.511,357.947,2.970350,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
69,2.833333,-0.308445,-0.104421,2.970350,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,487.498,308.372,487.498,308.372,357.543,357.543,487.498,308.372,357.543,2.970350,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
70,2.875000,-0.298086,-0.092607,2.970350,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,492.620,314.213,492.620,314.213,362.448,362.448,492.620,314.213,362.448,2.970350,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
71,2.916667,-0.271897,-0.068708,2.898499,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.236,325.187,502.236,325.187,371.365,371.365,502.236,325.187,371.365,2.898499,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
72,2.958333,-0.220381,-0.032765,2.583451,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.721,341.374,514.721,341.374,384.874,384.874,514.721,341.374,384.874,2.583451,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
73,3.000000,-0.185375,0.003430,2.563321,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.793,361.965,533.793,361.965,403.093,403.093,533.793,361.965,403.093,2.563321,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
74,3.041667,-0.146700,0.055897,2.535560,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.031,392.376,555.031,392.376,427.071,427.071,555.031,392.376,427.071,2.535560,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
75,3.083333,-0.055102,0.117706,2.391676,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.165,432.277,606.165,432.277,470.860,470.860,606.165,432.277,470.860,2.391676,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
76,3.125000,0.008488,0.186131,2.378557,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,645.241,474.924,645.241,474.924,516.819,516.819,645.241,474.924,516.819,2.378557,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
77,3.166667,0.075422,0.281095,2.333604,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,687.465,536.901,687.465,536.901,579.377,579.377,687.465,536.901,579.377,2.333604,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
78,3.208333,0.145775,0.310529,2.331779,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,731.812,555.578,731.812,555.578,598.860,598.860,731.812,555.578,598.860,2.331779,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
79,3.250000,0.197779,0.249695,2.283463,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,767.201,520.591,767.201,520.591,553.022,553.022,767.201,520.591,553.022,2.283463,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
80,3.291667,0.240951,0.185869,2.272975,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,795.682,480.093,795.682,480.093,505.125,505.125,795.682,480.093,505.125,2.272975,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
81,3.333333,0.301746,0.136401,2.272975,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,834.963,448.131,834.963,448.131,471.692,471.692,834.963,448.131,471.692,2.272975,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
82,3.375000,0.338347,0.084507,2.272975,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.611,414.601,858.611,414.601,445.913,445.913,858.611,414.601,445.913,2.272975,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
83,3.416667,0.371313,0.031852,2.272975,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,879.911,380.580,879.911,380.580,418.496,418.496,879.911,380.580,418.496,2.272975,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
84,3.458333,0.402056,-0.009832,2.277452,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,899.264,353.660,899.264,353.660,395.557,395.557,899.264,353.660,395.557,2.277452,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
85,3.500000,0.443438,-0.049483,2.384151,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,913.152,329.519,913.152,329.519,374.858,374.858,913.152,329.519,374.858,2.384151,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
86,3.541667,0.466313,-0.076265,2.410897,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,924.056,313.543,924.056,313.543,360.329,360.329,924.056,313.543,360.329,2.410897,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
87,3.583333,0.507884,-0.101653,2.588177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,928.188,302.319,928.188,302.319,349.168,349.168,928.188,302.319,349.168,2.588177,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
88,3.625000,0.506127,-0.107940,2.588177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,927.191,298.752,927.191,298.752,346.192,346.192,927.191,298.752,346.192,2.588177,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
89,3.666667,0.490917,-0.096636,2.588177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,918.560,305.166,918.560,305.166,350.619,350.619,918.560,305.166,350.619,2.588177,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
90,3.708333,0.474166,-0.076360,2.588177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,909.055,316.671,909.055,316.671,362.110,362.110,909.055,316.671,362.110,2.588177,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
91,3.750000,0.450096,-0.036979,2.575924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,896.612,338.917,896.612,338.917,379.776,379.776,896.612,338.917,379.776,2.575924,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
92,3.791667,0.385678,0.023566,2.350049,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,881.020,374.727,881.020,374.727,413.208,413.208,881.020,374.727,413.208,2.350049,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
93,3.833333,0.335632,0.098596,2.324316,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,852.067,422.297,852.067,422.297,438.240,438.240,852.067,422.297,438.240,2.324316,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
94,3.875000,0.257663,0.183889,2.291739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,805.117,477.841,805.117,477.841,451.435,451.435,805.117,477.841,451.435,2.291739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
95,3.916667,0.163450,0.283107,2.291739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,744.743,541.422,744.743,541.422,547.531,547.531,744.743,541.422,547.531,2.291739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
96,3.958333,0.078851,0.336166,2.291739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,690.530,575.424,690.530,575.424,566.495,566.495,690.530,575.424,566.495,2.291739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
97,4.000000,0.026293,0.268727,2.291739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,656.849,532.207,656.849,532.207,577.000,577.000,656.849,532.207,577.000,2.291739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
98,4.041667,-0.028068,0.206110,2.281159,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,621.930,492.693,621.930,492.693,538.082,538.082,621.930,492.693,538.082,2.281159,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
99,4.083333,-0.079884,0.147553,2.291739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,588.808,454.556,588.808,454.556,499.519,499.519,588.808,454.556,499.519,2.291739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
