frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
41,1.666667,678.411,501.368,682.820,495.308,ref,672.034,458.031,human_nearest_sphere_proxy,678.411,539.004,545.172,37.636,43.696,sphere_proxy_bottom,2.363727,4.377669,2.013942,1.000000,0.000000,0.159129,0.000000,0.100000,0.000000,21.513000,0.182000,5.000000,8.000000,left_hand,0.159129,661.331,385.292,4.047868,sphere:surface,2.279607,2.363727,0.000000,6.168476,1.000000,0.487684
42,1.708333,720.941,558.612,718.108,527.463,ref,676.140,565.825,human_nearest_sphere_proxy,720.941,573.441,603.990,14.829,45.978,sphere_proxy_bottom,2.366965,2.513199,0.146234,1.000000,0.000000,0.057383,1.000000,1.000000,0.000000,78.757000,1.756000,5.000000,8.000000,left_foot,0.057383,563.273,583.996,4.059193,sphere:surface,2.369614,2.366965,1.000000,30.549114,1.000000,0.731525
43,1.750000,749.902,523.847,751.594,518.843,ref,732.851,482.755,human_nearest_sphere_proxy,749.902,560.468,568.336,36.621,41.625,sphere_proxy_bottom,2.317506,3.913171,1.595666,1.000000,0.000000,0.109654,0.000000,0.100000,0.000000,43.992000,0.867000,5.000000,8.000000,left_hand,0.109654,698.965,401.089,4.019808,sphere:surface,2.277039,2.317506,0.000000,7.867962,1.000000,0.975367
44,1.791667,778.648,479.855,774.847,481.026,ref,800.393,450.825,human_nearest_sphere_proxy,778.648,520.063,516.126,40.208,39.037,sphere_proxy_bottom,2.354867,2.285355,-0.069512,1.000000,0.000000,0.215611,0.237450,0.237450,1.000000,0.000000,2.127000,5.000000,8.000000,right_hand,0.215611,837.186,401.705,3.494237,sphere:surface,2.385435,2.354867,0.237450,3.937086,0.193613,0.731525
45,1.833333,800.798,428.737,808.950,431.955,ref,828.054,410.594,human_nearest_sphere_proxy,800.798,468.847,461.479,40.110,36.891,sphere_proxy_bottom,2.292633,2.190493,-0.102140,1.000000,0.000000,0.332562,0.000000,0.100000,1.000000,0.000000,5.656000,5.000000,8.000000,right_hand,0.332562,864.712,386.193,3.465413,sphere:surface,2.241715,2.292633,0.000000,7.367648,0.621166,0.487684
46,1.875000,854.312,393.698,847.539,392.467,ref,882.806,369.442,human_nearest_sphere_proxy,854.312,429.045,431.118,35.347,36.578,sphere_proxy_bottom,2.222192,2.131506,-0.090687,1.000000,0.000000,0.655276,0.000000,0.100000,1.000000,0.000000,0.978000,5.000000,8.000000,right_hand,0.655276,895.680,358.482,3.443092,sphere:surface,2.164559,2.222192,0.000000,2.072695,0.453138,0.000000
47,1.916667,882.039,360.396,884.289,359.965,ref,910.834,334.994,human_nearest_sphere_proxy,882.039,398.452,398.794,38.056,38.488,sphere_proxy_bottom,2.245407,2.218832,-0.026575,1.000000,0.000000,0.672928,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.672928,922.716,324.513,3.460443,sphere:surface,2.264400,2.245407,0.000000,0.341638,0.685618,0.000000
48,1.958333,905.843,328.851,905.262,329.139,ref,934.063,299.795,human_nearest_sphere_proxy,905.843,369.366,369.355,40.515,40.227,sphere_proxy_bottom,2.279245,2.280497,0.001252,1.000000,0.015790,0.752951,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.752951,941.970,291.653,3.492678,sphere:surface,2.306931,2.279245,0.000000,0.011152,0.522822,0.000000
49,2.000000,921.343,304.116,921.865,304.010,ref,949.286,273.327,human_nearest_sphere_proxy,921.343,346.258,345.694,42.142,42.248,sphere_proxy_bottom,2.312164,2.273494,-0.038669,1.000000,0.203856,0.738317,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.738317,957.441,264.341,3.509160,sphere:surface,2.339097,2.312164,1.000000,0.563933,0.692068,0.000000
50,2.041667,930.939,287.885,930.171,288.704,ref,959.417,253.631,human_nearest_sphere_proxy,930.939,332.888,332.431,45.003,44.184,sphere_proxy_bottom,2.404820,2.452968,0.048148,1.000000,0.425732,0.759865,0.000000,0.100000,0.000000,13.773793,0.000000,5.000000,8.000000,right_hand,0.759865,966.440,245.184,3.520092,sphere:surface,2.480629,2.404820,0.000000,0.457448,0.746313,0.000000
51,2.083333,931.962,281.140,932.098,281.670,ref,960.924,245.423,human_nearest_sphere_proxy,931.962,327.168,327.124,46.028,45.499,sphere_proxy_bottom,2.535902,2.557088,0.021187,1.000000,0.666419,0.784318,0.000000,0.100000,0.000000,19.727824,0.000000,5.000000,8.000000,right_hand,0.784318,967.045,237.875,3.554282,sphere:surface,2.643151,2.535902,0.000000,0.044448,0.844887,0.000000
52,2.125000,926.610,283.085,925.587,284.070,ref,956.252,247.614,human_nearest_sphere_proxy,926.610,330.555,329.311,47.470,46.485,sphere_proxy_bottom,2.556756,6.950943,4.394187,1.000000,0.137331,0.853890,0.000000,0.100000,0.000000,15.597213,0.000000,5.000000,8.000000,right_hand,0.853890,960.303,242.766,3.603478,sphere:surface,2.573818,2.556756,0.000000,1.244076,1.000000,0.000000
53,2.166667,909.696,297.766,909.904,297.067,ref,942.517,263.715,human_nearest_sphere_proxy,909.696,343.620,345.060,45.854,46.553,sphere_proxy_bottom,2.530074,7.042602,4.512528,1.000000,0.000000,0.909112,0.000000,0.100000,1.000000,0.000000,1.068000,5.000000,8.000000,right_hand,0.909112,945.162,260.970,3.664010,sphere:surface,2.508244,2.530074,0.000000,1.440210,1.000000,0.000000
54,2.208333,883.880,325.517,885.128,327.207,ref,919.176,295.460,human_nearest_sphere_proxy,883.880,373.854,371.877,48.337,46.646,sphere_proxy_bottom,2.489763,7.105889,4.616126,1.000000,0.000000,0.916463,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.916463,921.833,293.197,3.694303,sphere:surface,2.456781,2.489763,0.000000,1.976505,1.000000,0.000000
55,2.250000,850.417,372.885,847.357,369.684,ref,883.555,339.660,human_nearest_sphere_proxy,850.417,416.364,419.811,43.479,46.679,sphere_proxy_bottom,2.376622,4.000532,1.623910,1.000000,0.000000,0.829155,0.093048,0.100000,1.000000,0.000000,0.566000,5.000000,8.000000,right_hand,0.829155,888.847,334.354,3.718013,sphere:surface,2.284052,2.376622,0.093048,3.447181,1.000000,0.000000
56,2.291667,795.999,426.695,798.892,436.955,ref,817.293,404.159,human_nearest_sphere_proxy,795.999,483.579,457.700,56.884,46.623,sphere_proxy_bottom,2.277530,2.226027,-0.051503,1.000000,0.000000,0.356464,0.000000,0.100000,1.000000,0.000000,15.355000,5.000000,8.000000,right_hand,0.356464,845.630,374.168,3.739295,sphere:surface,2.196455,2.277530,0.000000,25.878771,0.763192,0.000000
57,2.333333,743.018,511.113,739.362,499.029,ref,765.079,469.749,human_nearest_sphere_proxy,743.018,545.447,557.992,34.334,46.418,sphere_proxy_bottom,2.278774,2.343501,0.064727,1.000000,0.000000,0.128730,0.466293,0.466293,0.000000,26.573000,0.588000,5.000000,8.000000,right_hand,0.128730,803.669,397.396,3.750107,sphere:surface,2.279793,2.278774,0.466293,12.544810,1.000000,0.500000
58,2.375000,680.118,566.187,684.535,536.774,ref,634.114,571.336,human_nearest_sphere_proxy,680.118,582.989,612.478,16.802,46.215,sphere_proxy_bottom,2.324140,2.686745,0.362605,1.000000,0.000000,0.101195,0.194523,0.194523,0.000000,81.647000,0.342000,5.000000,8.000000,left_foot,0.101195,543.055,581.529,4.013958,sphere:surface,2.361257,2.324140,0.194523,29.489000,1.000000,0.750000
59,2.416667,638.600,530.601,636.040,523.745,ref,598.079,551.403,human_nearest_sphere_proxy,638.600,569.688,576.150,39.087,45.943,sphere_proxy_bottom,2.317645,2.354129,0.036484,1.000000,0.000000,0.205047,1.000000,1.000000,0.000000,46.061000,0.400000,5.000000,8.000000,left_foot,0.205047,541.694,580.349,4.015757,sphere:surface,2.312331,2.317645,1.000000,6.462010,1.000000,1.000000
60,2.458333,598.233,484.540,600.381,489.976,ref,574.355,523.798,human_nearest_sphere_proxy,598.233,535.842,530.489,51.302,45.867,sphere_proxy_bottom,2.304258,2.348860,0.044602,1.000000,0.000000,0.197423,0.690376,0.690376,1.000000,0.000000,0.000000,5.000000,8.000000,left_foot,0.197423,540.632,579.244,4.015801,sphere:surface,2.293305,2.304258,0.690376,5.353371,0.167461,0.750000
61,2.500000,568.647,445.834,566.203,443.871,ref,542.443,408.423,human_nearest_sphere_proxy,568.647,489.774,491.509,43.940,45.903,sphere_proxy_bottom,2.272010,5.979940,3.707931,1.000000,0.000000,0.339052,0.000000,0.100000,1.000000,0.000000,0.122000,5.000000,8.000000,left_hand,0.339052,517.622,372.987,3.771422,sphere:surface,2.245625,2.272010,0.000000,1.735419,0.120338,0.500000
