frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
43,1.750000,-0.240801,-1.005272,3.924377,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,549.886,-16.199,549.886,-16.199,8.190,8.190,549.886,-16.199,8.190,3.924377,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
44,1.791667,-0.241469,-0.979246,3.895924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.976,-9.136,548.976,-9.136,12.331,12.331,548.976,-9.136,12.331,3.895924,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
45,1.833333,-0.239576,-0.911179,3.745707,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,546.068,2.748,546.068,2.748,21.832,21.832,546.068,2.748,21.832,3.745707,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
46,1.875000,-0.246539,-0.868398,3.724450,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,542.786,17.578,542.786,17.578,37.988,37.988,542.786,17.578,37.988,3.724450,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
47,1.916667,-0.249211,-0.808044,3.705799,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,541.238,39.773,541.238,39.773,59.631,59.631,541.238,39.773,59.631,3.705799,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
48,1.958333,-0.252017,-0.734723,3.693232,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.786,67.839,539.786,67.839,85.766,85.766,539.786,67.839,85.766,3.693232,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
49,2.000000,-0.243047,-0.621280,3.484004,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,537.549,98.113,537.549,98.113,120.926,120.926,537.549,98.113,120.926,3.484004,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
50,2.041667,-0.245191,-0.577388,3.484004,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.645,116.615,536.645,116.615,134.740,134.740,536.645,116.615,134.740,3.484004,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
51,2.083333,-0.245289,-0.623423,3.484004,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.604,97.210,536.604,97.210,117.019,117.019,536.604,97.210,117.019,3.484004,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
52,2.125000,-0.244022,-0.676878,3.484004,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,537.138,74.677,537.138,74.677,95.006,95.006,537.138,74.677,95.006,3.484004,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
