frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
65,0,0,0,0,optimize,sustained_grasp,0.098951,0.055961,0.180000,0.220000,0.220000,0,0,0,0,0.515245,0.000000
66,0,0,0,0,optimize,sustained_grasp,0.020187,0.014577,0.180000,0.220000,0.220000,0,0,0,0,0.515929,0.000000
67,0,0,0,0,optimize,uniform_motion,0.038463,0.012629,0.180000,0.220000,0.220000,0,0,0,0,0.483352,0.000000
68,0,0,0,0,optimize,uniform_motion,0.051859,0.006755,0.180000,0.220000,0.220000,0,0,0,0,0.451762,0.000000
69,0,0,0,0,optimize,free_motion,0.063922,0.003613,0.180000,0.220000,0.220000,0,0,0,0,0.410754,0.000000
70,0,1,0,0,optimize,high_speed,0.361780,0.067926,0.300000,0.420000,0.340000,0,0,1,0,0.118191,0.000000
71,0,1,0,0,optimize,high_speed,0.307995,0.070448,0.300000,0.420000,0.340000,0,0,1,0,0.147093,0.000000
72,0,0,0,0,optimize,uniform_motion,0.041829,0.069302,0.180000,0.220000,0.220000,0,0,0,0,0.146347,0.000000
73,0,0,0,0,optimize,free_motion,0.108946,0.033259,0.180000,0.220000,0.220000,0,0,0,0,0.058455,0.000000
74,0,0,0,0,optimize,low_speed,0.028254,0.031307,0.100000,0.120000,0.120000,0,0,0,0,0.048848,0.000000
75,0,0,0,0,optimize,low_speed,0.020965,0.029863,0.100000,0.120000,0.120000,0,0,0,0,0.013472,0.000000
76,0,0,0,0,optimize,low_speed,0.029636,0.029071,0.100000,0.120000,0.120000,0,0,0,0,0.011534,0.000000
77,0,0,0,0,optimize,low_speed,0.026883,0.028289,0.100000,0.120000,0.120000,0,0,0,0,0.016236,0.000000
78,0,0,0,0,optimize,low_speed,0.026397,0.027562,0.100000,0.120000,0.120000,0,0,0,0,0.017690,0.000000
79,0,0,0,0,optimize,low_speed,0.026726,0.026917,0.100000,0.120000,0.120000,0,0,0,0,0.017830,0.000000
80,0,0,0,0,optimize,uniform_motion,0.030809,0.026049,0.180000,0.220000,0.220000,0,0,0,0,0.016192,0.000000
81,0,0,0,0,optimize,uniform_motion,0.036298,0.024621,0.180000,0.220000,0.220000,0,0,0,0,0.027025,0.000000
82,0,0,0,0,optimize,uniform_motion,0.031924,0.009925,0.180000,0.220000,0.220000,0,0,0,0,0.047166,0.000000
83,0,0,0,0,optimize,uniform_motion,0.033842,0.004957,0.180000,0.220000,0.220000,0,0,0,0,0.075486,0.000000
84,0,0,0,0,optimize,uniform_motion,0.037065,0.002249,0.180000,0.220000,0.220000,0,0,0,0,0.110931,0.000000
85,0,0,0,0,optimize,uniform_motion,0.037517,0.002503,0.180000,0.220000,0.220000,0,0,0,0,0.146890,0.000000
86,0,0,0,0,optimize,free_motion,0.094890,0.019923,0.180000,0.220000,0.220000,0,0,0,0,0.238981,0.000000
87,0,0,0,0,optimize,low_speed,0.020409,0.021959,0.100000,0.120000,0.120000,0,0,0,0,0.240969,0.000000
88,0,0,0,0,optimize,uniform_motion,0.031618,0.025100,0.180000,0.220000,0.220000,0,0,0,0,0.234712,0.000000
89,0,0,0,0,optimize,free_motion,0.101792,0.027819,0.180000,0.220000,0.220000,0,0,0,0,0.155621,0.000000
90,0,0,0,0,optimize,free_motion,0.128212,0.124392,0.180000,0.220000,0.220000,0,0,0,0,0.145720,0.000000
91,0,1,0,0,optimize,free_motion,0.182782,0.125579,0.180000,0.220000,0.220000,0,0,0,0,0.133992,0.000000
92,0,1,0,0,optimize,high_speed,0.454253,0.125798,0.300000,0.420000,0.340000,0,0,1,0,0.282543,0.000000
93,0,0,0,0,optimize,free_motion,0.174973,0.123798,0.180000,0.220000,0.220000,0,0,0,0,0.361633,0.000000
94,0,0,0,0,optimize,sustained_grasp,0.069688,0.060107,0.180000,0.220000,0.220000,0,0,0,0,0.386564,0.000000
95,0,0,0,0,optimize,uniform_motion,0.039516,0.056260,0.180000,0.220000,0.220000,0,0,0,0,0.365381,0.000000
96,0,0,0,0,optimize,uniform_motion,0.030299,0.053888,0.180000,0.220000,0.220000,0,0,0,0,0.311878,0.000000
97,0,0,0,0,optimize,uniform_motion,0.041984,0.003429,0.180000,0.220000,0.220000,0,0,0,0,0.277647,0.000000
98,0,0,0,0,optimize,free_motion,0.063108,0.010241,0.180000,0.220000,0.220000,0,0,0,0,0.225811,0.000000
99,0,0,0,0,optimize,uniform_motion,0.049449,0.041298,0.180000,0.220000,0.220000,0,0,0,0,0.218883,0.000000
100,0,1,0,0,optimize,free_motion,0.203753,0.050656,0.180000,0.220000,0.220000,0,1,0,0,0.084431,0.000000
101,0,1,0,0,optimize,high_speed,0.271401,0.230039,0.300000,0.420000,0.340000,1,0,0,0,0.010691,0.000000
102,1,1,0,1,optimize,free_motion,0.235906,0.231358,0.180000,0.220000,0.220000,1,0,0,0,0.069845,0.000000
103,0,1,0,0,optimize,high_speed,0.365847,0.231719,0.300000,0.420000,0.340000,1,0,1,0,0.189684,0.000000
104,0,1,0,0,optimize,high_speed,0.325525,0.230258,0.300000,0.420000,0.340000,1,1,1,0,0.302042,0.000000
105,0,0,0,0,optimize,free_motion,0.065916,0.001962,0.180000,0.220000,0.220000,0,0,0,0,0.358993,0.000000
106,0,0,0,0,optimize,static_hold,0.003276,0.002816,0.100000,0.120000,0.120000,0,0,0,0,0.363405,0.000000
107,0,0,0,0,optimize,static_hold,0.003994,0.003252,0.100000,0.120000,0.120000,0,0,0,0,0.363625,0.000000
108,0,0,0,0,optimize,static_hold,0.011986,0.003582,0.100000,0.120000,0.120000,0,0,0,0,0.358033,0.000000
109,0,0,0,0,optimize,uniform_motion,0.051631,0.004244,0.180000,0.220000,0.220000,0,0,0,0,0.310273,0.000000
110,0,1,0,0,optimize,free_motion,0.218530,0.005839,0.180000,0.220000,0.220000,0,0,0,0,0.149081,0.000000
111,0,0,0,0,optimize,free_motion,0.110533,0.086410,0.180000,0.220000,0.220000,0,0,0,0,0.081412,0.000000
112,0,0,0,0,optimize,free_motion,0.084664,0.087570,0.180000,0.220000,0.220000,0,0,0,0,0.064406,0.000000
113,0,1,0,0,optimize,free_motion,0.205034,0.087688,0.180000,0.220000,0.220000,0,0,0,0,0.088692,0.000000
114,0,1,0,0,optimize,high_speed,0.417434,0.085935,0.300000,0.420000,0.340000,0,0,1,0,0.399788,0.000000
115,0,1,0,0,optimize,sustained_grasp,0.228862,0.041104,0.180000,0.220000,0.220000,0,0,0,0,0.588898,0.000000
116,0,0,0,0,optimize,sustained_grasp,0.018606,0.023782,0.180000,0.220000,0.220000,0,0,0,0,0.556421,0.000000
117,0,0,0,0,optimize,uniform_motion,0.046499,0.022469,0.180000,0.220000,0.220000,0,0,0,0,0.511843,0.000000
118,0,0,0,0,optimize,uniform_motion,0.046192,0.020798,0.180000,0.220000,0.220000,0,0,0,1,0.471592,0.000000
119,0,1,0,0,optimize,high_speed,0.441047,0.013260,0.300000,0.420000,0.340000,0,0,1,0,0.059638,0.000000
120,0,0,0,0,optimize,free_motion,0.081940,0.011495,0.180000,0.220000,0.220000,0,0,0,0,0.079789,0.000000
121,0,0,0,0,optimize,low_speed,0.028114,0.011111,0.100000,0.120000,0.120000,0,0,0,0,0.093564,0.000000
122,0,0,0,0,optimize,uniform_motion,0.060980,0.011199,0.180000,0.220000,0.220000,0,0,0,0,0.164356,0.000000
123,0,0,0,0,optimize,low_speed,0.014036,0.011447,0.100000,0.120000,0.120000,0,0,0,0,0.188041,0.000000
124,0,0,0,0,optimize,low_speed,0.026678,0.011856,0.100000,0.120000,0.120000,0,0,0,0,0.225972,0.000000
125,0,0,0,0,optimize,low_speed,0.012989,0.012259,0.100000,0.120000,0.120000,0,0,0,0,0.234293,0.000000
126,0,0,0,0,optimize,low_speed,0.020106,0.012739,0.100000,0.120000,0.120000,0,0,0,0,0.242449,0.000000
127,0,0,0,0,optimize,uniform_motion,0.043633,0.013514,0.180000,0.220000,0.220000,0,0,0,0,0.225706,0.000000
128,0,0,0,0,optimize,free_motion,0.077426,0.014794,0.180000,0.220000,0.220000,0,0,0,0,0.187046,0.000000
129,0,1,0,0,optimize,high_speed,0.256664,0.066669,0.300000,0.420000,0.340000,0,0,0,0,0.126161,0.000000
130,0,1,0,0,optimize,high_speed,0.418946,0.069687,0.300000,0.420000,0.340000,0,0,1,0,0.406571,0.000000
131,0,0,0,0,optimize,sustained_grasp,0.076962,0.069201,0.180000,0.220000,0.220000,0,0,0,0,0.431781,0.000000
132,0,0,0,0,optimize,sustained_grasp,0.021976,0.068424,0.180000,0.220000,0.220000,0,0,0,0,0.371674,0.000000
133,0,0,0,0,optimize,uniform_motion,0.057950,0.067521,0.180000,0.220000,0.220000,0,0,0,0,0.287944,0.000000
134,0,0,0,1,optimize,free_motion,0.069794,0.065878,0.180000,0.220000,0.220000,0,1,0,0,0.202895,0.000000
135,1,1,0,0,optimize,high_speed,0.240053,0.318160,0.300000,0.420000,0.340000,1,0,0,0,0.237983,0.000000
