frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
141,5.833333,right,left,651.956,221.273,228.183848,228.183848,1.000000,0.099964,none,0,0
142,5.875000,right,left,660.240,217.676,227.501814,227.501814,1.000000,0.149947,none,0,0
143,5.916667,right,left,668.689,220.959,221.924496,221.924496,1.000000,0.218722,none,0,0
144,5.958333,right,left,676.897,229.410,216.800723,216.800723,0.972098,0.291629,proposal,0,0
145,6.000000,right,left,684.019,244.489,206.538355,206.538355,1.000000,0.218722,none,0,0
146,6.041667,right,left,692.686,266.906,191.287482,191.287482,0.504190,0.145815,none,0,0
147,6.083333,right,left,699.964,297.228,165.287678,165.287678,0.499822,0.149947,none,0,0
148,6.125000,right,left,708.224,338.244,129.056892,129.056892,0.666429,0.199929,none,0,0
149,6.166667,right,left,716.559,340.039,106.578590,106.578590,0.721895,0.216569,none,0,0
150,6.208333,right,bottom,733.269,347.732,86.319834,86.319834,0.962527,0.288764,proposal,0,0
151,6.250000,right,bottom,748.113,320.361,84.083573,84.083573,0.814104,0.244241,none,0,0
152,6.291667,right,left,761.163,280.066,93.341825,93.341825,0.610578,0.183174,none,0,0
153,6.333333,right,left,779.992,254.228,113.301146,113.301146,0.734807,0.220442,none,0,0
154,6.375000,right,left,796.868,234.658,139.108611,139.108611,0.551106,0.165332,none,0,0
155,6.416667,right,left,810.525,221.364,166.187762,166.187762,0.477999,0.143400,none,0,0
156,6.458333,right,left,823.240,213.332,194.692545,194.692545,0.716998,0.215099,none,0,0
157,6.500000,right,left,834.918,208.714,223.140413,223.140413,0.955998,0.286799,proposal,0,0
158,6.541667,right,left,841.471,205.856,246.437970,246.437970,0.716998,0.215099,none,0,0
159,6.583333,right,left,832.964,193.430,257.589271,257.589271,0.477999,0.143400,none,0,0
160,6.625000,right,left,822.982,184.426,267.170135,267.170135,0.546108,0.163832,none,0,0
161,6.666667,right,left,814.812,179.990,279.728957,279.728957,0.728144,0.218443,none,0,0
162,6.708333,right,left,805.759,178.880,292.650166,292.650166,0.546108,0.163832,none,0,0
163,6.750000,right,left,796.559,182.151,307.393837,307.393837,0.364072,0.109222,none,0,0
164,6.791667,right,left,788.183,189.375,323.817021,323.817021,0.000000,0.000000,none,0,0
165,6.833333,right,left,779.537,199.637,337.280357,337.280357,0.000000,0.000000,none,0,0
166,6.875000,right,left,770.848,214.074,349.037342,349.037342,0.000000,0.000000,none,0,0
167,6.916667,right,left,763.449,232.259,358.753367,358.753367,0.000000,0.000000,none,0,0
168,6.958333,right,left,754.469,254.610,363.369006,363.369006,0.000000,0.000000,none,0,0
169,7.000000,right,left,746.354,280.982,361.606422,361.606422,0.000000,0.000000,none,0,0
170,7.041667,right,left,738.073,312.223,354.136377,354.136377,0.000000,0.000000,none,0,0
171,7.083333,right,left,731.209,347.685,343.440157,343.440157,0.000000,0.000000,none,0,0
172,7.125000,right,left,724.669,387.167,329.074971,329.074971,0.000000,0.000000,none,0,0
173,7.166667,right,left,715.977,431.952,311.430255,311.430255,0.294179,0.088254,none,0,0
174,7.208333,right,left,708.233,488.017,299.748377,299.748377,0.441269,0.132381,none,0,0
175,7.250000,right,left,701.318,546.880,298.393385,298.393385,0.588359,0.176508,none,0,0
176,7.291667,right,top,702.140,595.616,311.174577,311.174577,1.000000,0.167195,none,0,0
177,7.333333,right,top,696.429,642.521,326.644133,326.644133,1.000000,0.225000,none,0,0
178,7.375000,right,top,697.802,595.243,290.601486,290.601486,1.000000,0.300000,proposal,0,0
179,7.416667,right,top,700.787,546.340,257.154022,257.154022,0.750000,0.225000,none,0,0
180,7.458333,right,left,690.217,517.925,226.308928,226.308928,0.557316,0.167195,none,0,0
181,7.500000,right,left,691.500,481.230,205.061870,205.061870,0.743088,0.222926,none,0,0
182,7.541667,right,left,693.558,449.571,190.867579,190.867579,0.557316,0.167195,none,0,0
183,7.583333,right,left,694.259,424.732,182.192827,182.192827,0.371544,0.111463,none,0,0
184,7.625000,right,left,695.506,407.055,180.988416,180.988416,0.107299,0.000000,none,0,0
