frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
62,2.541667,0.301716,0.090515,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,210.295693,210.295693,0.025336,0.000000,floor,gvhmr_floor,-576.147627,0.750000,left,688.423,294.542,478.278,302.491
63,2.583333,0.357522,0.107257,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,214.694168,214.694168,0.025594,0.000000,floor,gvhmr_floor,-558.030862,0.750000,left,676.291,324.167,461.618,327.177
64,2.625000,0.536283,0.160885,0.109173,0,0,0,0,0,none,hand,right_hand,right,hand,217.984100,217.984100,0.043055,0.000000,floor,gvhmr_floor,-535.706826,0.750000,left,665.069,356.441,447.144,351.384
65,2.666667,1.000000,0.219689,0.443931,0,0,0,0,0,proposal,hand,right_hand,right,hand,216.524165,216.524165,0.022027,1.000000,floor,gvhmr_floor,-509.556601,0.750000,left,653.519,390.983,437.397,377.792
66,2.708333,0.976397,0.292919,0.480959,0,0,0,0,0,soft,hand,right_hand,right,hand,212.884629,212.884629,0.012444,0.915865,floor,gvhmr_floor,-490.087444,0.750000,left,645.107,394.789,432.224,395.585
67,2.750000,0.732298,0.219689,0.231413,0,0,0,0,0,none,hand,right_hand,right,hand,205.165500,205.165500,0.012117,0.000000,floor,gvhmr_floor,-484.303734,0.750000,left,638.391,369.252,436.368,405.021
68,2.791667,0.536283,0.160885,0.033123,0,0,0,0,0,none,hand,right_hand,right,hand,193.296007,193.296007,0.007376,0.000000,floor,gvhmr_floor,-486.488536,0.750000,left,632.413,348.138,447.664,404.982
69,2.833333,0.715045,0.214513,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,173.037334,173.037334,0.015323,0.000000,floor,gvhmr_floor,-492.898898,0.750000,left,626.783,332.019,467.006,398.452
70,2.875000,0.536283,0.160885,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,148.133897,148.133897,0.014206,0.000000,floor,gvhmr_floor,-500.600352,0.750000,left,619.050,321.347,488.257,390.895
71,2.916667,0.357522,0.107257,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,124.322891,124.322891,0.029951,0.000000,floor,gvhmr_floor,-507.516569,0.750000,left,610.398,316.146,507.318,385.649
72,2.958333,0.482933,0.144880,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,103.028980,103.028980,0.041401,0.000000,floor,gvhmr_floor,-512.285321,0.750000,left,601.134,316.348,523.643,384.246
73,3.000000,0.724399,0.217328,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,84.765552,84.765552,0.015450,0.000000,floor,gvhmr_floor,-514.401548,0.750000,left,591.157,320.121,536.849,385.204
74,3.041667,0.965865,0.289767,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,85.134512,85.134512,0.006667,0.165232,floor,gvhmr_floor,-516.124107,0.750000,right,601.813,326.938,543.820,389.265
75,3.083333,0.724399,0.217322,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,89.921823,89.921823,0.050615,0.324913,floor,gvhmr_floor,-517.920597,0.750000,right,601.097,324.973,546.078,396.099
76,3.125000,0.482933,0.144880,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,106.498497,106.498497,0.021607,0.000000,floor,gvhmr_floor,-521.946541,0.750000,bottom,600.315,316.590,542.174,405.817
77,3.166667,0.596109,0.178833,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,141.764303,141.764303,0.004507,0.000000,floor,gvhmr_floor,-530.145502,0.750000,bottom,616.466,298.610,536.188,415.454
78,3.208333,0.447081,0.134124,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,168.199015,168.199015,0.009039,0.016810,floor,gvhmr_floor,-538.570374,0.750000,bottom,630.204,289.729,529.207,424.230
79,3.250000,0.298054,0.089416,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,187.611248,187.611248,0.021356,0.013601,floor,gvhmr_floor,-545.089985,0.750000,bottom,643.470,287.640,526.427,434.265
80,3.291667,0.028544,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,195.981072,195.981072,0.006663,0.028544,floor,gvhmr_floor,-548.214612,0.750000,bottom,657.364,292.486,529.985,441.426
81,3.333333,0.028428,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,188.280577,188.280577,0.003522,0.028428,floor,gvhmr_floor,-547.036152,0.750000,left,658.674,294.204,542.509,442.377
82,3.375000,0.332142,0.099642,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,162.234677,162.234677,-0.068218,0.007113,floor,gvhmr_floor,-540.183929,0.750000,left,671.692,313.753,565.616,436.505
83,3.416667,0.498212,0.149464,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,125.851654,125.851654,0.224398,0.204695,floor,gvhmr_floor,-527.122373,0.750000,left,684.527,340.738,591.164,425.130
84,3.458333,1.000000,0.218935,0.279616,0,0,0,0,0,proposal,hand,right_hand,right,hand,85.842532,85.842532,-0.966140,1.000000,floor,gvhmr_floor,-508.712884,0.750000,left,697.941,371.902,616.433,398.834
85,3.500000,0.973016,0.291905,0.031329,0,0,0,0,0,proposal,hand,right_hand,right,hand,94.817858,94.817858,-0.126518,0.797865,floor,gvhmr_floor,-503.631342,0.750000,left,721.562,346.940,628.799,366.574
86,3.541667,0.729762,0.218929,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,126.180171,126.180171,0.067722,0.000000,floor,gvhmr_floor,-511.826162,0.750000,left,750.130,307.393,626.026,330.188
87,3.583333,0.486508,0.145952,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,161.605413,161.605413,0.014722,0.223162,floor,gvhmr_floor,-526.795337,0.750000,left,774.218,277.403,613.462,293.954
88,3.625000,0.480021,0.144006,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,198.460082,198.460082,-0.015569,0.276566,floor,gvhmr_floor,-543.713559,0.750000,left,792.624,255.952,594.416,265.960
89,3.666667,0.720032,0.216010,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,232.944421,232.944421,-0.031101,0.422956,floor,gvhmr_floor,-559.586514,0.750000,left,807.984,241.885,575.063,245.211
90,3.708333,0.960043,0.288013,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,242.177323,242.177323,-0.014192,0.027095,floor,gvhmr_floor,-573.479783,0.750000,left,800.841,232.612,558.666,233.725
91,3.750000,0.720032,0.216010,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,250.591690,250.591690,0.000555,0.000000,floor,gvhmr_floor,-584.871571,0.750000,left,792.672,227.352,542.093,229.892
92,3.791667,0.498212,0.149464,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,257.857370,257.857370,0.007223,0.000000,floor,gvhmr_floor,-592.947823,0.750000,left,784.976,227.032,527.173,232.307
93,3.833333,0.664283,0.199285,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,264.218463,264.218463,-0.000487,0.000000,floor,gvhmr_floor,-597.470799,0.750000,left,778.436,230.775,514.459,242.080
94,3.875000,0.498212,0.149464,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,272.100056,272.100056,0.021083,0.000000,floor,gvhmr_floor,-597.937482,0.750000,left,773.517,239.824,501.971,257.182
95,3.916667,0.332142,0.099642,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,279.325781,279.325781,0.027467,0.000000,floor,gvhmr_floor,-594.317360,0.750000,left,767.749,253.211,489.532,278.079
96,3.958333,0.339425,0.101828,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,283.597901,283.597901,0.001822,0.000000,floor,gvhmr_floor,-586.367075,0.750000,left,762.313,271.077,480.189,299.951
97,4.000000,0.509138,0.152741,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,285.984668,285.984668,0.029128,0.000000,floor,gvhmr_floor,-574.383376,0.750000,left,757.622,292.408,473.352,323.677
98,4.041667,0.728399,0.218520,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,284.240365,284.240365,0.018657,0.661639,floor,gvhmr_floor,-558.225986,0.750000,left,753.215,318.600,470.248,345.471
