frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
96,3.958333,278.787,260.236,846.603,846.603,-586.367075,586.367075,0.000000,0.339425,none,0,0
97,4.000000,300.182,272.220,846.603,846.603,-574.383376,574.383376,0.000000,0.509138,none,0,0
98,4.041667,326.078,288.377,846.603,846.603,-558.225986,558.225986,0.000000,0.728399,none,0,0
99,4.083333,317.863,297.223,846.603,846.603,-549.380313,549.380313,0.000000,0.971199,none,0,0
100,4.125000,306.111,299.889,846.603,846.603,-546.713942,546.713942,0.000000,0.728399,none,0,0
101,4.166667,297.919,299.298,846.603,846.603,-547.305082,547.305082,0.000000,0.509138,none,0,0
102,4.208333,295.924,298.286,846.603,846.603,-548.317381,548.317381,0.000000,0.678851,none,0,0
103,4.250000,298.818,298.446,846.603,846.603,-548.157789,548.157789,0.000000,0.614396,none,0,0
104,4.291667,308.391,301.429,846.603,846.603,-545.174176,545.174176,0.000000,0.460797,none,0,0
105,4.333333,325.014,308.505,846.603,846.603,-538.098746,538.098746,0.000000,0.307198,none,0,0
106,4.375000,350.003,320.954,846.603,846.603,-525.649245,525.649245,0.000000,0.160828,none,0,0
107,4.416667,384.641,340.060,846.603,846.603,-506.543194,506.543194,0.315832,0.483912,proposal,0,0
108,4.458333,428.372,366.554,846.603,846.603,-480.049659,480.049659,0.733168,0.725869,strong,0,0
109,4.500000,481.789,401.124,846.603,846.603,-445.479084,445.479084,1.000000,1.000000,strong,0,0
110,4.541667,520.295,436.876,846.603,846.603,-409.727882,409.727882,1.000000,1.000000,strong,1,1
111,4.583333,476.416,448.738,846.603,846.603,-397.865740,397.865740,1.000000,0.691246,strong,0,0
112,4.625000,434.578,444.490,846.603,846.603,-402.113641,402.113641,0.792393,0.520022,strong,0,0
113,4.666667,401.822,431.689,846.603,846.603,-414.913972,414.913972,0.479795,0.693362,soft,0,0
114,4.708333,373.766,414.312,846.603,846.603,-432.291003,432.291003,0.212049,0.520022,none,0,0
115,4.750000,354.412,396.342,846.603,846.603,-450.261125,450.261125,0.027350,0.346681,none,0,0
116,4.791667,338.512,378.993,846.603,846.603,-467.610211,467.610211,0.000000,0.504640,none,0,0
117,4.833333,329.874,364.257,846.603,846.603,-482.345970,482.345970,0.000000,0.716942,none,0,0
118,4.875000,309.184,347.735,846.603,846.603,-498.868002,498.868002,0.000000,0.955923,none,0,0
119,4.916667,284.524,328.772,846.603,846.603,-517.831424,517.831424,0.000000,0.716942,none,0,0
120,4.958333,267.142,310.283,846.603,846.603,-536.320420,536.320420,0.000000,0.504640,none,0,0
121,5.000000,256.548,294.162,846.603,846.603,-552.440917,552.440917,0.000000,0.672853,none,0,0
122,5.041667,252.509,281.666,846.603,846.603,-564.936965,564.936965,0.000000,0.504640,none,0,0
123,5.083333,252.437,272.898,846.603,846.603,-573.705798,573.705798,0.000000,0.504753,none,0,0
124,5.125000,257.086,268.154,846.603,846.603,-578.449282,578.449282,0.000000,0.723441,none,0,0
125,5.166667,257.292,264.895,846.603,846.603,-581.707920,581.707920,0.000000,0.964589,none,0,0
126,5.208333,250.365,260.536,846.603,846.603,-586.067067,586.067067,0.000000,0.723441,none,0,0
127,5.250000,249.015,257.080,846.603,846.603,-589.523470,589.523470,0.000000,0.482294,none,0,0
128,5.291667,252.090,255.583,846.603,846.603,-591.020452,591.020452,0.000000,0.504753,none,0,0
129,5.333333,259.613,256.792,846.603,846.603,-589.811439,589.811439,0.000000,0.673004,none,0,0
130,5.375000,271.332,261.154,846.603,846.603,-585.449430,585.449430,0.000000,0.504753,none,0,0
131,5.416667,287.328,269.006,846.603,846.603,-577.597224,577.597224,0.000000,0.336502,none,0,0
132,5.458333,308.717,280.919,846.603,846.603,-565.683980,565.683980,0.000000,0.330234,none,0,0
133,5.500000,332.058,296.261,846.603,846.603,-550.342409,550.342409,0.000000,0.495350,none,0,0
134,5.541667,362.835,316.233,846.603,846.603,-530.370209,530.370209,0.107732,1.000000,none,0,0
135,5.583333,360.002,329.364,846.603,846.603,-517.239569,517.239569,0.080696,1.000000,none,0,0
136,5.625000,324.468,327.895,846.603,846.603,-518.708321,518.708321,0.000000,0.730495,none,0,0
137,5.666667,294.909,317.999,846.603,846.603,-528.604148,528.604148,0.000000,0.495350,none,0,0
138,5.708333,272.120,304.235,846.603,846.603,-542.367927,542.367927,0.000000,0.780576,none,0,0
139,5.750000,251.725,288.482,846.603,846.603,-558.121072,558.121072,0.000000,0.938386,none,0,0
140,5.791667,236.255,272.814,846.603,846.603,-573.789273,573.789273,0.000000,0.683094,none,0,0
141,5.833333,227.725,259.287,846.603,846.603,-587.316014,587.316014,0.000000,1.000000,none,0,0
142,5.875000,224.566,248.871,846.603,846.603,-597.732433,597.732433,0.000000,1.000000,none,0,0
143,5.916667,227.790,242.547,846.603,846.603,-604.056726,604.056726,0.000000,1.000000,none,0,0
144,5.958333,236.541,240.745,846.603,846.603,-605.858431,605.858431,0.000000,0.972098,none,0,0
145,6.000000,251.859,244.079,846.603,846.603,-602.524225,602.524225,0.000000,1.000000,none,0,0
146,6.041667,274.628,253.244,846.603,846.603,-593.359580,593.359580,0.000000,0.504190,none,0,0
147,6.083333,306.384,269.186,846.603,846.603,-577.417529,577.417529,0.000000,0.499822,none,0,0
148,6.125000,346.419,292.356,846.603,846.603,-554.247593,554.247593,0.000000,0.666429,none,0,0
149,6.166667,347.567,308.919,846.603,846.603,-537.684238,537.684238,0.000000,0.721895,none,0,0
150,6.208333,346.833,320.293,846.603,846.603,-526.310090,526.310090,0.000000,0.962527,none,0,0
151,6.250000,319.356,320.012,846.603,846.603,-526.591286,526.591286,0.000000,0.814104,none,0,0
152,6.291667,288.635,310.599,846.603,846.603,-536.004423,536.004423,0.000000,0.610578,none,0,0
153,6.333333,262.545,296.183,846.603,846.603,-550.420619,550.420619,0.000000,0.734807,none,0,0
154,6.375000,242.371,280.039,846.603,846.603,-566.564156,566.564156,0.000000,0.551106,none,0,0
155,6.416667,228.640,264.619,846.603,846.603,-581.983932,581.983932,0.000000,0.477999,none,0,0
156,6.458333,220.379,251.347,846.603,846.603,-595.256076,595.256076,0.000000,0.716998,none,0,0
157,6.500000,215.628,240.632,846.603,846.603,-605.971876,605.971876,0.000000,0.955998,none,0,0
158,6.541667,213.123,232.379,846.603,846.603,-614.224436,614.224436,0.000000,0.716998,none,0,0
159,6.583333,200.571,222.837,846.603,846.603,-623.766828,623.766828,0.000000,0.477999,none,0,0
160,6.625000,191.466,213.425,846.603,846.603,-633.178003,633.178003,0.000000,0.546108,none,0,0
161,6.666667,187.246,205.572,846.603,846.603,-641.031825,641.031825,0.000000,0.728144,none,0,0
162,6.708333,185.983,199.695,846.603,846.603,-646.908400,646.908400,0.000000,0.546108,none,0,0
163,6.750000,189.250,196.562,846.603,846.603,-650.041903,650.041903,0.000000,0.364072,none,0,0
164,6.791667,196.537,196.554,846.603,846.603,-650.049255,650.049255,0.000000,0.000000,none,0,0
165,6.833333,206.679,199.592,846.603,846.603,-647.011802,647.011802,0.000000,0.000000,none,0,0
166,6.875000,221.441,206.146,846.603,846.603,-640.456984,640.456984,0.000000,0.000000,none,0,0
167,6.916667,239.562,216.171,846.603,846.603,-630.432312,630.432312,0.000000,0.000000,none,0,0
168,6.958333,261.152,229.665,846.603,846.603,-616.938041,616.938041,0.000000,0.000000,none,0,0
169,7.000000,289.410,247.589,846.603,846.603,-599.014652,599.014652,0.000000,0.000000,none,0,0
170,7.041667,320.342,269.415,846.603,846.603,-577.188679,577.188679,0.000000,0.000000,none,0,0
171,7.083333,355.808,295.333,846.603,846.603,-551.270698,551.270698,0.040672,0.000000,none,0,0
172,7.125000,395.100,325.263,846.603,846.603,-521.340512,521.340512,0.415645,0.000000,proposal,0,0
173,7.166667,440.116,359.719,846.603,846.603,-486.884581,486.884581,0.845244,0.294179,strong,0,0
174,7.208333,496.888,400.870,846.603,846.603,-445.733830,445.733830,1.000000,0.441269,strong,0,0
175,7.250000,559.617,448.494,846.603,846.603,-398.109604,398.109604,1.000000,0.588359,strong,0,0
176,7.291667,621.984,500.541,846.603,846.603,-346.062546,346.062546,1.000000,1.000000,strong,0,0
177,7.333333,677.538,553.640,846.603,846.603,-292.963405,292.963405,1.000000,1.000000,strong,1,1
178,7.375000,619.743,573.471,846.603,846.603,-273.132506,273.132506,1.000000,1.000000,strong,0,0
179,7.416667,572.574,573.202,846.603,846.603,-273.401577,273.401577,1.000000,0.750000,strong,0,0
180,7.458333,526.709,559.254,846.603,846.603,-287.349427,287.349427,1.000000,0.557316,strong,0,0
181,7.500000,489.538,538.339,846.603,846.603,-308.264222,308.264222,1.000000,0.743088,strong,0,0
182,7.541667,458.097,514.267,846.603,846.603,-332.336878,332.336878,1.000000,0.557316,strong,0,0
183,7.583333,432.690,489.794,846.603,846.603,-356.809838,356.809838,0.774376,0.371544,strong,0,0
184,7.625000,414.530,467.215,846.603,846.603,-379.388909,379.388909,0.601070,0.107299,soft,0,0
185,7.666667,405.447,448.684,846.603,846.603,-397.919160,397.919160,0.514389,0.152570,soft,0,0
186,7.708333,405.385,435.694,846.603,846.603,-410.908935,410.908935,0.513797,0.192981,soft,0,0
187,7.750000,416.659,429.984,846.603,846.603,-416.619577,416.619577,0.621388,0.263231,soft,0,0
188,7.791667,437.349,432.193,846.603,846.603,-414.410027,414.410027,0.818838,0.364821,strong,0,0
189,7.833333,471.815,444.080,846.603,846.603,-402.523542,402.523542,1.000000,0.486515,strong,0,0
190,7.875000,520.306,466.948,846.603,846.603,-379.655702,379.655702,1.000000,0.729772,strong,0,0
191,7.916667,583.478,501.907,846.603,846.603,-344.696614,344.696614,1.000000,0.973030,strong,0,0
192,7.958333,652.301,547.025,846.603,846.603,-299.578353,299.578353,1.000000,1.000000,strong,1,1
193,8.000000,635.113,573.451,846.603,846.603,-273.151970,273.151970,1.000000,1.000000,strong,0,0
194,8.041667,577.372,574.628,846.603,846.603,-271.975802,271.975802,1.000000,0.533377,strong,0,0
195,8.083333,517.990,557.636,846.603,846.603,-288.967084,288.967084,1.000000,0.711169,strong,0,0
196,8.125000,473.025,532.253,846.603,846.603,-314.350482,314.350482,1.000000,0.533377,strong,0,0
197,8.166667,435.637,503.268,846.603,846.603,-343.335260,343.335260,0.802500,0.355585,strong,0,0
198,8.208333,405.298,473.877,846.603,846.603,-372.726305,372.726305,0.512967,0.507323,soft,0,0
199,8.250000,381.846,446.268,846.603,846.603,-400.335637,400.335637,0.289159,0.728827,proposal,0,0
200,8.291667,349.718,417.303,846.603,846.603,-429.300569,429.300569,0.000000,0.971769,none,0,0
201,8.333333,312.480,385.856,846.603,846.603,-460.747421,460.747421,0.000000,0.728827,none,0,0
202,8.375000,279.725,354.017,846.603,846.603,-492.586718,492.586718,0.000000,0.507323,none,0,0
203,8.416667,257.112,324.945,846.603,846.603,-521.658125,521.658125,0.000000,0.676430,none,0,0
204,8.458333,243.253,300.438,846.603,846.603,-546.165811,546.165811,0.000000,0.507323,none,0,0
205,8.500000,235.387,280.922,846.603,846.603,-565.680990,565.680990,0.000000,0.347561,none,0,0
206,8.541667,233.542,266.708,846.603,846.603,-579.895116,579.895116,0.000000,0.521342,none,0,0
207,8.583333,236.475,257.638,846.603,846.603,-588.965104,588.965104,0.000000,0.731370,none,0,0
208,8.625000,240.886,252.613,846.603,846.603,-593.990796,593.990796,0.000000,0.975159,none,0,0
209,8.666667,235.550,247.494,846.603,846.603,-599.109580,599.109580,0.000000,0.731370,none,0,0
210,8.708333,234.826,243.693,846.603,846.603,-602.909929,602.909929,0.000000,0.521342,none,0,0
211,8.750000,239.858,242.543,846.603,846.603,-604.060573,604.060573,0.000000,0.695122,none,0,0
212,8.791667,251.352,245.186,846.603,846.603,-601.417824,601.417824,0.000000,0.521342,none,0,0
213,8.833333,268.126,252.068,846.603,846.603,-594.535700,594.535700,0.000000,0.347561,none,0,0
214,8.875000,292.338,264.149,846.603,846.603,-582.454613,582.454613,0.000000,0.006696,none,0,0
215,8.916667,322.379,281.618,846.603,846.603,-564.985552,564.985552,0.000000,0.012556,none,0,0
216,8.958333,358.784,304.768,846.603,846.603,-541.835709,541.835709,0.069073,0.300514,none,0,0
217,9.000000,404.060,334.555,846.603,846.603,-512.048019,512.048019,0.501153,0.488146,soft,0,0
218,9.041667,454.845,370.642,846.603,846.603,-475.961137,475.961137,0.985806,0.732218,strong,0,0
219,9.083333,517.220,414.616,846.603,846.603,-431.987819,431.987819,1.000000,0.976291,strong,0,0
220,9.125000,569.891,461.198,846.603,846.603,-385.405196,385.405196,1.000000,1.000000,strong,1,1
221,9.166667,541.232,485.208,846.603,846.603,-361.395060,361.395060,1.000000,1.000000,strong,0,0
222,9.208333,506.511,491.599,846.603,846.603,-355.004265,355.004265,1.000000,0.692004,strong,0,0
223,9.250000,477.296,487.308,846.603,846.603,-359.295208,359.295208,1.000000,0.523140,strong,0,0
224,9.291667,457.745,478.439,846.603,846.603,-368.164169,368.164169,1.000000,1.000000,strong,0,0
225,9.333333,448.645,469.501,846.603,846.603,-377.102441,377.102441,0.926638,0.000000,strong,0,0
226,9.375000,449.985,463.646,846.603,846.603,-382.957232,382.957232,0.939426,1.000000,strong,0,0
227,9.416667,458.991,462.250,846.603,846.603,-384.353785,384.353785,1.000000,0.720327,strong,0,0
228,9.458333,476.523,466.532,846.603,846.603,-380.071773,380.071773,1.000000,0.960436,strong,0,0
229,9.500000,503.133,477.512,846.603,846.603,-369.091364,369.091364,1.000000,1.000000,strong,1,1
230,9.541667,456.083,471.083,846.603,846.603,-375.520078,375.520078,0.997621,0.568295,strong,0,0
231,9.583333,423.197,456.717,846.603,846.603,-389.885977,389.885977,0.683782,0.757727,soft,0,0
232,9.625000,398.922,439.379,846.603,846.603,-407.224607,407.224607,0.452119,0.715978,soft,0,0
233,9.666667,372.578,419.339,846.603,846.603,-427.264848,427.264848,0.200712,0.954638,none,0,0
234,9.708333,336.907,394.609,846.603,846.603,-451.994316,451.994316,0.000000,0.715978,none,0,0
235,9.750000,303.608,367.309,846.603,846.603,-479.294644,479.294644,0.000000,0.493805,none,0,0
236,9.791667,280.305,341.208,846.603,846.603,-505.395774,505.395774,0.000000,0.658406,none,0,0
237,9.833333,262.854,317.702,846.603,846.603,-528.901865,528.901865,0.000000,0.493805,none,0,0
238,9.875000,256.169,299.242,846.603,846.603,-547.361628,547.361628,0.000000,0.728980,none,0,0
239,9.916667,251.531,284.929,846.603,846.603,-561.674863,561.674863,0.000000,0.971973,none,0,0
240,9.958333,242.067,272.070,846.603,846.603,-574.533327,574.533327,0.000000,0.728980,none,0,0
