frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
136,5.625000,2.309648,3.777011,0.653250,2.268234,5901,0.881556,mask
137,5.666667,2.279285,3.755185,0.655026,2.262195,5714,0.884592,mask
138,5.708333,2.276831,3.758245,0.624896,2.335463,5375,0.817339,mask
139,5.750000,2.291281,3.779652,0.556491,2.504575,6375,0.893470,mask
140,5.791667,2.270713,3.791959,0.448765,2.772943,6303,0.890169,mask
141,5.833333,2.366064,3.852560,0.319611,3.096340,6088,0.855402,mask
142,5.875000,2.366701,3.870371,0.199954,3.397140,6321,0.793910,mask
143,5.916667,2.370645,3.884189,0.113738,3.614557,6442,0.749038,mask
144,5.958333,2.338502,3.889801,0.065346,3.736988,6440,0.747636,mask
145,6.000000,2.152690,3.886098,0.044339,3.790650,5985,0.746211,mask
146,6.041667,2.192906,3.891149,0.037567,3.808768,5958,0.838639,mask
147,6.083333,2.293490,3.896225,0.036365,3.812822,5863,0.809662,mask
148,6.125000,2.345389,3.898161,0.036818,3.811809,6050,0.871365,mask
149,6.166667,2.396105,3.898427,0.037458,3.808673,5946,0.834669,mask
150,6.208333,2.252197,3.889828,0.037671,3.804986,5990,0.749028,mask
151,6.250000,2.208310,3.884422,0.037213,3.802244,5758,0.891454,mask
152,6.291667,2.229482,3.882095,0.036247,3.801284,6026,0.785329,mask
153,6.333333,2.305398,3.883078,0.035291,3.801718,6032,0.784448,mask
154,6.375000,2.347875,3.884300,0.034985,3.802161,5996,0.736712,mask
155,6.416667,2.380334,3.886252,0.035745,3.801166,6328,0.725763,mask
156,6.458333,2.352311,3.886456,0.037516,3.798206,6207,0.738325,mask
157,6.500000,2.274054,3.884421,0.039729,3.794074,6311,0.766913,mask
158,6.541667,2.273863,3.884875,0.041474,3.790568,5975,0.857594,mask
159,6.583333,2.345748,3.887733,0.041878,3.789498,6790,0.772881,mask
160,6.625000,2.320151,3.885677,0.040713,3.791216,6371,0.900215,mask
