frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
155,756.568,598.808,756.568,598.808,0.000000,0.000051,0.000051
156,755.352,591.199,755.352,591.199,0.000007,0.000026,0.000027
157,754.315,589.790,754.315,589.790,0.000011,-0.000037,0.000039
158,753.606,589.922,753.606,589.922,-0.000003,0.000016,0.000017
159,751.829,595.874,751.829,595.874,-0.000008,-0.000036,0.000037
160,749.534,607.548,749.534,607.548,0.000038,0.000109,0.000116
161,750.674,633.529,750.674,633.529,-0.000002,-0.000113,0.000113
162,751.018,654.664,751.018,654.664,-0.000032,0.000135,0.000139
163,748.146,679.530,748.146,679.530,0.000057,-0.000320,0.000325
164,749.181,682.052,749.181,682.052,-0.000017,0.000289,0.000289
165,748.423,715.327,748.423,715.327,-0.000046,0.000248,0.000252
166,745.924,751.210,745.924,759.003,0.000117,7.793415,7.793415
167,754.774,729.139,754.774,729.139,-0.000039,0.000179,0.000183
168,760.438,699.424,760.438,699.424,-0.000069,0.000300,0.000308
169,759.869,697.172,759.869,697.172,0.000106,-0.000300,0.000318
170,769.046,672.944,769.046,672.944,-0.000009,0.000088,0.000088
171,778.949,651.506,778.949,651.506,-0.000014,-0.000040,0.000042
172,784.414,634.461,784.414,634.461,-0.000038,0.000112,0.000118
173,785.408,632.492,785.408,632.492,0.000090,-0.000096,0.000131
174,792.965,627.293,792.965,627.293,-0.000052,-0.000009,0.000052
175,797.064,623.894,797.064,623.894,0.000048,-0.000437,0.000440
176,802.222,628.819,802.222,628.821,-0.000046,0.002154,0.002154
177,802.294,630.595,802.294,758.185,0.000055,127.590182,127.590182
178,804.180,582.952,804.180,582.955,-0.000031,0.002744,0.002744
179,802.523,580.622,802.523,580.621,0.000033,-0.001048,0.001049
180,801.308,534.414,801.308,534.414,-0.000039,0.000166,0.000170
181,797.713,492.265,797.713,492.265,0.000072,0.000046,0.000086
182,800.545,460.251,800.545,460.251,-0.000021,-0.000094,0.000097
183,801.964,433.316,801.964,433.316,-0.000011,0.000264,0.000265
184,801.104,431.168,801.104,431.168,0.000029,-0.000290,0.000291
185,801.718,407.630,801.718,407.630,-0.000006,0.000117,0.000117
186,801.909,391.285,801.909,391.285,0.000022,0.000003,0.000023
187,803.110,382.486,803.110,382.486,-0.000009,0.000067,0.000067
188,802.856,382.435,802.856,382.435,0.000018,-0.000081,0.000082
189,802.779,377.221,802.779,377.221,0.000015,0.000014,0.000020
190,801.911,375.271,801.911,375.271,-0.000037,0.000045,0.000058
191,797.452,383.394,797.452,383.394,0.000061,0.000012,0.000062
192,798.039,398.964,798.039,398.964,-0.000010,0.000080,0.000081
193,798.754,418.180,798.754,418.180,0.000009,-0.000156,0.000157
194,799.366,418.489,799.366,418.489,-0.000005,-0.000022,0.000023
195,799.324,418.737,799.324,418.737,0.000040,0.000192,0.000196
196,801.486,445.011,801.486,445.011,-0.000023,-0.000079,0.000082
197,800.500,475.917,800.500,475.917,0.000010,0.000160,0.000160
198,799.070,511.418,799.070,511.418,0.000022,-0.000447,0.000447
199,799.458,511.446,799.458,511.446,0.000001,0.000414,0.000414
200,800.494,550.610,800.494,550.610,0.000033,-0.000120,0.000125
201,802.959,598.128,802.959,598.128,-0.000034,0.000237,0.000240
202,801.366,653.906,801.366,653.905,0.000029,-0.000680,0.000681
203,801.108,656.231,801.108,656.232,0.000033,0.000608,0.000609
204,802.345,716.156,802.345,716.156,-0.000048,0.000240,0.000245
205,798.974,787.071,798.975,787.068,0.001272,-0.003393,0.003624
206,799.446,851.837,799.442,757.982,-0.003583,-93.854914,93.854914
207,795.254,835.365,795.264,835.342,0.009954,-0.023417,0.025445
208,790.518,811.945,790.515,811.955,-0.002941,0.009618,0.010058
209,789.276,810.296,789.276,810.294,-0.000417,-0.001807,0.001854
210,783.525,794.014,783.525,794.014,0.000158,0.000413,0.000442
211,777.987,782.366,777.987,782.366,-0.000070,0.000419,0.000425
212,772.487,781.925,772.487,781.925,0.000004,0.000142,0.000142
213,768.855,786.784,768.855,786.783,0.000336,-0.000799,0.000867
214,768.695,787.088,768.695,787.088,-0.000315,0.000444,0.000544
215,763.735,796.499,763.735,796.499,-0.000240,0.000305,0.000388
216,754.862,815.727,754.862,815.728,0.000241,0.000530,0.000582
217,749.694,836.900,749.694,836.898,0.000241,-0.001581,0.001599
218,748.831,837.478,748.831,837.479,-0.000245,0.001138,0.001164
219,746.055,841.202,746.055,839.596,-0.000053,-1.605692,1.605692
220,741.512,834.237,741.512,834.237,0.000075,-0.000074,0.000105
221,736.294,828.672,736.294,828.672,0.000034,0.000253,0.000256
222,731.797,829.019,731.797,829.019,-0.000124,0.000463,0.000480
223,727.538,835.803,727.538,835.802,0.000296,-0.000828,0.000879
224,726.803,836.245,726.803,836.246,-0.000160,0.000656,0.000675
225,724.901,840.270,724.901,840.270,0.000112,-0.000196,0.000226
226,721.923,834.859,721.923,839.004,-0.000292,4.144951,4.144951
227,716.513,826.975,716.513,826.976,0.000193,0.000841,0.000863
228,712.378,824.370,712.378,824.370,0.000142,-0.000260,0.000296
229,710.676,824.004,710.676,824.004,-0.000170,0.000246,0.000299
230,707.797,826.982,707.797,826.982,0.000101,-0.000248,0.000267
231,704.931,827.456,704.931,827.456,-0.000189,-0.000043,0.000193
232,700.418,826.578,700.418,826.578,0.000262,0.000117,0.000287
233,697.936,826.718,697.936,826.718,-0.000208,-0.000011,0.000208
234,693.762,826.932,693.762,826.932,0.000078,-0.000062,0.000099
235,690.052,826.591,690.052,826.591,-0.000006,0.000071,0.000071
236,686.759,826.815,686.759,826.815,0.000009,-0.000083,0.000083
237,684.009,826.715,684.009,826.715,-0.000034,0.000103,0.000109
238,681.671,827.746,681.671,827.746,0.000134,-0.000098,0.000166
239,680.592,828.435,680.592,828.435,-0.000175,0.000093,0.000198
240,677.822,830.083,677.822,830.083,0.000100,-0.000032,0.000105
241,675.379,831.352,675.379,831.352,-0.000402,0.000002,0.000402
242,672.428,831.805,672.428,831.805,0.000373,-0.000018,0.000374
