frame,time,ball_center_x,ball_center_y,radius,mask_area,source
166,6.875000,531.000,567.757,44.503,4506.5,sam2_mask_circle
167,6.916667,530.000,567.445,44.390,4511.0,sam2_mask_circle
168,6.958333,530.500,567.367,44.647,4536.0,sam2_mask_circle
169,7.000000,530.500,567.432,44.587,4487.0,sam2_mask_circle
170,7.041667,530.608,567.528,44.074,4393.5,sam2_mask_circle
171,7.083333,530.549,567.464,44.578,4490.0,sam2_mask_circle
172,7.125000,530.416,567.378,44.602,4507.5,sam2_mask_circle
173,7.166667,530.146,567.235,44.135,4400.0,sam2_mask_circle
174,7.208333,530.603,567.267,43.873,4374.5,sam2_mask_circle
175,7.250000,530.500,567.281,43.816,4360.5,sam2_mask_circle
176,7.291667,530.500,567.281,43.816,4360.5,sam2_mask_circle
177,7.333333,531.000,567.507,44.314,4462.5,sam2_mask_circle
178,7.375000,530.545,567.218,44.396,4469.0,sam2_mask_circle
179,7.416667,530.549,567.424,44.548,4459.0,sam2_mask_circle
180,7.458333,531.000,567.507,44.314,4465.5,sam2_mask_circle
181,7.500000,530.549,567.424,44.548,4466.0,sam2_mask_circle
182,7.541667,530.549,567.424,44.548,4475.0,sam2_mask_circle
183,7.583333,530.416,567.378,44.602,4518.5,sam2_mask_circle
184,7.625000,530.549,567.424,44.548,4486.0,sam2_mask_circle
185,7.666667,530.549,567.424,44.548,4485.0,sam2_mask_circle
186,7.708333,530.416,567.378,44.602,4513.5,sam2_mask_circle
187,7.750000,530.500,567.281,43.816,4381.5,sam2_mask_circle
188,7.791667,530.500,567.281,43.816,4376.5,sam2_mask_circle
189,7.833333,530.055,567.228,44.068,4373.0,sam2_mask_circle
190,7.875000,530.545,567.218,44.396,4465.0,sam2_mask_circle
191,7.916667,530.500,567.281,43.816,4373.5,sam2_mask_circle
192,7.958333,530.545,567.218,44.396,4465.0,sam2_mask_circle
