frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
98,4.041667,711.776,208.820,1.000000,669.849,210.654,1.000000,749.899,207.218,1.000000,711.187,169.138,1.000000,713.501,249.723,1.000000
99,4.083333,707.055,213.204,1.000000,665.158,214.884,1.000000,749.636,207.912,1.000000,706.394,172.812,1.000000,711.993,251.340,0.000000
100,4.125000,702.272,217.958,1.000000,660.458,219.804,1.000000,749.561,209.271,1.000000,701.317,176.486,1.000000,709.712,253.523,0.000000
101,4.166667,695.863,224.137,1.000000,654.365,225.593,1.000000,749.779,211.380,1.000000,694.990,181.526,1.000000,707.923,255.360,0.000000
102,4.208333,689.835,230.360,1.000000,648.548,231.829,1.000000,749.766,212.822,1.000000,688.768,187.083,1.000000,705.518,256.360,0.000000
103,4.250000,682.168,237.343,1.000000,641.421,239.286,1.000000,749.860,213.731,1.000000,682.012,193.947,1.000000,706.880,255.794,1.000000
104,4.291667,673.412,245.956,1.000000,633.676,248.416,1.000000,750.720,214.193,1.000000,673.498,202.517,1.000000,707.128,256.534,1.000000
105,4.333333,664.596,257.042,1.000000,625.761,259.712,1.000000,751.387,214.366,1.000000,664.207,213.572,1.000000,706.928,258.094,1.000000
106,4.375000,655.502,270.717,1.000000,616.827,273.118,1.000000,752.545,214.378,1.000000,655.565,226.670,1.000000,706.907,258.847,1.000000
107,4.416667,646.812,285.470,1.000000,609.219,287.544,1.000000,752.979,214.434,1.000000,646.046,241.942,1.000000,708.532,258.142,1.000000
108,4.458333,637.289,301.939,1.000000,600.930,302.671,0.000000,753.690,213.981,1.000000,636.275,257.299,1.000000,707.258,259.254,1.000000
109,4.500000,627.743,319.915,1.000000,592.339,319.026,0.000000,754.081,213.688,1.000000,626.264,275.173,1.000000,707.295,259.534,1.000000
110,4.541667,617.814,339.152,1.000000,583.369,337.987,0.000000,754.286,213.505,1.000000,616.834,293.536,1.000000,707.358,259.281,1.000000
111,4.583333,607.999,359.664,1.000000,573.871,356.193,0.000000,754.131,213.333,1.000000,605.830,314.699,1.000000,707.711,259.226,1.000000
112,4.625000,598.183,381.576,1.000000,564.939,375.850,0.000000,753.962,213.208,1.000000,596.595,336.423,1.000000,707.081,259.212,1.000000
113,4.666667,588.877,402.737,1.000000,556.948,395.816,0.000000,753.829,212.927,1.000000,586.678,357.485,1.000000,706.655,259.209,1.000000
114,4.708333,579.549,424.345,1.000000,550.552,416.129,0.000000,753.697,212.710,1.000000,577.110,378.239,1.000000,706.131,259.745,1.000000
115,4.750000,571.235,444.678,1.000000,544.896,435.487,0.000000,753.719,212.615,1.000000,568.357,398.820,1.000000,705.995,260.157,1.000000
116,4.791667,564.788,463.833,1.000000,542.117,452.076,0.000000,753.521,212.355,1.000000,561.955,418.514,1.000000,705.675,260.396,1.000000
117,4.833333,557.253,480.270,1.000000,538.254,466.839,0.000000,753.361,212.289,1.000000,553.955,435.772,1.000000,704.935,261.055,1.000000
118,4.875000,552.499,496.290,1.000000,536.167,480.030,0.000000,753.184,212.224,1.000000,548.389,452.418,1.000000,704.278,261.507,0.000000
119,4.916667,548.116,509.967,1.000000,533.940,490.876,0.000000,752.891,212.268,1.000000,544.398,465.568,1.000000,703.615,262.017,1.000000
120,4.958333,544.599,521.424,1.000000,532.689,500.731,0.000000,752.527,212.371,1.000000,540.791,478.493,1.000000,702.705,262.685,1.000000
121,5.000000,541.680,532.669,1.000000,529.773,510.237,0.000000,752.391,212.361,1.000000,537.147,488.982,1.000000,701.903,263.325,1.000000
122,5.041667,539.605,541.199,1.000000,529.093,518.191,0.000000,752.364,212.519,1.000000,535.433,498.353,1.000000,701.320,264.001,1.000000
123,5.083333,538.183,547.075,1.000000,528.167,523.194,0.000000,752.499,212.354,1.000000,534.081,504.247,1.000000,700.963,264.300,1.000000
