frame,time,ball_center_y,ball_radius_px,ball_bottom_v,floor_v,left_support_v,right_support_v,floor_gap_px,floor_score,is_local_peak,is_bounce_turn,is_candidate,floor_contact_state
161,6.666667,600.024,45.301,645.325,671.087,,,25.761999999999944,0.03621060598682928,0,0,0,0
162,6.708333,553.623,46.684,600.307,671.087,,,70.77999999999997,1.3223282688995059e-11,0,0,0,0
163,6.75,514.387,49.412,563.799,671.087,,,107.28800000000001,1.0111139105424685e-25,0,0,0,0
164,6.791667,487.27,47.419,534.689,671.087,,,136.39800000000002,3.9905010232517545e-41,0,0,0,0
165,6.833333,467.168,46.489,513.657,671.087,,,157.42999999999995,1.5197874988225345e-54,0,0,0,0
166,6.875,451.795,46.214,498.009,671.087,,,173.07799999999997,8.940984602304789e-66,0,0,0,0
167,6.916667,442.279,46.34,488.619,671.087,,,182.46799999999996,5.0321970024658735e-73,0,0,0,0
168,6.958333,438.071,46.305,484.37600000000003,671.087,,,186.71099999999996,1.9966673437130892e-76,0,0,0,0
169,7.0,440.33,46.658,486.988,671.087,,,184.099,2.532198446382738e-74,0,0,0,0
170,7.041667,460.114,47.085,507.19899999999996,671.087,,,163.88800000000003,4.740477014664267e-59,0,0,0,0
171,7.083333,494.921,48.554,543.475,671.087,,,127.61199999999997,4.344673568364566e-36,0,0,0,0
172,7.125,550.273,47.785,598.058,671.087,,,73.029,2.624385860925543e-12,0,0,0,0
173,7.166667,613.616,46.131,659.747,671.087,,,11.340000000000032,0.5257244830271904,1,1,1,1
174,7.208333,603.0,45.804,648.804,671.087,,,22.283000000000015,0.0835207274496566,0,0,0,0
175,7.25,555.979,45.984,601.9630000000001,671.087,,,69.12399999999991,4.211416883335434e-11,0,0,0,0
176,7.291667,519.02,48.559,567.579,671.087,,,103.50800000000004,5.4331110749503665e-24,0,0,0,0
177,7.333333,481.947,49.584,531.531,671.087,,,139.55600000000004,5.112933544961108e-43,0,0,0,0
178,7.375,461.834,47.709,509.543,671.087,,,161.54399999999998,2.1490601792901152e-57,0,0,0,0
179,7.416667,446.535,47.751,494.286,671.087,,,176.801,1.3268640733882522e-68,0,0,0,0
180,7.458333,439.568,46.803,486.371,671.087,,,184.716,8.116334975251576e-75,0,0,0,0
181,7.5,439.406,46.742,486.148,671.087,,,184.93899999999996,5.374757031517866e-75,0,0,0,0
182,7.541667,446.46,48.602,495.06199999999995,671.087,,,176.02500000000003,5.2162731897851955e-68,0,0,0,0
183,7.583333,466.021,46.773,512.794,671.087,,,158.293,3.891562973755653e-55,0,0,0,0
184,7.625,498.418,49.509,547.927,671.087,,,123.15999999999997,1.1541683817113554e-33,0,0,0,0
185,7.666667,543.866,54.028,597.894,671.087,,,73.19299999999998,2.327849478852528e-12,0,0,0,0
186,7.708333,614.693,46.689,661.382,671.087,,,9.705000000000041,0.624418086220766,1,1,1,1
187,7.75,612.386,45.398,657.784,671.087,,,13.302999999999997,0.4127764792496577,0,0,0,1
188,7.791667,564.432,47.308,611.74,671.087,,,59.34699999999998,2.2486919665150024e-08,0,0,0,0
189,7.833333,527.486,46.624,574.11,671.087,,,96.97699999999998,3.787076342733303e-21,0,0,0,0
190,7.875,501.315,45.635,546.95,671.087,,,124.13699999999994,3.448430902781889e-34,0,0,0,0
191,7.916667,478.924,47.144,526.068,671.087,,,145.019,2.151924316408818e-46,0,0,0,0
192,7.958333,465.269,46.508,511.777,671.087,,,159.31,7.739868576418162e-56,0,0,0,0
