frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
72,2.366667,-0.574434,-0.637718,5.926991,1.000000,0.000000,0.000000,0.000000,0.108633,shared_fullimg_cam,746.498,302.977,40.376,7.118411,0.099879,L1_L2ground_size
73,2.400000,-0.569418,-0.592636,5.921057,1.000000,0.000000,0.000000,0.000000,0.113201,shared_fullimg_cam,748.150,319.512,42.116,7.142648,0.110645,L1_L2ground_size
74,2.433333,-0.568071,-0.589511,5.919821,1.000000,0.000000,0.000000,0.000000,0.109969,shared_fullimg_cam,748.607,320.629,40.922,7.120896,0.108728,L1_L2ground_size
75,2.466667,-0.565025,-0.543859,5.921633,1.000000,0.000000,0.000000,0.000000,0.110293,shared_fullimg_cam,749.805,337.679,41.030,7.083023,0.114693,L1_L2ground_size
76,2.500000,-0.563499,-0.482368,5.925459,1.000000,0.000000,0.000000,0.000000,0.110383,shared_fullimg_cam,750.508,360.670,41.037,7.034362,0.109787,L1_L2ground_size
77,2.533333,-0.564109,-0.402174,5.930233,1.000000,0.000000,0.000000,0.000000,0.110962,shared_fullimg_cam,750.450,390.604,41.219,6.931160,0.110875,L1_L2ground_size
78,2.566667,-0.558038,-0.320554,5.934582,1.000000,0.000000,0.000000,0.000000,0.109284,shared_fullimg_cam,752.857,421.011,40.566,6.860301,0.123864,L1_L2ground_size
79,2.600000,-0.557690,-0.316485,5.935570,1.000000,0.000000,0.000000,0.000000,0.109208,shared_fullimg_cam,753.021,422.541,40.531,6.736554,0.123554,L1_L2ground_size
80,2.633333,-0.559578,-0.219819,5.932365,1.000000,0.000000,0.000000,0.000000,0.109030,shared_fullimg_cam,752.208,458.373,40.487,6.623654,0.116852,L1_L2ground_size
81,2.666667,-0.565178,-0.118333,5.926335,1.000000,0.000000,0.000000,0.000000,0.112194,shared_fullimg_cam,749.915,496.014,41.704,6.564280,0.127163,L1_L2ground_size
82,2.700000,-0.564939,0.003191,5.921319,1.000000,0.000000,0.000000,0.000000,0.110585,shared_fullimg_cam,749.826,541.187,41.141,6.522939,0.136660,L1_L2ground_size
83,2.733333,-0.564168,0.008944,5.917044,1.000000,0.000000,0.000000,0.000000,0.111593,shared_fullimg_cam,749.961,543.330,41.546,6.496785,0.157590,L1_L2ground_size
84,2.766667,-0.563031,0.140834,5.912434,1.000000,0.000000,0.000000,0.000000,0.108739,shared_fullimg_cam,750.221,592.473,40.515,6.454800,0.188392,L1_L2ground_size
85,2.800000,-0.561674,0.286407,5.903641,1.000000,0.000000,0.000000,0.000000,0.112179,shared_fullimg_cam,750.415,646.871,41.859,6.330028,0.236379,L1_L2ground_size
