frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
78,3.208333,572.908,72.661,,3.676248,3.676248,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
79,3.250000,576.082,74.612,,3.702089,3.702089,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
80,3.291667,581.657,72.426,,3.727930,3.727930,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
81,3.333333,585.078,64.901,,3.753771,3.753771,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
82,3.375000,586.970,59.794,,3.779611,3.779611,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
83,3.416667,587.935,53.421,,3.805452,3.805452,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
84,3.458333,587.943,45.309,,3.831293,3.831293,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
85,3.500000,583.725,38.123,,3.857134,3.857134,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
86,3.541667,581.049,6.109,14.593,3.882975,3.857134,1.000000,observed_mask_median,da3_metric_sam2_mask_median
87,3.583333,583.484,14.374,24.260,3.900391,3.857134,1.000000,observed_mask_median,da3_metric_sam2_mask_median
88,3.625000,585.692,25.185,31.920,3.916116,3.857134,1.000000,observed_mask_median,da3_metric_sam2_mask_median
89,3.666667,586.291,42.819,34.984,3.785382,3.785382,1.000000,observed_mask_median,da3_metric_sam2_mask_median
90,3.708333,587.206,67.284,35.598,3.688747,3.688747,1.000000,observed_mask_median,da3_metric_sam2_mask_median
91,3.750000,587.796,93.803,35.705,3.534122,3.534122,1.000000,observed_mask_median,da3_metric_sam2_mask_median
92,3.791667,589.238,120.973,34.545,3.102925,3.102925,1.000000,observed_mask_median,da3_metric_sam2_mask_median
93,3.833333,592.120,144.297,33.086,2.946720,2.946720,1.000000,observed_mask_median,da3_metric_sam2_mask_median
94,3.875000,591.323,155.725,33.057,2.846722,2.884150,1.000000,observed_mask_median,da3_metric_sam2_mask_median
95,3.916667,588.195,146.555,33.263,2.884150,2.846722,1.000000,observed_mask_median,da3_metric_sam2_mask_median
96,3.958333,584.441,129.997,33.340,2.806537,2.846722,1.000000,observed_mask_median,da3_metric_sam2_mask_median
97,4.000000,580.787,108.896,32.970,2.776945,2.846722,1.000000,observed_mask_median,da3_metric_sam2_mask_median
98,4.041667,573.475,85.133,33.715,2.788121,2.884150,1.000000,observed_mask_median,da3_metric_sam2_mask_median
99,4.083333,570.282,60.756,34.160,2.887276,2.887276,1.000000,observed_mask_median,da3_metric_sam2_mask_median
100,4.125000,569.233,37.978,34.591,3.072590,3.072590,1.000000,observed_mask_median,da3_metric_sam2_mask_median
101,4.166667,569.168,23.251,31.082,3.324748,3.324748,1.000000,observed_mask_median,da3_metric_sam2_mask_median
102,4.208333,569.003,15.197,25.545,3.545498,3.545498,1.000000,observed_mask_median,da3_metric_sam2_mask_median
103,4.250000,568.652,9.694,19.364,4.323339,3.897457,1.000000,observed_mask_median,da3_metric_sam2_mask_median
104,4.291667,569.555,6.182,14.384,3.897457,4.209100,1.000000,observed_mask_median,da3_metric_sam2_mask_median
105,4.333333,569.192,4.852,12.270,4.247950,4.247634,1.000000,observed_mask_median,da3_metric_sam2_mask_median
106,4.375000,569.444,4.996,12.616,4.209100,4.247950,1.000000,observed_mask_median,da3_metric_sam2_mask_median
107,4.416667,570.068,6.630,15.191,4.247634,4.247634,1.000000,observed_mask_median,da3_metric_sam2_mask_median
108,4.458333,569.631,10.454,20.122,4.270690,4.247634,1.000000,observed_mask_median,da3_metric_sam2_mask_median
109,4.500000,569.731,15.786,25.965,4.383708,4.209100,1.000000,observed_mask_median,da3_metric_sam2_mask_median
