frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale
11,0.4166666666666667,0.011040650,0.000933746,4.006600988,-0.05146298707931285,-2.9486119607809136,-0.07986818894218567,-4.57611014374067,-0.019492000820015055,-1.1168093812524025,1.081902889306729
12,0.4583333333333333,0.011088552,0.002055210,4.002286508,-0.05362900652162628,-3.072715733168753,-0.07850678030298122,-4.498107174521606,-0.018951004031658124,-1.085812548549418,1.0771333598899497
13,0.5,0.010882639,0.002040973,3.998093446,-0.05576605656957989,-3.1951596815247254,-0.07859025563307684,-4.502889958629547,-0.0186898624632022,-1.070850238821467,1.0751555564204478
14,0.5416666666666666,0.010366486,0.000812859,3.994008102,-0.057800019836341754,-3.3116971923948215,-0.08070721802313126,-4.624182968967593,-0.018470289551671695,-1.0582696376953695,1.0752233756012215
15,0.5833333333333334,0.009492931,-0.001684423,3.990144191,-0.05976470544536161,-3.4242653858617493,-0.08459038895134117,-4.846672274281919,-0.01842012950735137,-1.0553956788556258,1.0785300994772336
16,0.625,0.008243629,-0.005439241,3.986563649,-0.061636488505604436,-3.531510655377745,-0.08805525132697024,-5.045194264999137,-0.017703673995536285,-1.0143458018197362,1.0819556400405363
17,0.6666666666666666,0.006591071,-0.010505500,3.983229617,-0.06364512483515439,-3.6465970396376055,-0.09081719938803377,-5.203442232132418,-0.01729376194423723,-0.9908595713087502,1.0878219699403147
18,0.7083333333333334,0.004508874,-0.016969675,3.980105670,-0.06593455186963171,-3.777771546216308,-0.09244801540261077,-5.296881106930026,-0.01710186331623728,-0.9798645898300021,1.0964453492106387
19,0.75,0.001969366,-0.024928018,3.977039344,-0.06863757055174924,-3.9326431086466567,-0.09100727309679593,-5.214332653440889,-0.01714129231379736,-0.9821237049806262,1.1066795797450968
20,0.7916666666666666,-0.001045629,-0.034440712,3.974016304,-0.07178200426459735,-4.112805889351505,-0.0863706514896136,-4.948673804150176,-0.017595793480898323,-1.0081647036392816,1.1189044341854932
21,0.8333333333333334,-0.004564322,-0.045566511,3.970866440,-0.07512521871731392,-4.304357967499304,-0.07996414139761003,-4.581607814470403,-0.017985884896214905,-1.0305152953612067,1.135087054671789
22,0.875,-0.008605427,-0.058303971,3.967253541,-0.07872020175940797,-4.510335323232394,-0.07046366295390767,-4.037270496291241,-0.01827181107321261,-1.0468976585554857,1.1507936624922706
23,0.9166666666666666,-0.013189520,-0.072611008,3.962963077,-0.08269126379343428,-4.737860417966738,-0.05970439582705235,-3.420809899268584,-0.019220298472947466,-1.101241983481631,1.169928121434504
24,0.9583333333333334,-0.018335625,-0.088401844,3.957517618,-0.0868170078332513,-4.974248138799507,-0.04847257139529623,-2.777273763097034,-0.019545719741803063,-1.1198872487508487,1.1857384856723676
25,1.0,-0.024068637,-0.105554999,3.950463362,-0.09101332246699512,-5.214679256822014,-0.040389727822709214,-2.3141609399233536,-0.019769923310422814,-1.1327331669845322,1.2015742496273734
26,1.0416666666666667,-0.030436306,-0.123940132,3.941371643,-0.09547150116759084,-5.470114080681267,-0.03411253734465803,-1.9545044183313132,-0.020264065874651817,-1.1610454503926262,1.2125109999073944
27,1.0833333333333333,-0.037518700,-0.143432598,3.929917075,-0.10026230558833804,-5.744606954462698,-0.02923611120380016,-1.6751057813528898,-0.020927761807136538,-1.1990724262040002,1.221426662236917
28,1.125,-0.045432218,-0.163904505,3.916062974,-0.10499765261094263,-6.015922353387781,-0.025653552920708252,-1.469840311872089,-0.020956848051218536,-1.2007389452317863,1.224768679928366
29,1.1666666666666667,-0.054308491,-0.185210574,3.900138366,-0.10971488337125113,-6.2861997669427465,-0.02407255273629188,-1.379255673895626,-0.021340745271228746,-1.2227346357051765,1.222483417908589
30,1.2083333333333333,-0.064263605,-0.207185860,3.882681423,-0.11441248135739457,-6.555352305397921,-0.026308360195939993,-1.507358005137329,-0.0215940951242458,-1.2372505130233133,1.2157509811230687
31,1.25,-0.075396009,-0.229654576,3.864222914,-0.11910713436864917,-6.824336109221193,-0.03087837562897962,-1.7692006017601511,-0.02124862018495968,-1.2174562570746803,1.203104003508671
32,1.2916666666666667,-0.087744608,-0.252405014,3.845235664,-0.12392781734828251,-7.100540898324733,-0.03615935235220455,-2.0717782797077664,-0.020729837015296945,-1.1877321709705864,1.1873473697191754
