frame,time,u,v,radius_px,bottom_v,X_raw,Y_raw,Z_raw,X,Y,Z
89,3.666667,491.422,553.193,48.395,601.588,-0.368413,0.259343,2.856493,-0.393287,0.250212,2.905170
90,3.708333,489.000,516.500,47.846,564.346,-0.378715,0.354347,2.889270,-0.383644,0.356744,2.908126
91,3.750000,491.074,487.378,47.747,535.125,-0.374288,0.428272,2.895260,-0.374001,0.439605,2.911081
92,3.791667,488.198,461.827,48.546,510.373,-0.375237,0.484383,2.847609,-0.364358,0.498791,2.914036
93,3.833333,491.711,448.241,46.812,495.053,-0.380131,0.537152,2.953089,-0.354715,0.534304,2.916991
94,3.875000,494.398,439.968,47.409,487.377,-0.368543,0.551328,2.915902,-0.345072,0.546140,2.919946
95,3.916667,497.971,440.027,47.162,487.189,-0.361382,0.554066,2.931174,-0.335429,0.534301,2.922901
96,3.958333,499.943,449.068,50.747,499.815,-0.331189,0.493545,2.724102,-0.325786,0.498795,2.925856
97,4.000000,509.016,485.181,49.251,534.432,-0.319142,0.420547,2.806847,-0.316143,0.439605,2.928811
98,4.041667,522.503,547.582,45.926,593.508,-0.307008,0.287947,3.010060,-0.306499,0.356747,2.931766
99,4.083333,533.869,611.295,45.857,657.152,-0.277727,0.121654,3.014589,-0.296857,0.250209,2.934721
100,4.125000,541.417,607.489,45.464,652.953,-0.260205,0.132751,3.040648,-0.261936,0.120000,2.927603
101,4.166667,543.809,567.214,45.627,612.841,-0.252984,0.238201,3.029785,-0.248694,0.247783,2.928263
102,4.208333,544.500,532.500,51.464,583.964,-0.222680,0.292128,2.686150,-0.235453,0.352347,2.928924
103,4.250000,547.886,498.503,47.812,546.315,-0.231191,0.399768,2.891325,-0.222211,0.433660,2.929585
104,4.291667,556.954,473.590,46.684,520.274,-0.213468,0.473466,2.961186,-0.208969,0.491746,2.930246
105,4.333333,562.763,458.857,47.149,506.006,-0.196578,0.506294,2.931982,-0.195728,0.526598,2.930907
106,4.375000,568.197,448.577,47.074,495.651,-0.183039,0.533306,2.936653,-0.182486,0.538214,2.931567
107,4.416667,573.777,446.076,47.171,493.247,-0.168467,0.538572,2.930614,-0.169244,0.526601,2.932228
108,4.458333,579.144,451.892,47.265,499.157,-0.154506,0.522734,2.924786,-0.156003,0.491743,2.932889
109,4.500000,586.122,472.644,46.510,519.154,-0.139010,0.477678,2.972264,-0.142761,0.433660,2.933550
110,4.541667,589.557,511.550,48.138,559.688,-0.125746,0.364537,2.871744,-0.129520,0.352337,2.934211
111,4.583333,593.800,571.200,46.120,617.320,-0.120208,0.225284,2.997398,-0.116278,0.247793,2.934871
112,4.625000,599.097,624.000,47.087,671.087,-0.104240,0.120000,2.935842,-0.120097,0.120000,2.977295
113,4.666667,594.052,587.330,46.575,633.905,-0.118385,0.181524,2.968116,-0.123982,0.227676,2.974016
114,4.708333,592.098,547.198,44.775,591.973,-0.128381,0.296378,3.087437,-0.127867,0.317402,2.970737
115,4.750000,585.452,509.838,47.740,557.578,-0.137113,0.371879,2.895685,-0.131752,0.389185,2.967458
116,4.791667,583.612,481.712,46.952,528.664,-0.144117,0.450005,2.944284,-0.135637,0.443028,2.964179
117,4.833333,582.599,461.457,46.812,508.269,-0.147144,0.503273,2.953089,-0.139522,0.478910,2.960900
118,4.875000,580.438,449.076,46.150,495.226,-0.154874,0.542686,2.995450,-0.143407,0.496860,2.957620
119,4.916667,579.739,442.167,46.405,488.572,-0.155831,0.557570,2.978990,-0.147292,0.496859,2.954341
120,4.958333,580.244,440.936,46.422,487.358,-0.154468,0.560548,2.977898,-0.151177,0.478918,2.951062
121,5.000000,581.182,447.211,46.908,494.119,-0.150468,0.538688,2.947045,-0.155061,0.443024,2.947783
122,5.041667,580.675,468.898,49.009,517.907,-0.145259,0.462493,2.820707,-0.158946,0.389190,2.944504
123,5.083333,579.000,511.000,47.011,558.011,-0.155708,0.374680,2.940588,-0.162831,0.317405,2.941225
124,5.125000,576.139,570.328,45.296,615.624,-0.169183,0.231692,3.051925,-0.166716,0.227678,2.937946
125,5.166667,572.270,620.270,47.889,668.159,-0.169717,0.120000,2.886676,-0.188337,0.120000,2.909883
126,5.208333,566.252,590.610,44.323,634.933,-0.199665,0.181867,3.118922,-0.202238,0.210580,2.907036
127,5.250000,553.052,544.569,47.318,591.887,-0.220503,0.287117,2.921510,-0.216140,0.284682,2.904189
128,5.291667,548.335,501.674,51.457,553.131,-0.213767,0.364055,2.686515,-0.230041,0.342320,2.901343
129,5.333333,537.156,477.370,48.480,525.850,-0.254564,0.446569,2.851485,-0.243942,0.383491,2.898496
130,5.375000,533.415,457.539,47.394,504.933,-0.269870,0.507013,2.916825,-0.257844,0.408192,2.895649
131,5.416667,527.171,448.310,47.342,495.652,-0.285993,0.530964,2.920029,-0.271745,0.416429,2.892802
132,5.458333,521.543,449.775,47.188,496.963,-0.301238,0.528971,2.929559,-0.285646,0.408189,2.889956
