frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
124,576.139,570.328,574.629,568.509,-1.510124,-1.818975,2.364137
125,572.270,620.270,565.439,610.277,-6.831150,-9.993065,12.104791
126,566.252,590.610,559.857,574.335,-6.394859,-16.274626,17.485928
127,553.052,544.569,554.264,544.860,1.212092,0.290647,1.246452
128,548.335,501.674,548.660,521.863,0.325496,20.189276,20.191900
129,537.156,477.370,543.046,505.366,5.889861,27.996459,28.609303
130,533.415,457.539,537.420,495.390,4.004788,37.850599,38.061873
131,527.171,448.310,531.783,491.950,4.612039,43.639557,43.882592
132,521.543,449.775,526.135,495.071,4.592224,45.295890,45.528081
133,516.500,461.000,520.476,504.766,3.975834,43.766110,43.946327
134,509.706,488.059,514.806,521.060,5.099670,33.000933,33.392637
135,507.812,534.264,509.124,543.966,1.311902,9.702321,9.790614
136,508.746,600.662,503.431,573.512,-5.314705,-27.149502,27.664807
137,508.979,606.485,497.766,610.495,-11.213443,4.009945,11.908861
138,508.669,561.797,505.284,554.236,-3.385035,-7.560938,8.284096
139,513.514,515.486,512.767,509.495,-0.746503,-5.991127,6.037456
140,517.150,489.148,520.217,476.179,3.066827,-12.969043,13.326721
141,521.659,469.061,527.631,454.208,5.971935,-14.853104,16.008707
142,527.723,455.668,535.011,443.505,7.288277,-12.162710,14.179228
143,536.329,452.481,542.358,443.992,6.029120,-8.488642,10.411884
144,546.128,459.602,549.670,455.604,3.542461,-3.997997,5.341630
145,555.731,478.287,556.950,478.253,1.219120,-0.034267,1.219602
146,566.118,524.927,564.196,511.862,-1.921836,-13.064796,13.205391
147,575.555,580.774,571.409,556.357,-4.146156,-24.416815,24.766337
148,583.032,624.407,588.739,612.624,5.707494,-11.782794,13.092354
149,583.718,583.886,587.699,556.726,3.980604,-27.159993,27.450144
150,584.508,545.289,586.645,509.454,2.136657,-35.834613,35.898256
151,584.000,509.000,585.577,470.968,1.577388,-38.031972,38.064669
152,585.500,483.071,584.497,441.437,-1.003422,-41.633846,41.645936
153,584.508,462.897,583.402,421.045,-1.106050,-41.851892,41.866504
154,585.200,453.295,582.293,409.955,-2.906763,-43.340404,43.437770
155,586.809,451.201,581.170,408.347,-5.638854,-42.853599,43.222999
156,588.014,456.185,580.032,416.411,-7.981565,-39.773507,40.566455
157,587.859,472.572,578.880,434.344,-8.979203,-38.227704,39.268096
158,584.741,514.660,577.712,462.332,-7.029063,-52.328313,52.798296
159,578.000,567.000,576.529,500.577,-1.471450,-66.423401,66.439698
160,570.604,629.000,575.329,549.281,4.725301,-79.719147,79.859069
161,558.000,600.024,539.147,610.923,-18.853089,10.899174,21.776845
162,543.283,553.623,535.106,576.258,-8.177153,22.635232,24.066981
163,533.000,514.387,531.065,547.376,-1.934797,32.988961,33.045650
164,522.886,487.270,527.025,524.272,4.138908,37.001958,37.232720
165,515.496,467.168,522.985,506.948,7.488996,39.780159,40.478959
166,509.477,451.795,518.945,495.405,9.468467,43.609524,44.625580
167,505.168,442.279,514.906,489.637,9.738322,47.358106,48.348992
168,501.643,438.071,510.868,489.647,9.224950,51.576425,52.394917
169,498.009,440.330,506.830,495.429,8.820571,55.098804,55.800365
170,495.539,460.114,502.792,506.990,7.252575,46.876181,47.433913
171,496.304,494.921,498.754,524.321,2.450010,29.399628,29.501537
172,496.732,550.273,494.717,547.426,-2.015218,-2.846746,3.487846
173,501.124,613.616,490.680,576.302,-10.444064,-37.313617,38.747703
174,503.000,603.000,496.697,610.619,-6.303088,7.618968,9.888255
175,506.330,555.979,503.884,570.102,-2.445758,14.122833,14.333044
176,510.359,519.020,511.099,536.177,0.739993,17.157281,17.173232
177,516.040,481.947,518.341,508.889,2.301327,26.942195,27.040303
178,521.756,461.834,525.613,488.265,3.856591,26.430765,26.710647
179,528.007,446.535,532.912,474.356,4.904765,27.821395,28.250429
180,536.559,439.568,540.239,467.194,3.680011,27.625836,27.869864
181,545.500,439.406,547.595,466.820,2.095292,27.414219,27.494175
182,556.715,446.460,554.981,473.274,-1.734224,26.813822,26.869845
183,564.133,466.021,562.394,486.600,-1.738535,20.579084,20.652389
184,575.471,498.418,569.838,506.836,-5.633356,8.418145,10.129159
185,582.820,543.866,577.311,534.021,-5.509430,-9.844996,11.281745
186,588.129,614.693,584.812,568.193,-3.316816,-46.499679,46.617823
187,584.058,612.386,584.301,611.656,0.243167,-0.730035,0.769468
188,576.929,564.432,576.667,577.188,-0.262387,12.755961,12.758659
189,569.723,527.486,568.993,543.713,-0.730247,16.226846,16.243269
190,560.617,501.315,561.279,511.237,0.662284,9.922145,9.944223
191,552.451,478.924,553.526,479.769,1.074897,0.845393,1.367513
192,546.731,465.269,545.732,449.319,-0.998717,-15.950008,15.981245
