frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
25,0.800000,-0.932956,0.908771,6.718407,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.207,837.668,,654.207,837.668,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929435,6.694598,654.207,837.668,617.000,843.000,0.299789,0.299789,7.018495,6.718706,4.264421,6.718706,0.323897,sequence_se3_optimizer
26,0.833333,-0.932885,0.908824,6.718324,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.131,837.686,,654.131,837.686,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928665,6.692117,654.131,837.686,617.000,842.000,0.093246,0.093246,6.811952,6.718706,4.263858,6.718706,0.119835,sequence_se3_optimizer
27,0.866667,-0.932792,0.908875,6.718226,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.010,837.632,,654.010,837.632,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928655,6.683447,654.010,837.632,617.000,842.000,0.067860,0.067860,6.786566,6.718706,4.266001,6.718706,0.103118,sequence_se3_optimizer
28,0.900000,-0.932673,0.908922,6.718109,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.935,837.671,,653.935,837.671,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928815,6.676996,653.935,837.671,617.000,842.000,0.107331,0.107331,6.826037,6.718706,4.258125,6.718706,0.149041,sequence_se3_optimizer
29,0.933333,-0.932522,0.908963,6.717972,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.001,837.606,,654.001,837.606,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929168,6.678268,654.001,837.606,617.000,842.000,0.098975,0.098975,6.817681,6.718706,4.249260,6.718706,0.139413,sequence_se3_optimizer
30,0.966667,-0.932333,0.908995,6.717811,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.894,837.668,,653.894,837.668,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932065,6.666778,653.894,837.668,617.000,842.000,0.108579,0.108579,6.827285,6.718706,4.248462,6.718706,0.160507,sequence_se3_optimizer
31,1.000000,-0.932099,0.909014,6.717622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.917,837.720,,653.917,837.720,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.936827,6.658965,653.917,837.720,617.000,842.000,0.129213,0.129213,6.847919,6.718706,4.253927,6.718706,0.188954,sequence_se3_optimizer
32,1.033333,-0.931811,0.909017,6.717402,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.993,837.738,,653.993,837.738,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.941768,6.666178,653.993,837.738,618.000,850.000,0.131726,0.131726,6.850432,6.718706,4.255229,6.718706,0.184254,sequence_se3_optimizer
33,1.066667,-0.931462,0.908998,6.717147,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.000,838.000,,653.000,838.000,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.944392,6.674597,653.000,838.000,617.000,843.000,0.148562,0.148562,6.867268,6.718706,4.259661,6.718706,0.192670,sequence_se3_optimizer
34,1.100000,-0.931040,0.908952,6.716852,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.708,838.625,,652.708,838.625,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.943467,6.675766,652.708,838.625,617.000,843.000,0.143099,0.143099,6.861805,6.718706,4.261420,6.718706,0.186038,sequence_se3_optimizer
35,1.133333,-0.930535,0.908873,6.716511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.864,838.748,,652.864,838.748,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.940259,6.681797,652.864,838.748,617.000,843.000,0.133222,0.133222,6.851928,6.718706,4.267103,6.718706,0.170131,sequence_se3_optimizer
36,1.166667,-0.929935,0.908755,6.716119,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,652.936,838.445,,652.936,838.445,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.935537,6.680017,652.936,838.445,617.000,843.000,0.092147,0.092147,6.810853,6.718706,4.267674,6.718706,0.130836,sequence_se3_optimizer
37,1.200000,-0.929231,0.908594,6.715670,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.085,838.284,,653.085,838.284,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931583,6.676761,653.085,838.284,618.000,844.000,0.041779,0.041779,6.760485,6.718706,4.258700,6.718706,0.083724,sequence_se3_optimizer
38,1.233333,-0.928410,0.908383,6.715157,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.152,838.345,,653.152,838.345,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930020,6.669746,653.152,838.345,618.000,844.000,0.098543,0.098543,6.817249,6.718706,4.252335,6.718706,0.147503,sequence_se3_optimizer
39,1.266667,-0.927460,0.908116,6.714573,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.814,838.171,,653.814,838.171,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928937,6.659429,653.814,838.171,618.000,847.000,0.027629,0.027629,6.746335,6.718706,4.241258,6.718706,0.086906,sequence_se3_optimizer
40,1.300000,-0.926410,0.907804,6.713931,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.481,838.188,,653.481,838.188,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.930002,6.648218,653.481,838.188,616.000,845.000,0.017574,0.017574,6.736280,6.718706,4.225580,6.718706,0.088062,sequence_se3_optimizer
41,1.333333,-0.925276,0.907451,6.713236,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.469,838.188,,653.469,838.188,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.931678,6.635000,653.469,838.188,618.000,843.000,0.021087,0.021087,6.739793,6.718706,4.210268,6.718706,0.104793,sequence_se3_optimizer
42,1.366667,-0.924062,0.907061,6.712491,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.546,838.162,,653.546,838.162,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.935024,6.634801,653.546,838.162,618.000,846.000,0.015268,0.015268,6.733974,6.718706,4.191027,6.718706,0.099173,sequence_se3_optimizer
43,1.400000,-0.922725,0.906612,6.711665,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.704,838.100,,653.704,838.100,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,1,0,1,floor,,floor,left_foot,0.941473,6.633226,653.704,838.100,619.000,854.000,-0.006599,-0.006599,6.712107,6.718706,4.185947,6.718706,0.078881,sequence_se3_optimizer
44,1.433333,-0.921197,0.906077,6.710722,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.766,838.099,,653.766,838.099,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.948225,6.646417,653.766,838.099,619.000,854.000,-0.000058,-0.000058,6.718648,6.718706,4.175387,6.718706,0.072231,sequence_se3_optimizer
