frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
22,0.916667,1,0.386886,-0.020466,4.458172,0.332853,0.001862,4.428490,0.331815,0.027010,4.371175,0.334198,0.032072,4.380335,0.330128,0.029969,4.397317,0.334134,0.037977,4.414607,0.332131,0.045445,4.431824,1,0.290365,-0.180552,3.944407,0.324653,-0.192092,3.931980,0.359154,-0.169711,3.934365,0.347334,-0.176968,3.941041,0.350575,-0.180868,3.935575,0.343693,-0.174251,3.926709,0.341009,-0.174022,3.910908
23,0.958333,1,0.383765,-0.020277,4.447300,0.333255,0.002513,4.402845,0.351791,0.021152,4.342234,0.333401,0.037981,4.348064,0.327827,0.039201,4.364973,0.331645,0.046025,4.384334,0.328753,0.050029,4.404919,1,0.250877,-0.158898,3.932158,0.270834,-0.166826,3.910222,0.289246,-0.161916,3.894324,0.293268,-0.152526,3.901301,0.302649,-0.152419,3.903169,0.300191,-0.145304,3.900131,0.298756,-0.145878,3.892219
24,1.000000,1,0.380949,-0.028611,4.411765,0.336273,-0.000496,4.363985,0.378029,0.010138,4.305953,0.339342,0.036024,4.306084,0.331441,0.041028,4.321474,0.333970,0.046896,4.342085,0.329279,0.048105,4.364785,1,0.187044,-0.147285,3.908965,0.186210,-0.145492,3.884393,0.187007,-0.161383,3.849918,0.203831,-0.139544,3.854271,0.222891,-0.134559,3.865857,0.226952,-0.126354,3.870016,0.227655,-0.124367,3.869865
25,1.041667,1,0.377875,-0.036197,4.369967,0.337587,-0.004296,4.313991,0.397776,0.004662,4.265548,0.350268,0.027797,4.262488,0.339601,0.033549,4.275572,0.339690,0.038440,4.295407,0.332422,0.039980,4.316136,1,0.101174,-0.137212,3.898919,0.079714,-0.134961,3.863418,0.070556,-0.164127,3.817461,0.087485,-0.141869,3.816905,0.117891,-0.133705,3.836675,0.128409,-0.124442,3.845961,0.131070,-0.117661,3.849591
26,1.083333,1,0.365041,-0.043067,4.298468,0.333607,-0.009745,4.255035,0.402169,0.006386,4.221123,0.358260,0.014898,4.220952,0.344769,0.018212,4.231054,0.342015,0.022086,4.247767,0.332301,0.027321,4.260960,1,-0.005175,-0.140823,3.876223,-0.031339,-0.139170,3.858562,-0.040080,-0.169000,3.810226,-0.031635,-0.154821,3.805077,0.008382,-0.146066,3.827635,0.021888,-0.136812,3.837920,0.024721,-0.126442,3.842441
27,1.125000,1,0.341449,-0.056317,4.225962,0.321948,-0.023229,4.188985,0.391180,0.002918,4.171590,0.354992,-0.003937,4.177556,0.338674,-0.003121,4.183484,0.333348,0.000299,4.195546,0.322177,0.010041,4.197072,1,-0.119737,-0.156702,3.887562,-0.132344,-0.161105,3.877971,-0.137207,-0.182817,3.834760,-0.134192,-0.177437,3.828073,-0.088757,-0.170262,3.847143,-0.076930,-0.163508,3.853877,-0.075731,-0.153301,3.858545
28,1.166667,1,0.300182,-0.071783,4.157778,0.298186,-0.048310,4.122265,0.364830,-0.016363,4.121110,0.333567,-0.030346,4.131579,0.315532,-0.029995,4.132401,0.308544,-0.026147,4.139235,0.297743,-0.013988,4.129437,1,-0.219957,-0.191692,3.931298,-0.217374,-0.202852,3.922383,-0.221081,-0.216498,3.890542,-0.216183,-0.217758,3.885671,-0.171358,-0.212960,3.896907,-0.163303,-0.210749,3.897372,-0.163661,-0.203711,3.900825
29,1.208333,1,0.244324,-0.083095,4.091166,0.255402,-0.080814,4.065176,0.318218,-0.050468,4.078447,0.287768,-0.064405,4.089677,0.270996,-0.062849,4.085846,0.263788,-0.057467,4.087873,0.255509,-0.045197,4.071864,1,-0.300556,-0.245127,3.995311,-0.287796,-0.261999,3.985295,-0.292404,-0.278424,3.967841,-0.284529,-0.283170,3.965617,-0.246617,-0.278492,3.968652,-0.240527,-0.278931,3.963942,-0.240554,-0.274267,3.963728
30,1.250000,1,0.158708,-0.102006,4.033305,0.189278,-0.115480,4.025209,0.247080,-0.093641,4.049883,0.217230,-0.106101,4.058254,0.204860,-0.102954,4.051610,0.198565,-0.094453,4.050488,0.193650,-0.082027,4.034271,1,-0.353289,-0.314185,4.080025,-0.343014,-0.331299,4.059162,-0.348097,-0.363981,4.053978,-0.342240,-0.368209,4.052019,-0.313952,-0.359848,4.049977,-0.306778,-0.358017,4.043234,-0.305041,-0.352092,4.037880
31,1.291667,1,0.052821,-0.128906,3.995839,0.102267,-0.152167,4.004866,0.154675,-0.142395,4.035465,0.131013,-0.156023,4.039741,0.124043,-0.152033,4.033310,0.118616,-0.139412,4.031314,0.114976,-0.125520,4.018103,1,-0.376579,-0.380762,4.174294,-0.373547,-0.401606,4.139453,-0.378648,-0.450916,4.139563,-0.376911,-0.453491,4.136053,-0.357132,-0.441065,4.131826,-0.348241,-0.434616,4.125351,-0.345793,-0.425462,4.116291
32,1.333333,1,-0.062198,-0.168872,3.982276,0.002590,-0.193384,4.005472,0.051789,-0.195635,4.033045,0.041704,-0.212840,4.036856,0.038846,-0.209390,4.034238,0.032872,-0.194017,4.033270,0.025877,-0.179019,4.023634,1,-0.364112,-0.440329,4.270927,-0.371361,-0.465759,4.222048,-0.377930,-0.517753,4.215832,-0.377541,-0.521602,4.214943,-0.363918,-0.508828,4.210138,-0.355165,-0.499621,4.206121,-0.354247,-0.489007,4.197748
33,1.375000,1,-0.168040,-0.210589,3.999774,-0.099235,-0.240137,4.029174,-0.050086,-0.253007,4.044524,-0.044596,-0.271462,4.054802,-0.045250,-0.269553,4.058117,-0.053684,-0.255149,4.059213,-0.067569,-0.241686,4.053104,1,-0.339278,-0.484809,4.354814,-0.340255,-0.520400,4.301578,-0.350899,-0.562111,4.277145,-0.350494,-0.569665,4.286945,-0.340609,-0.559794,4.284115,-0.334381,-0.550455,4.285729,-0.335649,-0.542117,4.283468
34,1.416667,1,-0.269840,-0.264515,4.024250,-0.193097,-0.292754,4.075816,-0.144190,-0.314717,4.077302,-0.129943,-0.327632,4.096562,-0.129780,-0.327082,4.104709,-0.141153,-0.316844,4.107598,-0.160334,-0.307370,4.104641,1,-0.296898,-0.519453,4.401955,-0.291495,-0.563803,4.372577,-0.307015,-0.595606,4.328226,-0.308954,-0.604570,4.350041,-0.301499,-0.597617,4.351979,-0.299566,-0.589166,4.360711,-0.301620,-0.585513,4.367683
35,1.458333,1,-0.352348,-0.325620,4.085974,-0.270664,-0.352305,4.140828,-0.227045,-0.380600,4.139096,-0.214954,-0.382167,4.160132,-0.214211,-0.382043,4.169303,-0.225972,-0.375884,4.171986,-0.243784,-0.370338,4.169963,1,-0.244246,-0.544214,4.441133,-0.236762,-0.594146,4.430664,-0.256987,-0.626292,4.377139,-0.262729,-0.632102,4.402988,-0.257809,-0.626069,4.409787,-0.260339,-0.618055,4.423099,-0.261190,-0.617773,4.437800
36,1.500000,1,-0.403491,-0.383876,4.180053,-0.326083,-0.417889,4.216996,-0.293390,-0.447561,4.227661,-0.290923,-0.437400,4.240346,-0.288382,-0.436975,4.246331,-0.295808,-0.432648,4.245897,-0.304881,-0.429029,4.240843,1,-0.194047,-0.561527,4.487950,-0.184881,-0.611187,4.474909,-0.212561,-0.650873,4.424262,-0.219351,-0.651827,4.447918,-0.216494,-0.644893,4.456726,-0.221566,-0.636300,4.470088,-0.219868,-0.635558,4.487838
37,1.541667,1,-0.419905,-0.444482,4.280277,-0.356269,-0.484279,4.296820,-0.335455,-0.510328,4.326285,-0.343967,-0.493337,4.327370,-0.338543,-0.492615,4.328151,-0.338306,-0.488658,4.323124,-0.335425,-0.485218,4.312617,1,-0.133559,-0.561714,4.492930,-0.139214,-0.618117,4.507558,-0.178485,-0.664612,4.466242,-0.181716,-0.661442,4.490113,-0.178826,-0.652539,4.497576,-0.183428,-0.642434,4.507326,-0.178853,-0.638110,4.523411
38,1.583333,1,-0.408587,-0.492975,4.371526,-0.360478,-0.544711,4.374058,-0.348170,-0.566103,4.414079,-0.365508,-0.548499,4.407862,-0.358170,-0.547798,4.404771,-0.351214,-0.544071,4.396726,-0.338670,-0.540348,4.382627,1,-0.096312,-0.569666,4.501561,-0.097562,-0.621550,4.529212,-0.147955,-0.670715,4.500612,-0.144396,-0.665057,4.530841,-0.139521,-0.653579,4.535434,-0.141419,-0.641587,4.539510,-0.134502,-0.633033,4.550702
39,1.625000,1,-0.367156,-0.542220,4.442784,-0.339496,-0.595141,4.444518,-0.332800,-0.616580,4.479914,-0.356326,-0.602532,4.474279,-0.349440,-0.601468,4.470984,-0.339957,-0.597219,4.463583,-0.322841,-0.592690,4.450510,1,-0.060410,-0.581492,4.497341,-0.056818,-0.629455,4.536828,-0.108450,-0.677626,4.521816,-0.099677,-0.673922,4.559660,-0.093460,-0.660743,4.562255,-0.092857,-0.647955,4.560550,-0.085212,-0.636663,4.565705
40,1.666667,1,-0.311406,-0.581136,4.495111,-0.295559,-0.635352,4.505331,-0.294317,-0.664256,4.525504,-0.321288,-0.656437,4.528214,-0.316530,-0.653629,4.528328,-0.308714,-0.646600,4.524717,-0.291478,-0.639468,4.516243,1,-0.016585,-0.607494,4.490777,-0.017107,-0.647676,4.526862,-0.054200,-0.691959,4.521512,-0.047706,-0.696252,4.559603,-0.042968,-0.684705,4.562010,-0.042209,-0.673613,4.556939,-0.036627,-0.661728,4.558150
41,1.708333,1,-0.235589,-0.623338,4.538594,-0.233133,-0.668457,4.551953,-0.237576,-0.707296,4.558373,-0.264249,-0.708145,4.571620,-0.261286,-0.702268,4.575901,-0.256740,-0.690956,4.576181,-0.241687,-0.680326,4.572287,1,0.035386,-0.643034,4.458138,0.019429,-0.677024,4.498702,0.002709,-0.714983,4.495599,0.001617,-0.727809,4.524549,0.003568,-0.720988,4.527883,0.002803,-0.713010,4.523644,0.004685,-0.702348,4.525970
42,1.750000,1,-0.153812,-0.651851,4.569839,-0.159281,-0.699097,4.578286,-0.167098,-0.741079,4.581417,-0.189240,-0.751238,4.599114,-0.186680,-0.742968,4.604802,-0.184375,-0.729080,4.605626,-0.172466,-0.717344,4.603619,1,0.069811,-0.672782,4.420237,0.050740,-0.712404,4.457147,0.041126,-0.744478,4.450388,0.036303,-0.757178,4.468308,0.037223,-0.753946,4.472943,0.035783,-0.747439,4.473061,0.036166,-0.739253,4.480769
43,1.791667,1,-0.064109,-0.695119,4.550734,-0.081355,-0.729523,4.582423,-0.086351,-0.765079,4.587999,-0.101505,-0.781928,4.602197,-0.099745,-0.774534,4.606377,-0.099265,-0.761717,4.604135,-0.092020,-0.752193,4.602296,1,0.102933,-0.708160,4.360797,0.074669,-0.745485,4.411447,0.055401,-0.776102,4.400199,0.052631,-0.778815,4.413393,0.054681,-0.775051,4.418855,0.054446,-0.767500,4.423438,0.057454,-0.762126,4.435829
