frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
88,3.625000,low_speed,0.016439,0,0,0,generic_motion_regime_from_se3_and_anchor_state
89,3.666667,free_motion,0.118079,0,0,0,generic_motion_regime_from_se3_and_anchor_state
90,3.708333,free_motion,0.097288,0,0,0,generic_motion_regime_from_se3_and_anchor_state
91,3.750000,uniform_motion,0.073800,0,0,0,generic_motion_regime_from_se3_and_anchor_state
92,3.791667,uniform_motion,0.055774,0,0,0,generic_motion_regime_from_se3_and_anchor_state
93,3.833333,low_speed,0.032500,0,0,0,generic_motion_regime_from_se3_and_anchor_state
94,3.875000,low_speed,0.023373,0,0,0,generic_motion_regime_from_se3_and_anchor_state
95,3.916667,static_hold,0.008216,0,0,0,generic_motion_regime_from_se3_and_anchor_state
96,3.958333,low_speed,0.025939,0,0,0,generic_motion_regime_from_se3_and_anchor_state
97,4.000000,uniform_motion,0.080730,0,0,0,generic_motion_regime_from_se3_and_anchor_state
98,4.041667,free_motion,0.137036,0,0,0,generic_motion_regime_from_se3_and_anchor_state
99,4.083333,sustained_grasp_high_speed,0.181554,1,1,1,generic_motion_regime_from_se3_and_anchor_state
100,4.125000,low_speed,0.023770,0,0,0,generic_motion_regime_from_se3_and_anchor_state
101,4.166667,free_motion,0.102158,0,0,0,generic_motion_regime_from_se3_and_anchor_state
102,4.208333,uniform_motion,0.090259,0,0,0,generic_motion_regime_from_se3_and_anchor_state
103,4.250000,uniform_motion,0.070961,0,0,0,generic_motion_regime_from_se3_and_anchor_state
104,4.291667,uniform_motion,0.049087,0,0,0,generic_motion_regime_from_se3_and_anchor_state
105,4.333333,low_speed,0.041018,0,0,0,generic_motion_regime_from_se3_and_anchor_state
106,4.375000,low_speed,0.024708,0,0,0,generic_motion_regime_from_se3_and_anchor_state
107,4.416667,static_hold,0.009292,0,0,0,generic_motion_regime_from_se3_and_anchor_state
108,4.458333,low_speed,0.018659,0,0,0,generic_motion_regime_from_se3_and_anchor_state
109,4.500000,uniform_motion,0.053839,0,0,0,generic_motion_regime_from_se3_and_anchor_state
110,4.541667,free_motion,0.101738,0,0,0,generic_motion_regime_from_se3_and_anchor_state
111,4.583333,free_motion,0.129937,0,0,0,generic_motion_regime_from_se3_and_anchor_state
