frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
104,0,0,0,0,0.049087,0.009843,0.009254,0.000930,1,0.056856,0.000000,0.602000,0,0,0.000000
105,0,0,0,0,0.041018,0.016673,0.008349,0.000602,1,0.094717,0.000000,0.602000,0,0,0.000000
106,0,0,0,0,0.024708,0.017127,0.007773,0.000272,1,0.117234,0.000000,0.602000,0,0,0.000000
107,0,0,0,0,0.009292,0.020238,0.007521,0.000249,1,0.123006,0.000000,0.688000,0,0,0.000000
108,0,0,0,0,0.018659,0.038454,0.007291,0.000292,1,0.110581,0.000000,0.602000,0,0,0.000000
109,0,0,0,0,0.053839,0.048629,0.007020,0.000727,1,0.062962,0.000000,0.602000,0,0,0.000000
110,0,0,0,0,0.101738,0.028283,0.006316,0.004200,1,0.055366,0.000000,0.602000,0,0,0.000000
111,0,0,0,0,0.129937,0.016213,0.002165,0.000771,1,0.178319,0.000000,0.602000,0,0,0.000000
112,0,0,0,1,0.115707,0.186238,0.001415,0.000606,1,0.291716,0.000000,0.756800,0,0,0.000000
113,0,0,0,0,0.071384,0.040015,0.000830,0.000505,1,0.220165,0.000000,0.602000,0,0,0.000000
114,0,0,0,0,0.108175,0.015880,0.000370,0.000901,1,0.112853,0.000000,0.602000,0,0,0.000000
115,0,0,0,0,0.093014,0.025713,0.000650,0.000754,1,0.026158,0.000000,0.602000,0,0,0.000000
116,0,0,0,0,0.067567,0.017458,0.001380,0.000603,1,0.052290,0.000000,0.602000,0,0,0.000000
117,0,0,0,0,0.050581,0.020577,0.001972,0.000305,1,0.100514,0.000000,0.602000,0,0,0.000000
118,0,0,0,0,0.030024,0.014413,0.002263,0.000215,1,0.129983,0.000000,0.602000,0,0,0.000000
119,0,0,0,0,0.015661,0.011561,0.002464,0.000132,1,0.145577,0.000000,0.602000,0,0,0.000000
120,0,0,0,0,0.006075,0.018556,0.002589,0.000157,1,0.151125,0.000000,0.688000,0,0,0.000000
121,0,0,0,0,0.013919,0.045019,0.002740,0.000240,1,0.138480,0.000000,0.602000,0,0,0.000000
122,0,0,0,0,0.058532,0.045782,0.002978,0.000569,1,0.081936,0.000000,0.602000,0,0,0.000000
123,0,0,0,0,0.104091,0.033368,0.003547,0.003263,1,0.031310,0.000000,0.602000,0,0,0.000000
124,0,0,0,0,0.137265,0.017923,0.006776,0.000419,1,0.161716,0.000000,0.670800,0,0,0.000000
125,0,0,0,1,0.119372,0.186517,0.007175,0.000226,1,0.279988,0.000000,0.756800,0,0,0.000000
126,0,0,0,0,0.070602,0.044020,0.007342,0.000100,1,0.212436,0.000000,0.602000,0,0,0.000000
127,0,0,0,0,0.112107,0.021545,0.007360,0.000244,1,0.102104,0.000000,0.602000,0,0,0.000000
128,0,0,0,0,0.095961,0.016060,0.007147,0.000595,1,0.031479,0.000000,0.602000,0,0,0.000000
129,0,0,0,0,0.093229,0.047373,0.006555,0.001126,1,0.089571,0.000000,0.602000,0,0,0.000000
130,0,0,0,0,0.047097,0.023068,0.005439,0.000694,1,0.134604,0.000000,0.602000,0,0,0.000000
131,0,0,0,0,0.025520,0.021313,0.004758,0.000405,1,0.158167,0.000000,0.602000,0,0,0.000000
132,0,0,0,0,0.012146,0.023993,0.004370,0.000254,1,0.161717,0.000000,0.602000,0,0,0.000000
133,0,0,0,0,0.025594,0.051956,0.004137,0.000322,1,0.143550,0.000000,0.602000,0,0,0.000000
134,0,0,0,0,0.075330,0.047083,0.003854,0.000472,1,0.087004,0.000000,0.602000,0,0,0.000000
135,0,0,0,0,0.122329,0.033197,0.003462,0.002372,1,0.105795,0.000000,0.602000,0,0,0.000000
136,0,0,0,1,0.154893,0.135171,0.001733,0.000795,1,0.240507,0.000000,0.670800,0,0,0.000000
137,0,0,0,1,0.019779,0.139209,0.001625,0.000767,1,0.259475,0.000000,0.756800,0,0,0.000000
138,0,0,0,0,0.119446,0.019126,0.001860,0.000472,1,0.148190,0.000000,0.602000,0,0,0.000000
