frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
65,2.666667,1.509337162,0.000000000,0.000000000,0.000000000,0.000000000,0.023463500,,0.000000000,0.000022916,0.000022916,,,1.485850746,1.485850746,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
66,2.708333,1.515895832,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000034782,0.000034782,,,1.515861050,1.515861050,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
67,2.750000,1.548629816,0.000000000,0.000000000,0.000000000,0.000000000,0.010322154,,0.000000000,0.000062353,0.000062353,,,1.538245309,1.538245309,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
68,2.791667,1.582058403,0.000000000,0.000000000,0.000000000,0.000000000,0.023078775,,0.000000000,0.000127049,0.000127049,,,1.558852579,1.558852579,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
69,2.833333,1.670206760,0.000000000,0.000000000,0.000000000,0.000000000,0.023952515,,0.000000000,0.000141337,0.000141337,,,1.646112908,1.646112908,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
70,2.875000,1.683290545,0.000000000,0.000000000,0.000000000,0.000000000,0.022409791,,0.000000000,0.000149802,0.000149802,,,1.660730952,1.660730952,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
71,2.916667,1.683356487,0.000000000,0.000000000,0.000000000,0.000000000,0.012285284,,0.000000000,0.000154103,0.000154103,,,1.670917100,1.670917100,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
72,2.958333,1.686891201,0.000000000,0.000000000,0.000000000,0.000000000,0.009070277,,0.000000000,0.000158876,0.000158876,,,1.677662048,1.677662048,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
73,3.000000,1.642856966,0.000000000,0.000000000,0.000000000,0.000000000,0.000030936,,0.000000000,0.000166069,0.000166069,,,1.642659961,1.642659961,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
74,3.041667,1.717063598,0.000000000,0.000000000,0.000000000,0.000000000,0.002912437,,0.000000000,0.000184411,0.000184411,,,1.713966750,1.713966750,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
75,3.083333,1.756012499,0.000000000,0.000000000,0.000000000,0.000000000,0.000619711,,0.000000000,0.000304947,0.000304947,,,1.755087841,1.755087841,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
76,3.125000,1.767922692,0.000000000,0.000000000,0.000000000,0.000000000,0.000027952,,0.000000000,0.000311806,0.000311806,,,1.767582934,1.767582934,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
77,3.166667,1.756810372,0.000000000,0.000000000,0.000000000,0.000000000,0.000734789,,0.000000000,0.000309669,0.000309669,,,1.755765914,1.755765914,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
78,3.208333,1.664622845,0.000000000,0.000000000,0.000000000,0.000000000,0.000247874,,0.000000000,0.000303600,0.000303600,,,1.664071371,1.664071371,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
79,3.250000,1.587969406,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000282238,0.000282238,,,1.587687168,1.587687168,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
80,3.291667,1.558655297,0.000000000,0.000000000,0.000000000,0.000000000,0.000054834,,0.000000000,0.000244264,0.000244264,,,1.558356199,1.558356199,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
81,3.333333,1.482970626,0.000000000,0.000000000,0.000000000,0.000000000,0.011787445,,0.000000000,0.000075327,0.000075327,,,1.471107854,1.471107854,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
82,3.375000,1.440902472,0.000000000,0.000000000,0.000000000,0.000000000,0.000891799,,0.000000000,0.000059028,0.000059028,,,1.439951645,1.439951645,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
83,3.416667,1.407099852,0.000000000,0.000000000,0.000000000,0.000000000,0.000006305,,0.000000000,0.000052246,0.000052246,,,1.407041301,1.407041301,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
84,3.458333,1.393525097,0.000000000,0.000000000,0.000000000,0.000000000,0.004551796,,0.000000000,0.000048789,0.000048789,,,1.388924512,1.388924512,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
85,3.500000,1.458829669,0.000000000,0.000000000,0.000000000,0.000000000,0.003480764,,0.000000000,0.000044637,0.000044637,,,1.455304268,1.455304268,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
86,3.541667,1.570977446,0.000000000,0.000000000,0.000000000,0.000000000,0.002150362,,0.000000000,0.000038446,0.000038446,,,1.568788638,1.568788638,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
87,3.583333,1.682576528,0.000000000,0.000000000,0.000000000,0.000000000,0.001261955,,0.000000000,0.000008236,0.000008236,,,1.681306337,1.681306337,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
88,3.625000,1.690390643,0.000000000,0.000000000,0.000000000,0.000000000,0.000032262,,0.000000000,0.000006056,0.000006056,,,1.690352325,1.690352325,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
