frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
62,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
63,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,0.798000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
64,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.062000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
65,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
66,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
67,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
68,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
69,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
70,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
71,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
72,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
73,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
74,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
75,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
76,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,0.798000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
77,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.062000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
78,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
79,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
80,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
81,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
82,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
83,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
84,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
85,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
86,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.691667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
87,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.739600,0.660000,0.920833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
88,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,0.918000,0.920833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
89,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.122000,1.037500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
90,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
91,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
92,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
93,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
94,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
95,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
96,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
97,uniform_motion,1,1,0,1,1,1,1,1,1,1,0.200000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
98,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.691667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
99,sustained_grasp_high_speed,1,1,0,1,1,1,1,1,1,1,0.200000,0.660000,0.920833,1,stage_audit_residual_reweight:vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
100,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,0.918000,0.920833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
101,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.122000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
102,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
103,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
104,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
105,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
106,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
107,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
108,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
109,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
110,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
111,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
112,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,1.062000,1.050000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
113,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.122000,1.050000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
114,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
115,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
116,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
117,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
118,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
119,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
120,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
121,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
122,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
123,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
124,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
125,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,0.798000,0.891667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
126,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.122000,1.050000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
127,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
128,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.775000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
129,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
130,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
131,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
132,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
133,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
134,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
135,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
136,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
137,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,0.798000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
138,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.062000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
