frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
35,1.416667,-0.265670,0.581056,3.620044,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,,532.221,595.727,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.282803,3.658267,532.221,595.727,542.000,545.000,0.070220,0.070220,3.690264,3.621343,3.515278,3.621343,0.031997
36,1.458333,-0.262902,0.639671,3.617424,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,,533.267,619.694,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.302807,3.678698,533.267,619.694,539.000,574.000,0.069242,0.069242,3.686666,3.618524,3.500203,3.618524,0.007968
37,1.500000,-0.278787,0.525240,3.615039,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,,526.743,573.378,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.299944,3.688451,526.743,573.378,535.000,528.000,-0.027936,-0.027936,3.587103,3.615705,3.500844,3.615705,-0.101348
38,1.541667,-0.289210,0.421810,3.612886,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,,522.439,531.462,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,0,0,hand,right,right_hand,right_hand,0.271927,3.671550,522.439,531.462,532.000,484.000,0.058664,0.058664,3.671550,3.612886,3.521765,3.612886,0.000000
39,1.583333,-0.290999,0.334353,3.615529,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,,521.798,495.812,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.214660,3.640499,521.798,495.812,518.000,450.000,0.000894,0.000894,3.616423,3.615825,3.545339,3.615825,-0.024076
40,1.625000,-0.301583,0.267108,3.618278,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,,517.592,468.415,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150207,3.621206,517.592,468.415,513.000,424.000,0.044904,0.044904,3.663182,3.618764,3.579885,3.618764,0.041977
41,1.666667,-0.315518,0.216693,3.621131,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,,512.037,447.883,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.088314,3.614303,512.037,447.883,511.000,402.000,0.135583,0.135583,3.756714,3.621703,3.632323,3.621703,0.142411
42,1.708333,-0.319974,0.184065,3.624104,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,,510.336,434.589,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.047908,3.603596,510.336,434.589,509.000,388.000,0.113495,0.113495,3.737599,3.624642,3.670739,3.624642,0.134003
43,1.750000,-0.325998,0.166260,3.627120,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,,508.005,427.318,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.023571,3.605705,508.005,427.318,508.000,380.000,0.132893,0.132893,3.760013,3.627581,3.677590,3.627581,0.154308
44,1.791667,-0.322241,0.159538,3.630232,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,,509.638,424.541,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.024516,3.608222,509.638,424.541,510.000,377.000,0.117810,0.117810,3.748042,3.630520,3.657893,3.630520,0.139820
45,1.833333,-0.308038,0.175919,3.633385,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,,515.492,431.106,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.052561,3.600945,515.492,431.106,504.000,390.000,0.063792,0.063792,3.697177,3.633459,3.626934,3.633459,0.096231
46,1.875000,-0.294532,0.223977,3.636478,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,,521.052,450.454,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.103709,3.601496,521.052,450.454,507.000,407.000,-0.099169,-0.099169,3.537309,3.636398,3.578908,3.636398,-0.064187
47,1.916667,-0.277819,0.310682,3.639496,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,,527.895,485.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.177883,3.610142,527.895,485.366,517.000,444.000,-0.084889,-0.084889,3.554607,3.639337,3.547219,3.639337,-0.055535
48,1.958333,-0.255939,0.433265,3.642462,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,,536.808,534.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.249242,3.635264,536.808,534.688,532.000,491.000,0.017989,0.017989,3.660451,3.642276,3.497624,3.642276,0.025187
49,2.000000,-0.226143,0.577765,3.645482,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,,548.897,592.756,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.291609,3.665288,548.897,592.756,541.000,541.000,0.004284,0.004284,3.649766,3.645215,3.459624,3.645215,-0.015522
50,2.041667,-0.210064,0.658053,3.648521,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,,555.445,624.880,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.309879,3.677545,555.445,624.880,539.000,586.000,0.116312,0.116312,3.764833,3.648154,3.451515,3.648154,0.087288
51,2.083333,-0.194957,0.551732,3.651502,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,,561.590,581.902,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.308704,3.679149,561.590,581.902,550.000,539.000,0.017078,0.017078,3.668580,3.651093,3.459707,3.651093,-0.010569
52,2.125000,-0.188325,0.448410,3.654335,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,,564.316,540.207,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.282445,3.660060,564.316,540.207,559.000,493.000,0.039678,0.039678,3.694013,3.654032,3.465698,3.654032,0.033953
53,2.166667,-0.169944,0.362613,3.656971,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,,571.752,505.622,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,0,0,hand,right,right_hand,right_hand,0.229896,3.629781,571.752,505.622,559.000,470.000,-0.027190,-0.027190,3.629781,3.656971,3.483027,3.656971,0.000000
54,2.208333,-0.151150,0.295685,3.653806,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,,579.247,478.847,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.168322,3.595288,579.247,478.847,565.000,439.000,0.056577,0.056577,3.710383,3.653347,3.475058,3.653347,0.115095
55,2.250000,-0.142537,0.246622,3.650368,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,,582.655,459.220,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.108950,3.578041,582.655,459.220,574.000,415.000,0.090446,0.090446,3.740814,3.649723,3.478506,3.649723,0.162774
56,2.291667,-0.124157,0.209901,3.646823,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,,590.001,444.529,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.068091,3.565777,590.001,444.529,579.000,400.000,0.091486,0.091486,3.738309,3.646099,3.477912,3.646099,0.172532
57,2.333333,-0.110932,0.194779,3.643158,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,,595.282,438.518,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.041986,3.554059,595.282,438.518,588.000,396.000,0.072253,0.072253,3.715411,3.642475,3.484740,3.642475,0.161353
58,2.375000,-0.094112,0.192526,3.639484,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,,602.024,437.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.046884,3.539736,602.024,437.688,592.000,394.000,0.055643,0.055643,3.695127,3.638851,3.514798,3.638851,0.155391
