frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
26,1.041667,524.993,474.955,524.993,474.955,524.993,474.955,cotracker_center_fallback,center,524.993,509.174,509.174,34.219,34.219,cotracker_bottom,,,stage2_contact_policy,2.289598,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.223597,2.289598,2.289598,2.289598,1.000000,0.000000,,,46.376
27,1.083333,520.833,452.553,520.833,452.553,520.833,452.553,cotracker_center_fallback,center,520.833,486.923,486.923,34.370,34.370,cotracker_bottom,,,stage2_contact_policy,2.278769,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.240334,2.278769,2.278769,2.278769,1.000000,0.000000,,,46.099
28,1.125000,519.796,436.642,519.796,436.642,519.796,436.642,cotracker_center_fallback,center,519.796,471.854,471.854,35.212,35.212,cotracker_bottom,,,stage2_contact_policy,2.284359,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.234073,2.284359,2.284359,2.284359,1.000000,0.000000,,,46.719
29,1.166667,520.589,428.366,520.589,428.366,520.589,428.366,cotracker_center_fallback,center,520.589,464.524,464.524,36.158,36.158,cotracker_bottom,,,stage2_contact_policy,2.281055,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.324825,2.281055,2.281055,2.281055,1.000000,0.000000,,,46.909
30,1.208333,520.286,424.626,520.286,424.626,520.286,424.626,cotracker_center_fallback,center,520.286,461.222,461.222,36.596,36.596,cotracker_bottom,,,stage2_contact_policy,2.281573,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.327275,2.281573,2.281573,2.281573,1.000000,0.000000,,,48.050
31,1.250000,521.106,427.299,521.106,427.299,521.106,427.299,cotracker_center_fallback,center,521.106,465.489,465.489,38.190,38.190,cotracker_bottom,,,stage2_contact_policy,2.280533,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.371472,2.280533,2.280533,2.280533,1.000000,0.000000,,,47.877
32,1.291667,522.738,445.650,522.738,445.650,522.738,445.650,cotracker_center_fallback,center,522.738,480.287,480.287,34.637,34.637,cotracker_bottom,,,stage2_contact_policy,2.289145,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.245807,2.289145,2.289145,2.289145,1.000000,0.000000,,,49.416
33,1.333333,531.500,474.500,531.500,474.500,531.500,474.500,cotracker_box_center,center,531.500,519.000,519.000,44.500,44.500,cotracker_bottom,,,stage2_contact_policy,2.288120,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.227224,2.288120,2.288120,2.288120,1.000000,0.000000,,,50.384
34,1.375000,527.866,532.374,527.866,532.374,527.866,532.374,cotracker_center_fallback,center,527.866,571.034,571.034,38.660,38.660,cotracker_bottom,,,stage2_contact_policy,2.269600,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.233056,2.269600,2.269600,2.269600,1.000000,0.000000,,,46.859
35,1.416667,532.221,595.727,532.221,595.727,532.221,595.727,cotracker_center_fallback,center,532.221,628.704,628.704,32.977,32.977,cotracker_bottom,,,stage2_contact_policy,2.250310,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.294358,2.250310,2.250310,2.250310,1.000000,0.000000,,,46.079
36,1.458333,533.267,619.694,533.267,619.694,533.267,619.694,cotracker_center_fallback,center,533.267,652.459,652.459,32.765,32.765,cotracker_bottom,,,stage2_contact_policy,2.235235,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.317648,2.235235,2.235235,2.235235,1.000000,0.000000,,,45.488
37,1.500000,526.743,573.378,526.743,573.378,526.743,573.378,cotracker_center_fallback,center,526.743,605.801,605.801,32.423,32.423,cotracker_bottom,,,stage2_contact_policy,2.235876,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.197635,2.235876,2.235876,2.235876,1.000000,0.000000,,,44.797
38,1.541667,522.439,531.462,522.439,531.462,522.439,531.462,cotracker_center_fallback,center,522.439,569.000,569.000,37.538,37.538,cotracker_bottom,,,stage2_contact_policy,2.256797,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.236440,2.256797,2.256797,2.256797,1.000000,0.000000,,,48.341
39,1.583333,521.798,495.812,521.798,495.812,521.798,495.812,cotracker_center_fallback,center,521.798,535.883,535.883,40.071,40.071,cotracker_bottom,,,stage2_contact_policy,2.280371,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.140287,2.280371,2.280371,2.280371,1.000000,0.000000,,,47.358
40,1.625000,517.592,468.415,517.592,468.415,517.592,468.415,cotracker_center_fallback,center,517.592,507.335,507.335,38.920,38.920,cotracker_bottom,,,stage2_contact_policy,2.314917,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.231711,2.314917,2.314917,2.314917,1.000000,0.000000,,,46.615
41,1.666667,512.037,447.883,512.037,447.883,512.037,447.883,cotracker_center_fallback,center,512.037,486.397,486.397,38.514,38.514,cotracker_bottom,,,stage2_contact_policy,2.367355,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.379498,2.367355,2.367355,2.367355,1.000000,0.000000,,,47.267
42,1.708333,510.336,434.589,510.336,434.589,510.336,434.589,cotracker_center_fallback,center,510.336,471.772,471.772,37.183,37.183,cotracker_bottom,,,stage2_contact_policy,2.405771,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.459381,2.405771,2.405771,2.405771,1.000000,0.000000,,,47.230
43,1.750000,508.005,427.318,508.005,427.318,508.005,427.318,cotracker_center_fallback,center,508.005,463.645,463.645,36.327,36.327,cotracker_bottom,,,stage2_contact_policy,2.412622,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.559464,2.412622,2.412622,2.412622,1.000000,0.000000,,,47.605
44,1.791667,509.638,424.541,509.638,424.541,509.638,424.541,cotracker_center_fallback,center,509.638,460.859,460.859,36.318,36.318,cotracker_bottom,,,stage2_contact_policy,2.392925,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.564701,2.392925,2.392925,2.392925,1.000000,0.000000,,,47.556
45,1.833333,515.492,431.106,515.492,431.106,515.492,431.106,cotracker_center_fallback,center,515.492,468.636,468.636,37.530,37.530,cotracker_bottom,,,stage2_contact_policy,2.361966,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.505359,2.361966,2.361966,2.361966,1.000000,0.000000,,,47.982
46,1.875000,521.052,450.454,521.052,450.454,521.052,450.454,cotracker_center_fallback,center,521.052,488.988,488.988,38.534,38.534,cotracker_bottom,,,stage2_contact_policy,2.313940,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.188240,2.313940,2.313940,2.313940,1.000000,0.000000,,,49.025
47,1.916667,527.895,485.366,527.895,485.366,527.895,485.366,cotracker_center_fallback,center,527.895,522.473,522.473,37.107,37.107,cotracker_bottom,,,stage2_contact_policy,2.282251,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.093829,2.282251,2.282251,2.282251,1.000000,0.000000,,,48.391
48,1.958333,536.808,534.688,536.808,534.688,536.808,534.688,cotracker_center_fallback,center,536.808,569.268,569.268,34.580,34.580,cotracker_bottom,,,stage2_contact_policy,2.232656,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.162790,2.232656,2.232656,2.232656,1.000000,0.000000,,,49.885
49,2.000000,548.897,592.756,548.897,592.756,548.897,592.756,cotracker_center_fallback,center,548.897,628.131,628.131,35.375,35.375,cotracker_bottom,,,stage2_contact_policy,2.194656,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.123196,2.194656,2.194656,2.194656,1.000000,0.000000,,,48.185
50,2.041667,555.445,624.880,555.445,624.880,555.445,624.880,cotracker_center_fallback,center,555.445,659.836,659.836,34.956,34.956,cotracker_bottom,,,stage2_contact_policy,2.186547,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.337643,2.186547,2.186547,2.186547,1.000000,0.000000,,,44.702
51,2.083333,561.590,581.902,561.590,581.902,561.590,581.902,cotracker_center_fallback,center,561.590,617.338,617.338,35.436,35.436,cotracker_bottom,,,stage2_contact_policy,2.194739,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.217534,2.194739,2.194739,2.194739,1.000000,0.000000,,,46.237
52,2.125000,564.316,540.207,564.316,540.207,564.316,540.207,cotracker_center_fallback,center,564.316,575.927,575.927,35.720,35.720,cotracker_bottom,,,stage2_contact_policy,2.200730,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.239356,2.200730,2.200730,2.200730,1.000000,0.000000,,,47.868
