frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
80,3.291667,0,none,right,none,boundary_001,505.000,427.000,0.065615,0.860857,0.000000,hand_floor_from_anchor_floor_candidates
81,3.333333,0,none,right,none,boundary_001,501.000,407.000,0.162779,0.815971,0.000000,hand_floor_from_anchor_floor_candidates
82,3.375000,0,none,right,none,boundary_001,499.000,398.000,0.079798,0.807095,0.000000,hand_floor_from_anchor_floor_candidates
83,3.416667,0,none,right,none,boundary_000,500.000,397.000,0.047972,0.899307,0.000000,hand_floor_from_anchor_floor_candidates
84,3.458333,0,none,right,none,boundary_063,497.000,416.000,-0.020210,0.923332,0.000000,hand_floor_from_anchor_floor_candidates
85,3.500000,0,none,right,none,boundary_000,501.000,447.000,-0.003442,0.813985,0.000000,hand_floor_from_anchor_floor_candidates
86,3.541667,0,none,right,none,boundary_063,492.000,502.000,0.028685,0.412507,0.457930,hand_floor_from_anchor_floor_candidates
87,3.583333,1,floor,,floor_support,boundary_063,497.000,561.000,0.037820,0.704345,1.000000,hand_floor_from_anchor_floor_candidates
88,3.625000,0,none,right,none,boundary_062,499.000,561.000,0.069121,0.668963,1.000000,hand_floor_from_anchor_floor_candidates
89,3.666667,0,none,right,none,boundary_062,493.000,505.000,0.001846,0.472969,0.603810,hand_floor_from_anchor_floor_candidates
90,3.708333,0,none,right,none,boundary_000,493.000,474.000,0.011691,0.738136,0.000000,hand_floor_from_anchor_floor_candidates
91,3.750000,0,none,right,none,boundary_002,488.000,441.000,0.090715,0.965463,0.000000,hand_floor_from_anchor_floor_candidates
92,3.791667,0,none,right,none,boundary_063,488.000,415.000,0.109206,0.973106,0.000000,hand_floor_from_anchor_floor_candidates
93,3.833333,0,none,right,none,boundary_063,488.000,402.000,0.097614,0.852673,0.000000,hand_floor_from_anchor_floor_candidates
94,3.875000,0,none,right,none,boundary_000,494.000,394.000,0.047460,0.840942,0.000000,hand_floor_from_anchor_floor_candidates
95,3.916667,0,none,right,none,boundary_063,498.000,395.000,0.056476,0.900401,0.000000,hand_floor_from_anchor_floor_candidates
96,3.958333,0,none,right,none,boundary_059,506.000,407.000,-0.037697,0.944923,0.000000,hand_floor_from_anchor_floor_candidates
97,4.000000,0,none,right,none,boundary_058,510.000,445.000,-0.047030,0.879051,0.000000,hand_floor_from_anchor_floor_candidates
98,4.041667,0,none,right,none,boundary_063,516.000,504.000,0.027800,0.389742,0.380605,hand_floor_from_anchor_floor_candidates
99,4.083333,1,floor,,floor_support,boundary_000,527.000,566.000,0.031334,0.579463,1.000000,hand_floor_from_anchor_floor_candidates
100,4.125000,0,none,right,none,boundary_000,537.000,565.000,0.054087,0.502889,1.000000,hand_floor_from_anchor_floor_candidates
101,4.166667,0,none,right,none,boundary_000,537.000,525.000,0.079231,0.335393,0.795129,hand_floor_from_anchor_floor_candidates
102,4.208333,0,none,right,none,boundary_004,538.000,491.000,0.015823,0.582728,0.266611,hand_floor_from_anchor_floor_candidates
103,4.250000,0,none,right,none,boundary_001,542.000,453.000,0.016402,0.821955,0.000000,hand_floor_from_anchor_floor_candidates
104,4.291667,0,none,right,none,boundary_001,548.000,430.000,0.095557,0.795166,0.000000,hand_floor_from_anchor_floor_candidates
105,4.333333,0,none,right,none,boundary_002,551.000,416.000,0.067152,0.715903,0.000000,hand_floor_from_anchor_floor_candidates
106,4.375000,0,none,right,none,boundary_001,561.000,405.000,0.102092,0.641971,0.000000,hand_floor_from_anchor_floor_candidates
107,4.416667,0,none,right,none,boundary_003,564.000,404.000,0.109775,0.635002,0.000000,hand_floor_from_anchor_floor_candidates
108,4.458333,0,none,right,none,boundary_003,579.000,413.000,0.057231,0.636346,0.000000,hand_floor_from_anchor_floor_candidates
109,4.500000,0,none,right,none,boundary_004,580.000,438.000,0.027953,0.691276,0.000000,hand_floor_from_anchor_floor_candidates
110,4.541667,0,none,right,none,boundary_008,580.000,476.000,-0.010974,0.578165,0.000000,hand_floor_from_anchor_floor_candidates
111,4.583333,0,none,right,none,boundary_062,587.000,528.000,0.186523,0.272370,0.811073,hand_floor_from_anchor_floor_candidates
112,4.625000,1,floor,,floor_support,boundary_000,590.000,586.000,0.271235,0.204214,1.000000,hand_floor_from_anchor_floor_candidates
113,4.666667,0,none,right,none,boundary_000,591.000,544.000,1.718423,0.226209,1.000000,hand_floor_from_anchor_floor_candidates
114,4.708333,0,none,right,none,boundary_000,592.000,508.000,0.126232,0.430705,0.396548,hand_floor_from_anchor_floor_candidates
