frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
157,5.200000,750.458,601.306,41.184,6.098694,6.393776
158,5.233333,750.458,601.306,41.184,6.116392,6.272213
159,5.266667,750.221,606.656,41.225,6.244660,6.152751
160,5.300000,750.354,618.947,42.770,5.879348,6.965632
161,5.333333,752.000,634.000,43.267,6.617430,7.850535
162,5.366667,755.240,653.240,43.525,5.725896,7.907327
163,5.400000,749.781,687.587,43.347,12.077007,7.705925
164,5.433333,749.918,687.982,43.095,12.293005,7.657702
165,5.466667,749.443,721.216,43.353,6.513942,7.637512
166,5.500000,748.679,763.500,45.808,4.834847,7.742856
167,5.533333,755.145,738.088,44.266,5.541781,7.123639
168,5.566667,761.827,703.942,42.606,6.476106,6.242280
169,5.600000,762.440,703.790,42.681,6.463301,6.116324
170,5.633333,770.276,673.500,40.880,7.742494,6.229359
171,5.666667,774.566,651.370,42.589,6.123485,6.265172
172,5.700000,780.218,635.980,43.460,5.632251,6.139155
173,5.733333,780.426,636.036,43.602,5.626095,5.977805
174,5.766667,786.547,630.203,43.334,5.792472,5.661815
175,5.800000,792.551,628.508,42.855,5.593985,5.589344
176,5.833333,798.134,631.683,45.554,5.333849,5.584954
177,5.866667,804.522,634.349,44.373,5.530570,5.523366
178,5.900000,803.782,586.158,44.213,5.616186,5.436940
179,5.933333,803.749,586.112,44.169,5.601521,5.496644
180,5.966667,803.756,539.655,43.868,5.194986,5.574680
181,6.000000,801.804,495.196,43.642,5.187477,5.626163
182,6.033333,800.471,463.003,42.874,6.011919,5.684896
183,6.066667,799.281,434.280,43.536,5.880101,5.723247
184,6.100000,799.098,434.098,43.278,5.890946,5.860389
185,6.133333,799.600,412.495,42.790,6.027323,5.996460
186,6.166667,800.772,393.740,42.773,5.869977,6.058983
187,6.200000,798.969,383.118,42.278,6.154976,6.127738
188,6.233333,798.835,382.954,42.666,6.139977,6.208436
189,6.266667,799.765,378.847,43.000,6.449582,6.217518
190,6.300000,799.698,380.302,43.685,6.361389,6.290614
191,6.333333,796.762,389.266,42.657,6.455829,6.323170
192,6.366667,799.296,401.318,42.629,6.090897,6.353631
193,6.400000,798.834,417.658,42.045,6.381646,6.373303
194,6.433333,798.451,417.949,41.639,6.382875,6.438545
195,6.466667,798.928,418.397,41.840,6.353207,6.505986
196,6.500000,797.575,443.025,42.179,6.587279,6.626504
197,6.533333,799.450,472.820,42.330,6.818085,6.886520
198,6.566667,798.897,509.376,41.826,6.927917,7.553112
199,6.600000,799.012,509.392,41.802,6.934523,8.594465
200,6.633333,799.274,549.074,43.166,8.201757,9.605734
201,6.666667,798.708,598.145,43.280,11.049016,9.820075
202,6.700000,803.760,647.717,41.406,13.642682,9.764264
203,6.733333,803.784,647.605,41.449,13.666157,9.409366
204,6.766667,799.640,709.279,43.414,8.318474,8.909407
205,6.800000,799.978,778.511,43.004,6.537242,8.069170
206,6.833333,800.227,843.636,42.046,4.450235,6.857957
207,6.866667,795.224,829.962,42.810,4.702035,5.649538
208,6.900000,790.600,806.539,42.379,5.167367,5.238505
209,6.933333,790.141,806.362,42.300,5.164196,5.099126
210,6.966667,785.469,790.976,42.339,5.207213,5.284646
211,7.000000,779.086,781.471,42.680,5.441243,5.434021
212,7.033333,773.765,780.986,42.377,5.561594,5.484994
213,7.066667,768.500,786.000,42.898,5.748878,5.444006
214,7.100000,768.000,786.000,43.081,5.747660,5.352412
215,7.133333,762.382,796.953,42.373,5.524175,5.227177
216,7.166667,755.841,817.735,44.092,4.877280,5.080800
217,7.200000,752.169,838.023,41.485,4.566053,4.932063
218,7.233333,751.195,838.581,42.199,4.564593,4.807927
219,7.266667,748.393,841.377,41.346,4.536960,4.725194
220,7.300000,743.436,831.953,43.105,4.707713,4.707829
221,7.333333,736.971,825.283,41.369,4.878717,4.734425
222,7.366667,732.317,825.756,40.965,4.945042,4.729100
223,7.400000,727.703,830.487,41.210,4.755730,4.734391
224,7.433333,727.546,830.712,41.243,4.752224,4.713234
225,7.466667,724.446,840.799,39.436,4.527318,4.658852
226,7.500000,719.989,840.803,40.400,4.573999,4.594761
227,7.533333,715.989,837.346,40.875,4.559608,4.565341
228,7.566667,711.827,837.925,40.291,4.498043,4.543835
229,7.600000,711.639,837.902,40.219,4.496401,4.550547
230,7.633333,709.321,842.663,41.069,4.549788,4.551677
231,7.666667,703.494,845.988,42.853,4.601684,4.553649
232,7.700000,699.955,844.227,42.843,4.574303,4.565717
233,7.733333,699.793,843.905,42.696,4.581910,4.576324
234,7.766667,697.500,844.000,42.406,4.573420,4.581426
235,7.800000,695.439,843.744,41.111,4.582512,4.579859
236,7.833333,692.401,841.092,39.379,4.570652,4.582583
237,7.866667,689.715,840.149,39.503,4.585500,4.583717
238,7.900000,687.505,839.692,39.062,4.590717,4.589140
239,7.933333,687.605,839.555,39.029,4.593370,4.592780
240,7.966667,685.315,839.000,39.013,4.589844,4.596467
241,8.000000,682.782,840.223,38.895,4.611387,4.598660
242,8.033333,680.368,840.650,39.335,4.607985,4.600646
