frame,time,ball_center_x,ball_center_y,radius,mask_area
226,9.375000,721.103,839.751,38.244,4595.0
227,9.416667,716.718,836.326,38.941,4764.0
228,9.458333,712.250,837.670,39.574,4920.0
229,9.500000,712.471,837.282,39.039,4788.0
230,9.541667,709.751,841.350,38.460,4647.0
231,9.583333,704.097,842.249,39.332,4860.0
232,9.625000,700.544,840.802,39.084,4799.0
233,9.666667,700.457,840.772,39.104,4804.0
234,9.708333,697.671,840.414,38.749,4717.0
235,9.750000,694.935,840.395,38.232,4592.0
236,9.791667,692.626,840.055,37.977,4531.0
237,9.833333,690.112,839.776,38.032,4544.0
238,9.875000,687.954,839.552,37.860,4503.0
239,9.916667,687.923,839.557,37.860,4503.0
240,9.958333,685.927,839.494,37.496,4417.0
241,10.000000,683.624,839.923,37.057,4314.0
242,10.041667,681.462,840.279,37.211,4350.0
