frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,active_hand,active_hand_z,floor_window_weight,contact_depth_gap
59,2.416667,-0.087976,0.210882,3.800037,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.000,441.500,47.035,606.000,441.500,46.377,487.877,657.784,0.000000,0,0,left,4.044731,0.000000,-0.244694
60,2.458333,-0.072732,0.275000,3.814809,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,612.000,465.868,46.761,612.000,465.868,46.197,512.065,657.784,0.000000,0,0,left,4.038143,0.084658,-0.223334
61,2.500000,-0.061211,0.399432,3.824193,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,616.493,513.394,46.388,616.493,513.394,46.084,559.478,657.784,0.000000,0,0,left,4.032583,0.333740,-0.208390
62,2.541667,-0.047842,0.558642,3.823715,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,621.625,574.562,46.101,621.625,574.562,46.089,620.651,657.784,0.000000,0,0,right,3.565840,0.760067,0.257875
63,2.583333,-0.045452,0.682658,3.814330,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,622.500,622.839,46.303,622.500,622.839,46.203,669.042,657.784,0.000000,1,1,right,3.588305,1.000000,0.226025
64,2.625000,-0.056470,0.572345,3.801291,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.183,581.122,47.080,618.183,581.122,46.361,627.483,657.784,0.000000,0,0,right,3.595595,0.760067,0.205696
65,2.666667,-0.071263,0.461818,3.805698,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,612.500,538.214,46.239,612.500,538.214,46.308,584.522,657.784,0.000000,0,0,left,4.052215,0.333740,-0.246518
66,2.708333,-0.087223,0.366993,3.798570,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.278,501.887,47.271,606.278,501.887,46.394,548.281,657.784,0.000000,0,0,left,4.044214,0.084658,-0.245644
67,2.750000,-0.101113,0.302045,3.802504,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,600.948,476.656,47.448,600.948,476.656,46.346,523.002,657.784,0.000000,0,0,left,4.036190,0.000000,-0.233686
68,2.791667,-0.115673,0.255806,3.822992,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.564,458.268,46.503,595.564,458.268,46.098,504.366,657.784,0.000000,0,0,left,4.024831,0.000000,-0.201840
69,2.833333,-0.127196,0.229016,3.827639,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,591.197,447.870,46.322,591.197,447.870,46.042,493.912,657.784,0.000000,0,0,left,4.017492,0.000000,-0.189853
70,2.875000,-0.136064,0.215111,3.806182,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.500,443.000,47.024,587.500,443.000,46.302,489.302,657.784,0.000000,0,0,left,4.015737,0.000000,-0.209555
71,2.916667,-0.139941,0.215312,3.779910,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.629,443.655,47.364,585.629,443.655,46.623,490.278,657.784,0.000000,0,0,left,4.010299,0.000000,-0.230389
72,2.958333,-0.150806,0.247829,3.763252,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.148,456.715,47.866,581.148,456.715,46.830,503.545,657.784,0.000000,0,0,left,3.998696,0.000000,-0.235444
73,3.000000,-0.160292,0.333408,3.766500,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,577.500,490.000,47.130,577.500,490.000,46.789,536.789,657.784,0.000000,0,0,right,3.519375,0.084658,0.247125
74,3.041667,-0.188827,0.452527,3.769512,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.433,536.305,47.730,566.433,536.305,46.752,583.057,657.784,0.000000,0,0,right,3.555856,0.333740,0.213656
75,3.083333,-0.210242,0.619464,3.784356,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,558.411,600.397,45.833,558.411,600.397,46.569,646.966,657.784,0.000000,0,0,right,3.603198,0.760067,0.181159
76,3.125000,-0.235325,0.648957,3.769291,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.312,612.849,46.876,548.312,612.849,46.755,659.604,657.784,0.000000,1,1,right,3.616008,1.000000,0.153284
